Name,BSE Code,NSE Code,Industry,Current Price,Sales latest quarter,Profit after tax latest quarter,YOY Quarterly sales growth,YOY Quarterly profit growth,Sales growth,Profit growth,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,EBIT latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,NPM latest quarter,Equity Capital latest quarter,EPS latest quarter,Operating profit 2quarters back,Operating profit 3quarters back,Sales 2quarters back,Sales 3quarters back,Net profit 2quarters back,Net profit 3quarters back,Operating profit growth,Last result date,Expected quarterly sales growth,Expected quarterly sales,Expected quarterly operating profit,Expected quarterly net profit,Expected quarterly EPS,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,EBIT preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,NPM preceding quarter,Equity Capital preceding quarter,EPS preceding quarter,Market Capitalization,join_key
Timex Group,500414.0,__NA__,Miscellaneous,151.95,92.06,7.08,10.5,-68.38,9.25,-55.21,9.69,1.48,11.17,0.91,10.26,0.88,9.38,2.3,0.0,7.08,40.6,10.53,7.69,10.1,0.7,16.1,7.32,126.36,106.29,11.0,4.25,-15.45,202403.0,9.36,116.24,8.36,6.46,0.64,94.2,-0.71,0.35,-0.36,0.88,-1.24,0.75,-1.99,-0.5,-1.49,0.0,-1.49,-0.75,-1.58,10.1,-0.15,1533.94,500414.0___NA__
Timken India,522113.0,TIMKEN,Bearings,4292.65,897.77,141.43,11.87,35.33,3.67,0.46,198.69,10.75,209.44,21.78,187.66,1.11,186.55,45.12,0.0,141.43,40.71,22.13,15.75,75.22,18.8,135.51,135.73,681.98,717.58,93.05,90.14,2.15,202403.0,3.95,745.94,143.58,119.94,15.95,612.21,102.48,10.58,113.06,20.98,92.08,0.85,91.23,23.7,67.53,0.0,67.53,16.74,11.03,75.22,8.98,32288.78,522113.0_TIMKEN
Tinna Rubber,530475.0,__NA__,Miscellaneous,1873.15,109.85,15.66,51.06,131.66,22.88,90.5,22.39,1.33,23.72,1.9,21.82,1.97,19.85,4.2,0.0,15.66,45.85,20.38,14.26,17.13,9.14,12.99,11.7,79.69,80.47,7.62,7.05,68.42,202403.0,25.88,101.29,16.37,12.57,7.34,93.02,15.51,0.78,16.29,1.64,14.65,1.56,13.09,3.14,9.96,0.0,9.96,16.67,10.71,17.13,5.81,3208.61,530475.0___NA__
Tinna Trade,541741.0,__NA__,Trading,375.7,88.57,-0.01,68.83,97.87,-16.58,104.35,1.18,0.11,1.29,0.03,1.26,1.19,0.07,0.09,0.0,-0.01,6.14,1.33,-0.01,8.56,-0.01,0.64,0.58,76.12,34.75,0.03,0.1,125.85,202403.0,37.89,47.92,0.73,-0.48,-0.12,45.92,0.9,0.19,1.09,0.03,1.06,0.98,0.08,0.08,0.0,0.0,0.0,1.96,0.0,8.56,0.0,1478.15,541741.0___NA__
Tips Films,543614.0,TIPSFILMS,Entertainment / Electronic Media Software,565.45,60.14,4.64,89.96,70.59,26.35,-95.52,3.68,0.66,4.34,0.2,4.14,0.11,4.03,-0.6,0.0,4.64,10.72,6.12,7.72,4.32,10.73,-1.14,-1.79,4.46,0.66,-1.11,-1.83,-99.46,202403.0,64.82,1.09,-1.52,-1.72,-3.98,12.38,-0.62,0.3,-0.32,0.2,-0.52,0.09,-0.61,0.0,-0.61,0.0,-0.61,-5.01,-4.93,4.32,-1.41,244.43,543614.0_TIPSFILMS
Tips Industries,532375.0,TIPSINDLTD,Entertainment / Electronic Media Software,425.5,63.26,25.76,21.61,40.53,29.34,66.52,30.18,5.33,35.51,0.5,35.01,0.08,34.93,9.16,0.0,25.76,100.0,47.71,40.72,12.84,2.01,49.82,35.02,60.87,52.62,39.65,27.1,55.52,202403.0,30.4,68.62,45.31,44.55,3.47,64.83,43.42,3.44,46.86,0.44,46.42,0.07,46.35,11.7,34.65,0.0,34.65,66.98,53.45,12.84,2.7,5464.57,532375.0_TIPSINDLTD
Tirth Plastic,526675.0,__NA__,Trading,37.8,0.0,-0.01,,,,100.0,-0.03,0.02,-0.01,0.0,-0.01,0.0,-0.01,0.0,0.0,-0.01,,,,4.45,,-0.01,-0.02,0.0,0.0,0.01,0.0,10.0,202403.0,,,,,,0.0,-0.01,0.02,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,,,4.45,,16.83,526675.0___NA__
Tirupati Foam,540904.0,__NA__,Miscellaneous,93.11,27.43,0.52,12.88,52.94,2.3,10.53,2.12,0.22,2.34,0.5,1.84,1.13,0.71,0.19,0.0,0.52,21.51,7.73,1.9,4.5,1.18,2.19,2.28,24.02,23.39,0.48,0.48,-3.02,202403.0,2.95,24.08,2.18,0.58,1.32,29.16,2.41,0.1,2.51,0.5,2.01,1.19,0.82,0.2,0.61,0.0,0.61,8.26,2.09,4.44,1.38,41.03,540904.0___NA__
Tirupati Forge,-1.0,TIRUPATIFL,Castings & Forgings,23.5,33.11,1.92,41.56,-10.28,19.53,-27.83,3.49,0.42,3.91,0.97,2.94,0.39,2.55,0.62,0.0,1.92,36.12,10.54,5.8,20.74,0.19,2.93,2.4,23.65,20.88,1.53,1.14,-12.34,202403.0,34.15,28.01,3.25,1.97,0.19,32.36,3.97,0.14,4.11,0.91,3.2,0.41,2.79,0.73,2.05,0.0,2.05,12.27,6.33,19.6,0.21,243.64,-1.0_TIRUPATIFL
Tirupati Sarjan,531814.0,__NA__,Construction,14.34,72.01,0.89,31.43,286.96,23.37,29.93,3.01,1.11,4.12,0.56,3.56,1.71,1.85,0.95,0.0,0.89,6.65,4.18,1.24,16.5,0.27,3.55,3.22,41.64,25.53,0.99,0.76,8.94,202403.0,34.12,34.24,3.19,1.23,0.37,54.56,2.89,0.28,3.17,0.24,2.93,1.13,1.8,0.49,1.3,0.0,1.3,5.3,2.38,16.5,0.39,47.31,531814.0___NA__
Tirupati Starch,524582.0,__NA__,Miscellaneous,245.0,82.48,0.43,-4.12,-89.2,-15.86,-68.49,6.8,0.13,6.93,2.37,4.56,3.52,1.04,0.61,0.0,0.43,30.92,8.24,0.52,9.59,0.45,3.92,4.12,61.6,75.25,0.04,0.55,-2.52,202403.0,-13.51,65.08,4.07,-1.1,-1.15,86.79,5.65,0.12,5.77,2.1,3.67,2.5,1.17,0.12,1.06,0.0,1.06,6.51,1.22,8.09,1.11,234.93,524582.0___NA__
Tirupati Tyres,539040.0,__NA__,Trading,24.38,-0.11,-0.24,-210.0,-500.0,,-59.09,-0.21,0.0,-0.21,0.0,-0.21,0.0,-0.21,0.03,0.0,-0.24,,,,24.44,-0.1,0.03,0.06,0.09,0.11,0.03,0.06,271.43,202403.0,427.89,0.58,,,,0.32,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,78.12,78.12,24.44,0.1,59.59,539040.0___NA__
Titaanium Ten,539985.0,__NA__,Textiles - Products,34.5,110.89,0.43,121.34,152.94,-17.61,-0.71,3.43,-0.01,2.88,0.52,2.36,1.8,0.55,0.12,-0.01,0.68,5.03,2.48,0.37,6.73,1.01,,,,,,,-1.6,202403.0,,,,,,80.62,3.34,,,,,,,,,,0.64,,,,0.95,23.21,539985.0___NA__
Titagarh Rail,532966.0,TITAGARH,Engineering,1829.75,1052.41,81.13,8.03,69.02,38.63,129.66,117.86,12.49,132.53,6.99,125.54,15.83,107.53,28.58,-2.18,78.95,23.27,11.2,7.71,26.93,5.86,114.59,106.1,935.45,910.76,70.59,61.78,79.17,202403.0,47.62,1344.44,156.83,131.18,9.74,954.68,110.66,14.27,125.23,6.79,118.44,18.23,99.91,25.08,75.12,-0.3,74.82,11.59,7.87,25.43,5.56,24641.96,532966.0_TITAGARH
Titan Biotech,524717.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,600.0,39.92,4.84,8.36,4.31,13.94,12.56,7.07,0.48,7.55,0.84,6.71,0.34,6.37,1.53,0.0,4.84,54.18,17.71,12.12,8.26,5.86,8.72,7.89,43.43,34.75,6.03,5.41,16.09,202403.0,17.35,40.78,8.76,7.57,9.16,45.98,10.6,0.44,11.04,0.83,10.21,0.26,9.95,2.55,7.38,0.0,7.38,23.05,16.05,8.26,8.93,495.83,524717.0___NA__
Titan Company,500114.0,TITAN,Diamond Cutting / Jewellery,3408.65,12494.0,771.0,20.6,5.62,25.9,7.5,1191.0,159.0,1350.0,158.0,1192.0,201.0,991.0,220.0,0.0,771.0,22.3,9.53,6.17,89.0,8.68,1411.0,1125.0,12529.0,11897.0,916.0,756.0,8.4,202403.0,26.2,15014.27,1506.73,1131.17,12.74,14164.0,1565.0,136.0,1701.0,154.0,1547.0,169.0,1378.0,325.0,1053.0,0.0,1053.0,11.05,7.43,89.0,11.86,302615.24,500114.0_TITAN
Titan Intech,521005.0,__NA__,Computers - Software - Medium / Small,44.0,13.48,1.9,284.05,146.75,199.05,221.71,3.38,0.0,3.38,1.11,2.27,0.03,2.24,0.34,0.0,1.9,100.0,25.07,14.09,11.55,1.03,2.14,1.74,10.66,7.64,1.25,0.78,224.03,202403.0,389.4,37.39,8.46,5.52,2.35,12.26,2.74,0.0,2.74,0.75,1.99,0.0,1.99,0.3,1.69,0.0,1.69,22.35,13.78,10.99,0.96,103.62,521005.0___NA__
Titan Securities,530045.0,__NA__,Finance & Investments,41.57,2.03,1.54,2437.5,-36.63,105.28,-26.6,-0.37,0.25,-0.12,0.0,-0.12,0.0,-0.12,-0.03,0.0,1.54,-12.32,-18.23,75.86,25.02,0.62,0.57,0.07,1.82,0.33,3.07,2.61,53.73,202403.0,777.46,,,,,2.82,0.78,0.0,0.78,0.01,0.77,0.0,0.77,0.2,2.85,0.0,2.85,27.66,101.06,25.02,1.14,104.01,530045.0___NA__
TMT (I),522171.0,__NA__,Engineering,3.75,0.04,-0.1,,92.7,,56.96,-0.1,0.0,-0.1,0.0,-0.1,0.0,-0.1,0.0,0.0,-0.1,100.0,-250.0,-250.0,4.95,-0.2,-0.07,-0.09,0.0,0.0,-0.07,-0.09,52.5,202403.0,,,,,,0.0,-0.08,0.0,-0.08,0.0,-0.08,0.0,-0.08,0.0,-0.08,0.0,-0.08,,,4.95,-0.16,1.86,522171.0___NA__
Tokyo Finance,531644.0,__NA__,Finance & Investments,25.21,0.19,0.23,5.56,2400.0,11.43,808.33,0.1,0.0,0.1,0.0,0.1,0.0,0.1,-0.13,0.0,0.23,100.0,52.63,121.05,6.94,0.33,0.07,0.05,0.2,0.18,0.07,0.74,100.0,202403.0,8.52,0.2,0.07,0.07,0.1,0.2,0.08,0.0,0.08,0.0,0.08,0.0,0.08,0.03,0.05,0.0,0.05,40.0,25.0,6.94,0.07,17.57,531644.0___NA__
Tokyo Plast Intl,500418.0,TOKYOPLAST,Plastics Products,118.35,16.96,-0.06,-13.78,-110.34,-12.13,308.33,1.07,0.0,1.07,0.63,0.44,0.37,0.07,0.13,0.0,-0.06,56.49,6.31,-0.35,9.5,-0.06,1.97,1.01,18.96,14.57,0.83,0.06,-1.71,202403.0,-11.81,12.85,0.96,0.04,0.04,15.87,1.13,0.11,1.24,0.71,0.53,0.34,0.19,0.01,0.18,0.0,0.18,7.12,1.13,9.5,0.19,112.43,500418.0_TOKYOPLAST
Torrent Pharma.,500420.0,TORNTPHARM,Pharmaceuticals - Indian - Formulations,2801.75,2745.0,449.0,10.2,56.45,11.52,30.97,883.0,31.0,914.0,203.0,711.0,80.0,631.0,182.0,0.0,449.0,75.26,32.17,16.36,169.23,13.27,825.0,791.0,2660.0,2591.0,386.0,378.0,18.51,202403.0,11.58,2890.97,898.98,599.51,17.71,2732.0,869.0,55.0,836.0,213.0,623.0,80.0,631.0,188.0,381.22,88.0,443.0,31.81,13.95,169.0,13.09,94819.68,500420.0_TORNTPHARM
Torrent Power,532779.0,TORNTPOWER,Power Generation And Supply,1483.9,6528.58,430.24,8.13,-4.19,5.8,-10.65,1108.93,96.87,1205.8,355.02,850.78,233.47,617.31,170.27,0.0,447.04,25.32,16.99,6.85,480.62,8.95,1221.41,1184.78,6960.92,7327.62,542.55,532.28,-4.79,202403.0,6.04,7770.35,1287.79,657.13,13.16,6366.09,1044.06,53.56,1097.62,348.78,748.84,235.49,513.35,139.22,359.83,0.0,374.13,16.4,5.88,480.62,7.49,71318.72,532779.0_TORNTPOWER
Total Transport,-1.0,TOTAL,Miscellaneous,120.0,148.29,-0.63,31.04,25.88,-17.31,-76.05,1.46,0.8,2.26,1.15,1.11,1.82,-0.71,-0.04,0.0,-0.67,100.0,0.98,-0.45,16.13,-0.39,1.09,2.64,111.46,113.78,-0.2,1.33,-51.57,202403.0,-9.72,102.72,1.81,-0.78,-0.46,114.57,1.9,1.28,3.18,0.99,2.19,0.81,1.38,0.58,0.78,0.0,0.8,1.66,0.7,16.13,0.48,193.52,-1.0_TOTAL
Touchwood Enter.,-1.0,TOUCHWOOD,Miscellaneous,148.15,20.93,1.45,-7.72,27.19,-9.26,38.17,1.69,0.42,2.11,0.11,2.0,0.03,1.97,0.52,0.0,1.45,100.0,8.07,6.93,11.08,1.31,1.18,0.35,3.78,1.49,0.86,0.17,11.76,202403.0,3.94,1.55,0.34,0.26,0.23,6.52,1.37,0.11,1.48,0.09,1.39,0.02,1.37,0.22,1.14,0.0,1.14,21.01,17.48,11.08,1.03,164.16,-1.0_TOUCHWOOD
Tour. Fin. Corp.,526650.0,TFCILTD,Finance - Term-Lending Institutions,206.3,57.62,20.4,-4.03,-18.04,4.49,3.71,50.43,0.03,50.46,0.28,50.18,25.51,24.67,4.27,0.0,20.4,100.0,87.52,35.4,90.37,2.26,50.2,52.61,57.8,59.16,18.75,24.37,6.8,202403.0,6.57,63.05,56.02,30.16,3.26,67.27,61.88,0.09,61.97,0.27,61.7,25.61,36.09,8.5,27.59,0.0,27.59,91.99,41.01,90.37,3.05,1910.25,526650.0_TFCILTD
Toyam Sports,538607.0,__NA__,Miscellaneous,3.55,3.26,0.39,358.73,110.37,723.6,139.69,1.39,0.79,2.18,0.05,2.13,0.0,2.13,0.06,0.0,2.08,99.69,42.64,63.8,56.53,0.01,1.2,-0.45,1.94,3.04,1.2,-0.47,163.41,202403.0,17474.52,,,,,19.68,5.64,0.0,5.64,0.0,5.64,0.0,5.64,0.0,3.62,0.0,5.64,28.66,28.66,56.53,0.08,201.03,538607.0___NA__
TPI India,500421.0,__NA__,Packaging,18.69,7.12,-0.4,53.45,-11.11,11.5,-109.5,0.03,0.21,0.13,0.09,0.04,0.44,-0.29,0.0,0.11,-0.29,26.26,0.42,-5.62,4.3,-0.07,-0.19,0.33,5.32,5.23,-0.62,2.0,-70.15,202403.0,19.36,6.24,0.17,-0.34,-0.08,6.07,0.03,-0.04,0.05,0.07,-0.02,0.39,-0.47,0.0,-0.41,-0.06,-0.47,0.49,-6.75,4.3,-0.11,80.29,500421.0___NA__
TPL Plastech,526582.0,TPLPLASTEH,Packaging,89.0,82.73,6.07,14.76,59.32,15.64,31.37,9.76,0.47,10.23,1.2,9.03,1.32,7.71,1.63,0.0,6.07,21.32,11.8,7.34,15.6,0.78,8.73,7.63,78.42,69.1,4.26,3.65,21.46,202403.0,15.73,79.97,9.07,6.29,0.81,82.66,9.93,0.0,9.93,1.36,8.57,1.41,7.16,1.28,5.88,0.0,5.88,12.01,7.11,15.6,0.75,694.21,526582.0_TPLPLASTEH
Tracxn Technolo.,543638.0,TRACXN,Computers - Software - Medium / Small,90.36,20.32,1.43,-0.1,-94.16,5.97,-76.52,0.67,1.26,1.93,0.04,1.89,0.0,1.89,0.47,0.0,1.43,100.0,3.3,7.04,10.35,0.14,2.04,0.01,21.49,19.82,2.17,0.69,59.58,202403.0,6.18,21.04,0.76,0.72,0.07,21.14,1.86,1.08,2.94,0.04,2.9,0.0,2.9,0.67,2.22,0.0,2.22,8.8,10.5,10.23,0.22,940.71,543638.0_TRACXN
Tradewell Hold,531203.0,__NA__,Finance & Investments,66.11,30.99,2.3,8754.29,738.89,2944.23,717.5,2.97,0.0,2.97,0.02,2.95,0.02,2.93,0.62,0.0,2.3,100.0,9.58,7.42,3.0,7.66,0.26,-0.23,0.43,0.09,0.23,-0.26,959.46,202403.0,8655.97,,,,,-0.17,-0.38,0.0,-0.38,0.02,-0.4,0.01,-0.41,0.0,-0.4,0.0,-0.4,,,3.0,-1.33,19.83,531203.0___NA__
Trans Freight,513063.0,__NA__,Packaging,30.1,0.0,0.33,,-49.23,-100.0,,-0.12,0.45,0.33,0.0,0.33,0.0,0.33,0.0,0.0,0.33,,,,7.28,0.45,-0.06,-0.11,0.0,0.0,0.3,0.23,59.82,202403.0,,,,,,0.0,-0.16,0.43,0.27,0.0,0.27,0.0,0.27,0.05,0.22,0.0,0.22,,,7.28,0.3,21.91,513063.0___NA__
Trans India,523752.0,__NA__,Trading,30.0,9.98,1.15,-22.09,-39.47,139.41,-16.1,1.22,0.82,2.04,0.0,2.04,0.57,1.47,0.32,0.0,1.15,15.23,12.22,11.52,35.53,0.32,-0.01,0.29,29.67,12.73,0.71,0.34,15.52,202403.0,392.23,62.66,1.92,1.34,0.38,25.37,-0.17,0.9,0.73,0.0,0.73,0.39,0.34,0.09,0.26,0.0,0.26,-0.67,1.02,28.13,0.08,106.58,523752.0___NA__
Transchem,500422.0,__NA__,Miscellaneous,38.0,0.41,1.25,,204.88,,281.82,-0.45,2.16,1.71,0.0,1.71,0.0,1.71,0.46,0.0,1.25,2.44,-109.76,304.88,12.24,1.02,-0.39,-0.4,0.0,0.0,0.97,0.85,-0.58,202403.0,,,,,,0.0,-0.5,2.02,1.52,0.0,1.52,0.0,1.52,0.39,1.14,0.0,1.14,,,12.24,0.93,46.51,500422.0___NA__
Transcorp Intl.,532410.0,__NA__,Finance & Investments,36.79,361.27,-2.86,-45.64,-766.67,-25.8,-62.5,-1.69,0.38,-1.31,0.41,-1.72,0.69,-2.41,0.45,0.0,-2.86,3.54,-0.47,-0.79,6.37,-0.9,1.05,1.02,597.61,642.53,0.38,0.59,-73.86,202403.0,-23.82,489.5,0.3,-0.79,-0.25,541.22,1.0,2.1,3.1,0.41,2.69,0.58,2.11,0.16,1.96,0.0,1.96,0.18,0.36,6.37,0.62,117.2,532410.0___NA__
Transgene Biotek,526139.0,__NA__,Miscellaneous,8.89,0.05,-0.27,,81.63,283.33,89.02,-0.27,0.05,-0.22,0.02,-0.24,0.03,-0.27,0.0,0.0,-0.27,100.0,-540.0,-540.0,75.77,-0.04,-0.12,-0.13,0.05,0.1,-0.13,-0.14,1.61,202403.0,,,,,,0.05,-0.11,0.04,-0.07,0.02,-0.09,0.03,-0.12,0.0,-0.12,0.0,-0.12,-220.0,-240.0,75.77,-0.02,67.36,526139.0___NA__
Transglobe Foods,519367.0,__NA__,Food - Processing - Indian,167.45,0.0,-0.05,-100.0,-145.45,-100.0,-1350.0,-0.04,0.0,-0.04,0.0,-0.04,0.01,-0.05,0.0,0.0,-0.05,,,,0.42,-3.45,-0.04,-0.03,0.0,0.0,-0.05,-0.15,-566.67,202403.0,,,,,,0.0,-0.04,0.0,-0.04,0.0,-0.04,0.01,-0.05,0.0,-0.05,0.0,-0.05,,,0.42,-3.45,2.43,519367.0___NA__
TransIndia Real,543955.0,TREL,Miscellaneous,46.66,20.08,8.46,-31.58,209.73,-28.98,21.42,9.6,209.17,16.47,3.89,12.58,1.26,213.62,54.62,202.3,159.0,100.0,47.81,42.13,49.14,6.47,15.69,13.34,24.88,26.31,78.51,6.11,-27.78,202403.0,-27.03,19.2,10.35,5.83,0.24,25.55,15.43,-1.86,28.31,3.98,24.33,1.46,8.13,1.32,17.4,-14.74,6.81,60.39,68.1,49.14,0.28,1146.4,543955.0_TREL
Transpact Enter.,542765.0,__NA__,Trading,264.0,0.0,,,,-100.0,-28.57,-0.03,,,,,,,,,-0.06,,,,,-1.55,,,,,,,-100.0,202403.0,,,,,,0.0,-0.03,,,,,,,,,,-0.03,,,,-0.78,10.21,542765.0___NA__
Transpek Inds.,506687.0,__NA__,Chemicals,1771.9,148.21,5.64,-26.9,-74.79,-29.9,-54.88,18.77,4.79,23.56,11.33,12.23,3.49,8.74,3.1,0.0,5.64,48.74,12.66,3.81,5.59,10.1,13.36,22.51,120.94,162.16,2.99,15.85,-45.4,202403.0,-28.87,115.35,16.15,5.09,9.11,148.32,27.68,4.63,32.31,8.66,23.65,3.69,19.96,5.88,14.08,0.0,14.08,18.66,9.49,5.59,25.21,989.7,506687.0___NA__
Transport Corp.,532349.0,TCI,Miscellaneous,914.0,1078.9,104.26,10.17,23.47,6.39,10.08,109.4,34.2,146.0,33.4,112.6,4.1,106.1,2.8,-2.4,103.3,100.0,10.14,9.78,15.5,13.13,100.4,100.8,993.5,949.8,87.8,83.2,-3.5,202403.0,6.45,1011.03,104.56,68.12,8.66,1002.0,99.9,27.7,127.6,33.1,94.5,3.5,91.0,10.8,79.4,0.0,80.2,9.97,8.0,15.5,10.22,7105.81,532349.0_TCI
Transteel Seatin,-1.0,TRANSTEEL,Miscellaneous,67.4,43.0,,,,24.87,22.93,11.35,,,,,,,,,6.94,,,,,3.44,,,,,,,23.94,202403.0,,,,,,31.26,8.21,,,,,,,,,,4.18,,,,3.12,136.0,-1.0_TRANSTEEL
Transvoy Logist.,543754.0,__NA__,Miscellaneous,125.5,21.21,0.64,-51.53,0.0,116.35,-73.02,0.52,0.03,0.99,0.1,0.89,0.06,0.83,0.2,0.0,-0.11,77.37,50.53,33.68,2.66,-0.41,,,,,,,53.85,202403.0,,,,,,7.11,0.88,0.3,0.19,0.07,0.12,0.11,0.01,0.01,-0.01,0.0,0.28,-0.98,-0.09,,1.05,33.42,543754.0___NA__
Transwar.Fin.,532812.0,TFL,Finance & Investments,24.47,5.12,2.73,166.67,145.5,20.32,108.87,2.82,1.21,4.03,0.13,3.9,1.18,2.72,-0.01,0.0,2.73,100.0,55.08,53.32,48.89,0.56,-0.13,-0.07,3.25,2.69,-0.5,-1.07,176.77,202403.0,62.22,4.36,0.33,-1.0,-0.2,3.03,0.08,0.87,0.95,0.12,0.83,1.19,-0.36,0.0,-0.36,0.0,-0.36,2.64,-11.88,48.84,-0.07,119.6,532812.0_TFL
Transwind Infra.,-1.0,TRANSWIND,Engineering - Turnkey Services,22.0,9.42,0.01,-47.37,104.35,-38.77,10.0,0.3,0.3,0.32,0.11,0.21,0.2,0.01,0.0,0.0,0.38,16.43,0.48,0.24,6.69,0.57,,,,,,,-34.74,202403.0,,,,,,5.38,0.33,0.07,0.47,0.15,0.32,0.19,0.13,0.04,0.1,0.0,0.16,10.36,2.59,,0.24,14.72,-1.0_TRANSWIND
Tranway Technol.,542923.0,__NA__,Computers - Software - Medium / Small,8.03,2.22,,,,-42.79,-155.88,0.09,,,,,,,,,0.0,,,,,0.0,,,,,,,-104.41,202403.0,,,,,,2.42,-0.12,,,,,,,,,,-0.18,,,,-0.17,8.51,542923.0___NA__
Tree House Edu.,533540.0,TREEHOUSE,Miscellaneous,27.39,1.94,-1.25,-62.76,-146.47,-18.71,89.61,-0.39,0.32,-0.07,0.18,-0.25,0.0,-0.25,1.0,0.0,-1.25,100.0,-20.1,-64.43,42.31,-0.3,0.35,-0.01,2.09,1.95,-0.83,-0.83,-75.9,202403.0,12.16,2.19,0.02,-0.17,-0.04,2.19,0.24,0.0,0.24,0.18,0.06,0.0,0.06,0.89,-0.83,0.0,-0.83,10.96,-37.9,42.31,-0.2,115.88,533540.0_TREEHOUSE
Trejhara Solutio,542233.0,TREJHARA,Computers - Software - Medium / Small,183.4,6.43,-1.96,12.02,-247.37,-66.76,103.28,-0.07,12.1,-1.0,0.94,-1.94,0.02,11.07,0.72,13.03,10.35,100.0,-1.09,-30.48,14.52,7.13,2.58,0.85,6.03,4.03,3.86,3.94,-59.65,202403.0,-29.28,2.85,0.7,0.13,0.09,6.36,2.72,0.26,3.17,0.95,2.22,0.05,1.98,0.42,1.72,-0.19,1.57,42.77,27.04,11.82,1.08,266.23,542233.0_TREJHARA
Trent,500251.0,TRENT,Trading,5418.9,3297.7,262.8,51.08,458.9,50.15,205.71,469.64,694.87,588.44,212.94,375.5,32.54,919.03,206.94,576.07,712.09,43.99,14.24,8.06,35.55,19.81,456.57,367.4,2982.42,2628.37,228.06,166.67,76.88,202403.0,50.19,3947.47,589.59,309.16,8.6,3466.62,628.52,110.01,738.53,164.53,574.0,98.81,475.19,104.55,370.64,0.0,370.64,18.13,10.69,35.55,10.53,192635.09,500251.0_TRENT
Trescon,532159.0,__NA__,Construction,16.59,0.0,-0.11,,-109.24,-100.0,47.92,-1.1,1.09,-0.01,0.07,-0.08,0.04,-0.12,-0.02,0.0,-0.11,,,,70.77,-0.02,-1.08,-0.34,0.0,0.0,-0.39,0.79,-27.74,202403.0,,,,,,0.0,0.05,1.38,1.43,0.0,1.43,0.0,1.43,0.29,1.13,0.0,1.13,,,70.77,0.16,120.27,532159.0___NA__
TRF,505854.0,TRF,Engineering,550.0,38.0,6.3,-2.29,-52.67,-20.97,-53.98,5.31,6.11,11.42,0.62,10.8,4.5,6.3,0.0,0.0,6.3,93.34,13.97,16.58,11.0,5.72,8.65,10.0,39.27,33.91,18.33,8.76,-39.0,202403.0,-19.37,27.34,7.53,2.58,2.34,28.77,11.71,-4.76,14.54,0.55,13.99,3.1,3.3,2.08,8.8,-7.59,1.21,40.7,30.59,11.0,1.1,605.0,505854.0_TRF
Tricom Fruit,531716.0,__NA__,Food - Processing - Indian,1.45,0.0,0.0,,,,,0.0,-0.09,0.0,0.0,0.0,0.0,-0.09,0.0,-0.09,-0.09,,,,19.09,-0.05,0.0,0.0,0.0,0.0,-0.02,-0.03,,202403.0,,,,,,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,-0.01,-0.01,,,19.09,-0.01,2.76,531716.0___NA__
Trident,521064.0,TRIDENT,Textiles - Cotton/Blended,38.48,1682.26,56.61,6.93,-56.37,7.53,-20.66,205.47,18.19,223.66,96.43,127.23,49.08,78.15,19.14,0.0,59.01,47.93,12.21,3.51,509.6,0.11,240.26,231.34,1797.52,1493.71,90.31,91.34,-0.68,202403.0,9.07,1629.23,234.56,97.36,0.18,1835.34,263.2,13.77,276.97,90.4,186.57,40.24,146.33,37.02,108.78,0.0,109.31,14.34,5.96,509.6,0.21,19609.67,521064.0_TRIDENT
Trident Lifeline,543616.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,196.5,26.05,1.4,44.72,100.0,40.83,-1.33,4.24,0.33,2.09,0.13,1.96,0.1,1.86,0.46,0.0,2.83,37.38,20.37,16.2,11.5,2.46,1.98,,9.41,,2.02,,30.67,202403.0,,,,,,18.58,3.95,0.64,2.58,0.12,2.46,0.15,2.31,0.33,1.98,0.0,3.11,22.93,23.4,,2.7,225.96,543616.0___NA__
Trident Techlabs,-1.0,TECHLABS,Computers - Software - Medium / Small,851.35,64.24,,,,7.82,69.13,17.48,,,,,,,,,12.46,,,,,7.21,,,,,,,57.19,202403.0,,,,,,8.38,-1.52,,,,,,,,,,-3.09,,,,-2.43,1471.25,-1.0_TECHLABS
Trident Texofab,540726.0,__NA__,Trading,41.43,30.17,-0.14,24.46,-216.67,3.24,-63.09,1.02,0.39,1.07,0.41,0.66,1.14,-0.14,-0.04,0.34,-0.1,15.38,3.38,-0.46,10.07,-0.1,1.26,1.43,23.2,23.1,0.75,-0.13,-2.38,202403.0,4.73,24.19,1.44,-0.11,-0.11,23.01,1.9,0.11,2.01,0.41,1.6,0.93,0.67,0.11,0.56,0.0,0.56,8.26,2.43,10.07,0.56,41.72,540726.0___NA__
