Name,BSE Code,NSE Code,Industry,Current Price,Number of equity shares 10years back,Average return on equity 5Years,Average return on equity 3Years,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization,join_key
Veeram Securit.,540252.0,__NA__,Trading,8.99,,15.15,14.43,1.9,1.51,,2.41,2.59,4.21,,0.0,0.0,0.0,18.19,19.13,15.68,13.59,12.58,13.18,31.18,10.85,7.97,24509.0,0.0,0.0,0.0,0.0,13.13,14.56,28.65,28.34,29.56,29.26,45.38,20.85,19.48,,171.97,0.0,0.0,68.0,540252.0___NA__
Veerhealth Care,511523.0,__NA__,Pharmaceuticals - Indian - Formulations,21.9,1.39,3.25,3.6,10.1,9.89,9.2,5.67,7.83,3.06,2.93,0.0,0.0,0.0,4.84,4.99,4.33,3.22,1.98,2.73,9.33,1.76,1.09,3605.0,0.0,72.37,52.93,45.17,2.42,2.71,21.48,33.93,24.71,21.44,5.28,5.21,8.37,12.37,191.48,0.0,0.0,43.8,511523.0___NA__
Veerkrupa Jewel,543545.0,__NA__,Trading,1.7,,0.89,1.08,,,,0.86,3.87,,,0.0,0.0,0.0,1.03,0.87,0.87,0.87,,,,0.76,,178.0,0.0,7.24,222.31,0.0,0.48,0.67,84.0,84.0,84.0,84.0,,,,,263.37,,,22.28,543545.0___NA__
Velan Hotels,526755.0,__NA__,Hotels,6.91,3.2,-15.06,-15.46,4.9,4.87,18.61,8.0,5.24,4.69,13.39,0.0,0.0,0.0,-2.92,-2.62,-2.19,-1.5,-24.39,-13.67,-17.6,,,6941.0,0.0,0.0,0.0,8.07,-2.13,-2.57,,,,,7.86,14.77,22.37,25.44,0.0,0.0,0.0,22.09,526755.0___NA__
Veljan Denison,505232.0,__NA__,Engineering,1877.8,0.45,8.78,9.72,348.49,333.24,200.84,0.78,0.85,1.95,1.49,0.0,0.0,2.07,12.95,11.47,12.88,14.2,10.59,9.7,-2.55,23.4,25.86,2898.0,12.46,99.84,141.79,215.85,7.27,8.22,19.64,14.78,16.24,16.7,155.16,189.0,226.32,54.0,240.09,0.0,0.0,845.01,505232.0___NA__
Vels Film,-1.0,VELS,Entertainment / Electronic Media Software,50.55,,,,,,,,,,,,,,-5.47,-5.47,-5.47,-5.47,,,,,,266.0,0.0,99.6,,,,,29.5,29.5,29.5,29.5,,,,,512.17,,,65.25,-1.0_VELS
Venky's (India),523261.0,VENKEYS,Miscellaneous,1942.4,1.41,9.9,8.34,783.98,593.63,263.42,14.07,17.54,13.91,6.55,0.0,0.0,12.12,11.38,12.86,18.32,17.48,13.4,13.22,-22.92,4.53,6.69,72449.0,11.86,59.78,45.71,36.65,6.07,5.44,22.29,16.8,18.24,18.02,2191.42,3194.08,1432.82,455.01,56.87,0.37,-0.06,2736.33,523261.0_VENKEYS
Venlon Enterpris,524038.0,__NA__,Packaging,5.75,5.22,,,-10.22,-10.0,8.68,0.0,0.45,1.28,2.56,0.0,0.0,0.0,-5.75,-6.67,-5.77,-5.11,,,,-32.26,-3.13,5187.0,0.0,45.88,304.72,12.18,-14.65,-19.66,16.13,21.37,16.13,16.13,12.49,15.67,20.17,26.54,-1511.01,0.0,0.0,30.03,524038.0___NA__
Ventura Textiles,516098.0,__NA__,Textiles - Processing,15.04,1.65,,,-7.66,-5.11,0.06,0.65,2.0,3.45,,0.0,0.0,0.0,295.0,169.93,61.45,0.23,,,,-39.65,-49.97,8917.0,0.0,15.89,146.45,144.3,8.64,32.36,2.18,3.42,2.18,2.18,4.77,10.21,11.04,2.32,-442.19,0.0,0.0,29.26,516098.0___NA__
Venus Pipes,543528.0,VENUSPIPES,Steel - Medium / Small,2019.15,,26.47,24.01,,,,5.95,3.96,,,0.0,0.0,0.41,29.44,32.74,32.74,32.74,,,,13.96,,22260.0,1.16,65.51,53.18,66.48,13.09,13.9,43.46,43.46,43.46,43.46,,,,,131.66,,,4098.12,543528.0_VENUSPIPES
Venus Remedies,526953.0,VENUSREM,Pharmaceuticals - Indian - Formulations,362.1,1.14,6.48,7.16,313.18,262.01,399.13,2.65,1.26,1.5,1.91,0.0,0.0,0.0,8.15,6.92,5.21,4.93,1.73,2.94,25.1,10.51,12.42,21719.0,0.0,41.03,21.49,43.13,4.45,5.44,13.69,14.1,13.18,12.99,339.16,40.73,120.52,279.76,109.22,1.46,0.0,484.04,526953.0_VENUSREM
Vera Synthetic,-1.0,VERA,Textiles - Manmade,51.7,0.18,11.39,10.41,31.1,27.34,,9.33,22.98,11.9,13.45,0.0,0.0,0.0,13.75,15.14,17.1,15.59,11.68,12.43,-10.79,8.58,7.72,104.0,0.0,85.34,83.36,82.67,8.87,8.16,10.19,15.33,15.33,11.27,15.94,34.84,,,119.49,0.0,0.0,25.51,-1.0_VERA
Veranda Learning,543514.0,VERANDA,Miscellaneous,208.7,,,-44.19,,,,,,,,0.0,,,-20.77,-20.77,-20.77,-20.77,,,,,,11394.0,0.0,22.85,45.98,,,-17.82,,,,,,,,,-73.08,,,1445.74,543514.0_VERANDA
Veritaas,-1.0,VERITAAS,Miscellaneous,140.55,,,117.31,,,,,,,,0.0,,,70.61,70.61,70.61,70.61,,,,,,,0.0,137.18,222.17,,,16.4,16.79,16.79,16.79,16.79,,,,,56.02,,,39.68,-1.0_VERITAAS
Veritas (India),512229.0,__NA__,Trading,1273.9,2.42,5.96,5.8,736.15,704.64,422.93,6316.19,30.85,65.3,113.92,0.0,0.0,0.13,6.11,6.19,5.61,5.63,5.73,5.59,21.0,6.67,5.93,2878.0,0.11,234.94,177.76,104.93,3.39,3.24,4.67,3.61,3.15,3.12,184.18,143.57,316.09,64.25,99.27,0.01,0.0,3415.33,512229.0___NA__
Vertex Secur.,531950.0,__NA__,Finance & Investments,6.74,7.38,-7.03,0.71,1.26,1.18,1.66,,,,,0.0,0.0,0.0,6.16,0.78,2.57,2.4,-2.74,-3.14,16.13,0.42,2.54,6609.0,0.0,327.6,201.41,367.97,-2.52,0.19,67.5,36.12,35.0,67.5,6.22,12.88,20.87,7.35,-373.08,0.0,0.0,49.89,531950.0___NA__
Vertexplus Tech.,-1.0,VERTEXPLUS,Computers - Software - Medium / Small,162.25,,,10.55,,,,,,,,0.0,0.0,0.0,18.63,21.44,21.44,21.44,,,,9.62,,184.0,0.0,65.79,40.89,,,9.14,43.17,43.17,43.17,43.17,,,,,100.24,,,88.9,-1.0_VERTEXPLUS
Vertoz Advertis.,-1.0,VERTOZ,Computers - Software - Medium / Small,740.0,,12.78,12.83,48.23,41.6,,,,,,0.0,0.0,0.02,14.75,14.58,19.22,28.64,,14.5,-10.38,18.39,,10093.0,0.0,173.69,148.63,105.56,8.85,9.07,24.63,22.0,22.0,24.71,324.87,116.08,,,173.76,23.06,-2.4,3131.86,-1.0_VERTOZ
Vesuvius India,520113.0,VESUVIUS,Refractories / Intermediates,5180.1,2.03,11.9,13.66,414.76,396.36,216.46,4.31,4.58,5.53,6.1,0.0,0.0,18.15,17.8,15.65,17.55,19.4,13.07,12.46,8.01,13.27,14.93,16975.0,16.79,62.55,75.35,71.58,8.82,9.97,34.39,27.04,29.14,32.6,2217.35,2399.81,2226.99,929.16,53.55,-0.27,0.94,10515.59,520113.0_VESUVIUS
Veto Switchgears,539331.0,VETO,Electric Equipment,128.1,1.83,8.03,8.74,101.39,93.0,,1.27,1.12,4.56,2.58,0.0,0.0,1.53,12.96,11.64,13.8,15.02,10.84,9.53,-0.8,11.84,12.4,19724.0,9.88,165.99,182.51,101.96,5.88,6.39,11.19,13.46,11.55,11.56,221.83,133.71,276.01,,270.17,-4.94,0.0,244.87,539331.0_VETO
Viaz Tyres,-1.0,VIAZ,Tyres,59.4,,,10.57,,,,2.22,,,,0.0,0.0,0.0,11.28,10.59,10.59,10.59,,,,11.82,,457.0,0.0,141.64,60.12,,,5.24,25.76,25.76,25.76,25.76,,,,,256.77,,,72.77,-1.0_VIAZ
Vibhor Steel,544124.0,VSTL,Steel - Medium / Small,260.0,,14.37,17.56,,,,6.66,5.75,,,0.0,0.0,0.0,15.76,13.98,13.98,13.98,,,,4.27,,,0.0,18.39,30.51,45.6,4.43,6.14,20.27,20.27,20.27,20.27,,,,,59.27,,,493.02,544124.0_VSTL
Vibrant Glo. Cap,538732.0,__NA__,Finance & Investments,94.0,2.29,20.75,25.58,30.35,15.05,18.35,16.14,19.62,20.62,35.75,0.0,0.0,0.34,23.02,16.63,12.29,10.92,11.73,14.04,29.13,12.99,6.73,828.0,1.2,33.75,69.84,94.37,10.01,15.32,4.19,7.6,5.35,4.6,48.56,130.57,44.67,,35.88,0.0,0.0,215.35,538732.0___NA__
Viceroy Hotels,523796.0,VHLTD,Hotels,115.65,4.24,,,-98.66,-93.82,34.22,2.5,20.83,26.15,25.73,0.0,0.0,0.0,-8.7,-10.16,-8.14,-4.73,,,,-11.38,4.28,28127.0,0.0,30.87,95.2,41.11,-4.59,-4.4,104.94,104.94,104.94,104.94,8.69,15.27,87.14,67.85,-795.67,0.0,1.56,730.42,523796.0_VHLTD
Victoria Mills,503349.0,__NA__,Construction,5926.0,0.01,0.33,0.13,4479.72,3492.9,2021.3,2.38,0.0,0.47,0.01,0.0,0.0,0.5,0.64,0.73,2.08,0.43,0.32,1.31,-26.44,4.52,,3332.0,20.85,0.0,0.0,0.0,0.16,-0.13,12.53,17.57,14.22,10.35,17.76,23.66,30.57,16.47,752.66,0.0,0.0,58.7,503349.0___NA__
Vidhi Specialty,531717.0,VIDHIING,Dyes And Pigments,435.4,4.99,21.47,19.3,32.37,25.8,9.06,4.43,3.71,3.75,4.31,0.0,0.0,4.0,22.68,25.67,26.47,26.8,23.05,22.39,-15.91,17.32,16.88,20508.0,9.2,99.78,129.57,98.94,15.9,14.18,39.91,20.89,29.01,33.79,1061.08,399.81,284.69,19.96,165.25,-0.14,-0.3,2174.61,531717.0_VIDHIING
Vidli Restaurant,539659.0,__NA__,Hotels,65.0,,,,,,,,,,,,,,14.08,14.08,14.08,14.08,,,,,,509.0,19.4,46.5,,,,,44.16,46.36,44.17,41.58,6.88,11.77,58.56,,-22.78,0.0,0.0,75.33,539659.0___NA__
Vijay Solvex,531069.0,__NA__,Solvent Extraction,1130.1,0.32,14.04,8.98,661.15,458.22,251.26,28.67,32.22,13.5,13.29,0.0,0.0,0.0,9.65,14.86,13.81,12.34,12.43,13.36,-39.84,2.01,2.04,5892.0,0.0,5.58,7.36,13.76,8.97,5.74,10.16,8.91,9.16,9.06,288.33,70.14,53.9,20.82,19.53,-0.05,0.0,361.95,531069.0___NA__
Vijay Textiles,530151.0,__NA__,Textiles - Processing,12.45,1.15,-12.94,-21.05,53.75,57.51,62.35,0.22,0.34,0.66,0.66,0.0,0.0,0.0,-3.11,0.72,3.41,3.98,-7.76,-7.41,,15.89,21.34,7298.0,0.0,2202.38,887.57,404.68,-2.77,-4.38,,11.28,9.68,15.02,24.16,52.5,21.68,10.69,3042.53,0.0,0.0,22.79,530151.0___NA__
Vijaya Diagnost.,543350.0,VIJAYA,Healthcare,762.45,,21.91,20.6,,,,24.87,22.08,,,0.0,0.0,6.13,22.76,23.78,24.54,24.54,,,-3.85,41.43,,76532.0,9.99,8.69,6.49,11.39,14.23,13.84,48.82,48.82,48.82,48.82,,,,,2.88,,,7822.52,543350.0_VIJAYA
Viji Finance,537820.0,VIJIFIN,Finance & Investments,3.32,14.3,2.76,2.82,0.79,0.76,0.59,,,,,0.0,0.0,0.0,3.16,3.07,5.21,6.38,4.76,4.32,-21.13,47.98,57.59,36951.0,0.0,0.0,11.65,55.99,1.8,1.77,68.5,70.12,45.0,48.2,7.41,8.41,63.13,27.74,-206.42,0.0,0.0,47.32,537820.0_VIJIFIN
Vikalp Securitie,531334.0,__NA__,Finance & Investments,42.52,0.31,-0.28,0.0,14.09,14.06,10.65,,,,,0.0,0.0,0.0,0.07,-0.24,0.1,1.39,0.52,-0.13,20.06,-9.52,23.94,1965.0,,0.0,0.0,0.0,-0.28,0.0,655.21,623.71,647.86,655.21,0.89,3.73,3.85,1.43,4604.81,0.0,0.0,12.97,531334.0___NA__
Vikas Ecotech,530961.0,VIKASECO,Diversified - Medium / Small,3.9,86.55,-0.27,2.41,1.35,1.5,0.5,0.99,1.51,2.45,6.89,0.0,0.0,0.0,6.11,5.02,8.37,14.37,6.9,3.08,-27.98,6.51,11.4,265412.0,0.0,140.68,254.66,245.4,-0.19,1.61,42.32,37.88,36.0,35.0,134.36,681.32,1112.03,519.3,211.35,-0.29,0.0,689.8,530961.0_VIKASECO
Vikas Lifecare,542655.0,VIKASLIFE,Trading,5.54,,,3.06,0.6,,,,,,,0.0,,,6.15,6.15,6.15,6.15,,,,,,426150.0,0.0,100.43,346.84,,,2.99,17.78,17.78,17.78,17.78,270.95,,,,97.48,2.89,0.0,943.01,542655.0_VIKASLIFE
Vikas Proppant,531518.0,__NA__,Miscellaneous,0.52,18.12,4.95,9.21,3.97,4.03,4.73,,2.05,15.9,3.57,0.0,0.0,1.01,8.49,3.11,1.72,2.44,3.51,2.88,15.01,64.38,13.99,,43.04,4263.21,,517.65,1.74,4.42,,23.8,13.21,23.11,18.66,10.69,14.86,29.9,1033.74,,,26.77,531518.0___NA__
Vikas Wsp,519307.0,__NA__,Chemicals,1.63,13.74,-2.9,-7.18,56.01,55.04,103.05,7.76,6.89,1.9,2.84,0.0,0.0,0.0,-4.54,-1.48,-0.84,-2.04,-5.72,-2.91,,4.07,0.63,69082.0,0.0,5017.47,291.76,236.17,-1.9,-4.36,,5.8,5.71,4.93,85.86,242.08,84.11,404.07,2051.35,0.0,-0.3,33.35,519307.0___NA__
Vikram Thermo,530477.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,173.1,2.8,19.37,20.11,20.85,17.31,10.35,4.55,4.79,5.71,5.98,0.0,0.0,0.41,23.51,22.4,19.08,18.87,16.63,17.43,18.23,23.53,20.91,10378.0,0.72,105.3,98.84,137.63,13.39,14.04,14.59,12.31,13.26,11.43,94.82,38.53,60.93,27.08,114.54,0.0,0.0,542.82,530477.0___NA__
Vilas Transcore,-1.0,VILAS,Steel - Medium / Small,517.85,,,16.3,,,,6.42,,,,1.52,0.0,0.0,22.61,19.03,19.03,19.03,,,,9.14,,,0.0,46.45,117.33,,,11.52,4.41,4.41,4.41,4.41,,,,,75.02,,,1267.71,-1.0_VILAS
Vilin Bio Med,-1.0,VILINBIO,Pharmaceuticals - Indian - Bulk Drugs,19.8,,,5.31,,,,4.43,,,,0.0,0.0,0.0,9.33,8.22,8.22,8.22,,,,8.82,,,0.0,258.1,241.96,,,3.04,17.38,17.38,17.38,17.38,,,,,317.97,,,27.62,-1.0_VILINBIO
Vimta Labs,524394.0,VIMTALABS,Miscellaneous,479.7,2.21,13.83,16.57,87.9,78.23,55.33,2.41,1.81,1.91,2.73,0.0,0.0,3.54,21.78,17.11,17.52,14.66,12.14,13.8,-3.94,26.26,24.13,17162.0,10.52,98.33,127.81,100.47,9.97,12.93,21.3,25.4,23.66,21.65,356.82,439.39,244.29,123.25,93.91,5.13,1.39,1063.54,524394.0_VIMTALABS
Vinati Organics,524200.0,VINATIORGA,Chemicals,1887.65,10.32,20.07,18.64,150.16,124.48,42.06,4.19,5.19,5.78,9.65,0.0,0.0,65.92,25.18,27.18,29.89,31.6,21.65,20.97,-14.71,29.96,30.58,84404.0,19.14,95.93,106.01,78.95,18.38,16.64,53.7,36.14,43.03,47.99,14388.98,8452.01,3911.28,1384.22,128.52,0.54,0.48,19568.47,524200.0_VINATIORGA
Vinayak Polycon,534639.0,__NA__,Packaging,24.79,0.31,1.07,3.06,14.05,14.67,12.17,4.1,7.92,15.93,12.97,0.0,0.0,0.0,5.77,4.32,4.65,5.57,2.11,1.79,6.09,6.24,6.77,911.0,0.0,83.8,110.07,90.98,0.4,1.25,42.34,32.5,39.66,41.69,1.94,2.28,2.64,2.29,105.94,0.0,0.0,7.64,534639.0___NA__
Vindhya Telelink,517015.0,VINDHYATEL,Construction,2515.0,1.19,7.73,6.56,2430.97,2034.88,338.17,0.57,0.18,0.6,4.14,0.0,0.0,12.09,9.16,10.8,11.45,14.13,9.15,8.3,-9.02,10.3,11.91,13157.0,5.5,135.85,280.44,210.72,4.48,3.86,9.99,9.13,7.62,5.39,971.77,1659.24,776.06,185.88,205.35,0.89,0.59,2980.33,517015.0_VINDHYATEL
Vineet Laborator,543298.0,VINEETLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,57.9,,,9.14,,,,10.34,,,,0.0,,0.18,12.99,18.26,18.26,18.26,,,,,,9821.0,4.63,68.74,64.03,,,2.46,36.76,36.84,36.84,36.84,,,,,73.36,0.0,0.0,53.36,543298.0_VINEETLAB
Vinny Overseas,543670.0,VINNY,Textiles - Processing,4.39,,1.51,1.64,1.29,1.28,,3.62,5.1,,,0.0,0.0,0.0,4.68,4.58,5.89,5.89,,,-3.29,4.29,,8522.0,0.0,64.28,73.62,72.74,0.79,1.01,31.67,27.0,27.0,29.53,32.03,37.6,,,67.86,0.0,0.0,102.13,543670.0_VINNY
Vinsys IT Serv.,-1.0,VINSYS,Computers - Education,357.0,,,-124.09,,,,,,,,9.35,,,40.14,40.14,40.14,40.14,,,,,,,0.0,86.5,140.83,,,-84.69,18.72,18.72,18.72,18.72,,,,,61.64,,,524.01,-1.0_VINSYS
Vintage Coffee,538920.0,__NA__,Tea,67.88,,,,,,,,,,,,,,6.99,6.99,6.99,6.99,,,,,,6721.0,4.47,84.74,,,,,59.04,59.04,59.04,59.04,11.24,,,,476.39,2.24,0.0,781.18,538920.0___NA__
Vintage Secur.,531051.0,__NA__,Finance & Investments,14.61,0.37,0.05,0.07,21.93,17.54,11.4,,,,,0.0,0.0,0.0,0.18,0.18,-0.18,-0.03,0.02,-0.08,,-42.86,-26.83,1130.0,,0.0,0.0,,0.04,0.07,183.2,124.75,183.2,183.2,1.57,5.87,5.3,3.8,-258.54,0.0,0.0,5.36,531051.0___NA__
Vintron Info.,517393.0,__NA__,Trading,35.34,7.84,,,-0.85,-1.38,1.03,2.46,3.64,3.95,2.8,0.0,0.0,0.0,-38.55,-36.27,-41.3,-28.55,,,,-5.62,-6.74,12821.0,0.0,36.33,41.98,62.56,-18.69,-17.31,38.82,44.32,38.82,38.82,3.45,4.31,26.8,30.95,-24.99,0.0,0.0,276.91,517393.0___NA__
Vinyas Innovativ,-1.0,VINYAS,Electronics - Components,1033.0,,,20.58,,,,1.61,,,,80.97,97.97,0.0,18.26,16.15,16.15,16.15,,,,8.08,,,0.0,52.33,51.77,,,3.65,89.2,89.2,89.2,89.2,,,,,127.61,,,1300.0,-1.0_VINYAS
Vinyl Chemicals,524129.0,VINYLINDIA,Trading,417.95,1.83,25.16,29.69,37.13,33.34,18.89,6.3,6.18,9.63,11.23,0.0,0.0,12.04,41.62,32.5,31.02,31.91,23.12,23.58,4.27,4.24,3.89,43792.0,53.46,26.98,100.0,48.3,10.91,14.97,25.05,15.21,19.81,23.67,213.44,146.15,129.46,30.62,33.27,0.09,-0.01,766.42,524129.0_VINYLINDIA
Vinyoflex,530401.0,__NA__,Plastics Products,93.26,0.43,11.74,12.2,48.71,44.92,23.15,4.57,5.39,5.31,7.74,0.0,0.0,0.0,14.38,13.63,13.78,14.61,12.27,11.81,3.23,9.36,9.06,4769.0,0.0,134.16,185.6,152.22,8.42,9.0,9.98,6.93,7.65,7.93,11.12,10.54,13.28,4.6,172.52,0.0,0.0,40.27,530401.0___NA__
VIP Clothing,532613.0,VIPCLOTHNG,Textiles - Products,40.42,7.88,-4.2,-3.17,16.35,16.54,11.68,1.01,1.1,1.19,1.65,0.0,0.0,0.0,1.37,-0.6,0.16,1.71,-3.55,-3.68,,0.24,2.9,29151.0,0.0,119.17,154.01,106.48,-2.06,-1.56,127.88,83.05,151.61,114.7,116.05,170.56,369.88,104.65,239.52,-0.15,0.0,333.87,532613.0_VIPCLOTHNG
Vippy Spinpro,514302.0,__NA__,Textiles - Cotton/Blended,167.5,0.59,12.21,13.84,82.01,75.06,44.05,2.82,3.52,3.52,4.13,0.0,0.0,0.0,16.78,14.1,13.38,13.25,11.75,11.87,-12.72,8.7,8.1,8234.0,0.0,50.78,71.69,57.51,8.76,10.42,7.75,6.29,7.68,7.8,27.0,24.07,21.92,4.94,113.95,0.0,-0.03,98.31,514302.0___NA__
Vipul Ltd,511726.0,VIPULLTD,Construction,47.25,12.0,4.14,25.61,22.69,27.25,31.69,0.0,-0.05,-0.15,-0.06,0.0,0.0,0.0,23.33,12.46,9.85,7.64,0.53,2.48,214.6,0.01,5.84,6928.0,0.0,633.75,3254.01,532.42,1.52,4.56,14.45,17.21,14.45,14.45,353.95,443.94,743.9,62.15,1076.76,0.8,0.52,566.93,511726.0_VIPULLTD
Vipul Organics,530627.0,__NA__,Dyes And Pigments,178.5,0.68,10.57,7.53,32.35,33.39,18.56,4.67,5.14,7.47,6.66,0.0,0.0,0.97,9.55,12.47,12.52,11.76,10.43,10.82,-14.58,10.35,8.76,7674.0,37.95,105.85,108.76,84.18,4.38,3.17,32.91,32.84,36.51,30.58,162.6,139.76,56.16,6.32,106.05,0.46,0.0,232.27,530627.0___NA__
Virat Crane Inds,519457.0,__NA__,Food - Processing - Indian,69.0,2.04,14.07,14.47,25.48,22.52,13.4,4.64,5.17,8.08,13.71,0.0,0.0,0.0,15.86,16.59,19.62,21.41,15.26,15.06,-1.4,9.07,10.03,5030.0,0.0,34.22,29.34,18.45,10.93,11.13,11.09,11.12,10.42,10.12,43.6,57.19,99.06,12.81,59.93,0.0,-0.06,140.9,519457.0___NA__
Virat Industries,530521.0,__NA__,Textiles - Products,168.0,0.49,5.16,5.12,45.76,44.1,26.95,1.37,1.75,2.05,1.52,0.0,0.0,0.1,6.95,6.88,9.25,14.94,9.52,6.52,-2.7,9.07,12.82,2022.0,12.15,51.95,78.0,50.37,4.38,4.35,65.12,21.48,28.1,42.04,18.19,28.95,53.17,15.63,156.64,0.51,-0.06,82.66,530521.0___NA__
VIRAT LEASING,539167.0,__NA__,Finance & Investments,93.18,1.3,0.08,-0.32,12.09,12.14,,,,0.44,14.67,0.0,0.0,0.0,0.56,0.71,0.61,0.44,0.05,0.12,,10.26,1.36,375.0,0.0,58.57,52.9,4.35,0.09,-0.3,,,,,16.23,16.23,,,-37.72,0.0,0.0,120.95,539167.0___NA__
Virgo Global,532354.0,__NA__,Computers - Software - Medium / Small,9.44,1.05,31.96,37.8,0.25,0.23,0.59,0.07,0.0,,,0.0,0.0,0.0,17.15,17.0,13.62,7.07,7.04,28.51,13.33,0.54,0.35,6566.0,0.0,56.21,72.5,80.1,1.51,2.12,9.48,9.48,9.48,9.48,0.45,4.28,0.91,0.41,10.58,0.0,0.0,9.92,532354.0___NA__
Virinchi,532372.0,VIRINCHI,Computers - Software - Medium / Small,34.71,3.6,4.74,3.4,50.69,57.21,29.69,2.59,3.4,2.09,352.0,0.0,0.0,0.0,8.24,9.67,12.13,12.03,8.25,7.55,-31.54,30.68,27.66,18527.0,0.0,81.35,79.6,68.9,2.86,1.79,27.28,8.08,11.17,14.91,128.76,256.36,310.25,13.5,152.1,0.98,0.0,326.85,532372.0_VIRINCHI
Virtual Global,534741.0,__NA__,Miscellaneous,0.86,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,80115.0,,6956.5,,,,,96.0,96.0,96.0,96.0,28.81,11.86,234.71,106.76,7368.53,-1.61,0.0,36.44,534741.0___NA__
Virtualsoft Sys.,531126.0,__NA__,Computers - Software - Medium / Small,5.82,1.03,,,-17.08,-15.15,-3.5,9.82,17.37,8.99,12.95,0.0,0.0,0.0,-16.48,-18.2,-19.09,-22.22,,,,-80.34,-68.74,3058.0,0.0,98.66,150.29,78.04,-15.73,-14.12,,,,,1.91,2.47,1.67,6.76,-81.28,0.0,0.0,5.99,531126.0___NA__
Virtuoso Optoel.,543597.0,__NA__,Domestic Appliances,299.5,,13.22,12.85,,,,3.88,5.11,,,0.0,0.0,0.0,18.75,18.5,18.5,18.5,,,,10.01,,1058.0,0.0,20.87,34.11,74.99,3.55,3.79,71.43,71.43,71.43,71.43,,,,,70.0,,,684.03,543597.0___NA__
Virya Resources,512479.0,__NA__,Construction,667.0,0.15,4.48,6.57,27.87,27.73,23.53,0.75,-2.0,,,0.0,0.0,0.0,10.65,6.63,6.2,6.41,4.42,4.31,,44.39,14.27,217.0,0.0,231.85,823.86,12.12,3.85,6.12,136.47,120.78,120.78,129.97,12.3,11.94,8.11,8.11,595.37,0.0,0.0,100.05,512479.0___NA__
Visa Steel,532721.0,VISASTEEL,Mining / Minerals / Metals,26.78,11.0,,,-202.64,-99.13,-18.62,23.35,8.54,7.75,3.62,0.0,0.0,0.0,-6.87,-6.96,-5.99,-5.08,,,,-0.35,0.46,22365.0,0.0,0.0,0.0,8.57,-5.92,-5.95,,,,,75.26,90.32,233.2,179.85,-222.41,-4.53,0.0,310.09,532721.0_VISASTEEL
Visagar Finan.,531025.0,__NA__,Finance & Investments,0.87,59.5,-0.24,0.28,0.2,0.2,0.21,36.64,0.68,1.91,,0.0,0.0,0.0,1.69,0.12,0.17,0.45,-0.1,-0.16,,0.15,0.28,37503.0,0.0,2.2,0.05,0.0,-0.24,1.07,20.25,7.33,7.33,20.25,7.14,3.57,4.76,13.69,61.62,0.0,0.0,50.83,531025.0___NA__
Visagar Polytex,506146.0,VIVIDHA,Trading,1.18,24.64,-34.87,-37.63,0.65,0.65,1.04,0.4,1.31,3.03,3.26,0.0,0.0,0.0,-29.23,-25.25,-16.36,-9.39,-12.07,-20.33,,-97.35,-2.24,102516.0,0.0,2098.27,1347.69,164.36,-24.44,-30.41,40.0,35.0,22.5,35.0,20.49,16.1,48.01,232.36,4311.1,0.0,-0.04,34.54,506146.0_VIVIDHA
Visaka Industrie,509055.0,VISAKAIND,Cement Products,116.1,,,8.04,75.5,63.6,,2.05,,,,0.0,0.0,19.26,11.35,13.89,13.89,13.89,,,,10.76,,31218.0,185.92,32.65,33.48,,,5.39,9.23,9.31,9.31,9.31,779.75,649.1,430.03,115.61,94.55,-4.44,0.27,1003.17,509055.0_VISAKAIND
Visaman Global,-1.0,VISAMAN,Trading,47.35,,,13.52,,,,,,,,0.0,,,15.63,15.63,15.63,15.63,,,,,,,0.0,31.72,53.47,,,2.32,,,,,,,,,34.3,,,62.35,-1.0_VISAMAN
Visco Trade,540097.0,__NA__,Finance & Investments,66.5,2.4,46.72,72.49,2.89,2.67,,1.33,8.93,5.19,1.44,0.0,0.0,0.1,12.45,3.92,2.55,1.96,23.13,32.8,87.49,11.14,10.01,1011.0,0.48,3.57,0.0,0.0,-0.71,4.8,19.09,22.76,22.69,17.77,6.74,7.37,6.29,,187.72,0.0,0.0,159.69,540097.0___NA__
