Name,BSE Code,NSE Code,Industry,Current Price,Return over 3months,Return over 6months,Volume 1month average,Volume 1week average,Volume,High price,Low price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization,join_key
Shelter Infra,526839.0,__NA__,Miscellaneous,11.26,16.18,-1.9,1237,571,696,14.93,5.5,97.0,4.75,-4.98,20.92,-0.59,11.0,10.96,10.96,10.95,57.69,-0.04,-0.14,-0.09,-0.1,93.63,2.45,-0.25,2708,6.49,-6.33,4.02,526839.0___NA__
Shelter Pharma,543963.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs,49.9,-14.33,-19.36,35167,28500,27000,80.9,37.5,80.9,37.5,2.19,-3.59,-4.25,53.78,53.76,53.99,53.81,39.0,-1.43,-1.37,-1.44,-1.44,,,,93517,,,57.69,543963.0___NA__
Shemaroo Entert.,538685.0,SHEMAROO,Entertainment / Electronic Media Software,146.9,-5.39,-7.42,46597,41062,29311,240.0,122.0,595.0,40.25,1.39,-1.65,3.09,151.04,154.3,151.29,154.39,43.1,-0.99,-0.82,-1.19,-1.25,-6.25,4.98,-16.0,167021,-12.59,,400.56,538685.0_SHEMAROO
Shera Energy,-1.0,SHERA,Mining / Minerals / Metals,178.6,-6.98,7.53,24053,24750,30000,209.0,96.0,209.0,57.0,5.93,-4.75,-6.44,178.85,161.36,179.27,161.29,37.31,-2.97,-2.52,-2.38,-2.24,67.76,,,72858,,,406.98,-1.0_SHERA
Shervani Indl Sy,526117.0,__NA__,Construction,616.0,5.52,19.39,3295,6081,302,800.0,349.9,1195.0,18.1,2.5,-0.28,3.26,596.05,546.38,595.85,545.83,51.39,1.02,0.91,0.13,-0.09,52.52,23.36,2.51,3063,12.11,24.62,166.38,526117.0___NA__
Sheshadri Indus.,539111.0,__NA__,Textiles - Products,14.85,9.56,-6.47,875,874,164,19.99,11.7,40.4,3.05,-0.34,10.37,13.74,13.86,14.89,13.82,14.89,65.75,0.13,0.04,0.0,-0.03,-7.51,4.65,27.4,1961,11.49,,7.37,539111.0___NA__
Shetron,526137.0,__NA__,Packaging,111.5,-2.42,-17.39,5186,5397,4675,153.7,64.31,153.7,6.06,-1.2,-1.4,-0.35,117.15,109.99,117.32,109.96,44.41,-1.38,-1.3,-1.08,-1.0,71.84,55.35,37.33,14514,10.54,26.21,100.35,526137.0___NA__
Shigan Quantum,-1.0,SHIGAN,Auto Ancillaries,103.0,3.31,-26.9,11368,14625,6000,166.8,70.2,166.8,58.2,-3.51,-1.95,-2.74,107.34,109.41,107.52,109.47,44.87,-0.6,-0.4,-0.58,-0.57,41.1,,,30116,,,186.74,-1.0_SHIGAN
Shilchar Tech.,531201.0,__NA__,Electric Equipment,5797.2,30.86,110.99,11133,10379,16379,6769.5,895.0,6769.5,17.58,5.0,6.3,9.51,5173.66,3813.32,5159.47,3796.16,55.49,33.74,18.03,30.3,29.44,488.84,282.73,109.29,17351,57.22,60.51,4421.41,531201.0___NA__
Shilp Gravures,513709.0,__NA__,Mining / Minerals / Metals,163.95,9.38,-20.95,6591,4245,8089,208.0,101.25,208.0,17.75,4.93,-6.44,4.83,162.28,154.48,162.52,154.46,43.66,-0.19,0.33,-0.31,-0.34,50.14,13.99,12.59,23005,3.18,12.92,100.82,513709.0___NA__
Shilpa Medicare,530549.0,SHILPAMED,Pharmaceuticals - Indian - Formulations,572.95,12.92,69.98,457286,322273,166576,608.0,281.15,786.9,4.33,0.59,-4.46,17.3,520.61,435.18,518.61,433.83,58.65,19.93,20.69,16.74,15.95,100.39,0.74,10.45,649101,-1.95,9.09,5602.94,530549.0_SHILPAMED
Shine Fashions,543244.0,__NA__,Trading,177.0,-16.19,30.15,3625,500,500,245.7,43.85,245.7,19.55,0.0,0.0,-11.06,166.03,104.09,165.58,103.36,48.66,0.39,0.74,3.33,4.06,284.78,41.67,,7049,,,49.52,543244.0___NA__
Shipping Land,544142.0,SCILAL,Miscellaneous,80.86,84.99,,7476494,5104459,3414808,88.9,35.65,88.9,35.65,-0.43,-0.71,21.75,68.79,55.1,68.28,54.84,66.81,4.27,4.3,3.44,3.23,,,,5735193,,,3766.44,544142.0_SCILAL
Shish Industries,540693.0,__NA__,Plastics Products,137.65,13.34,33.07,49791,29982,32605,172.05,99.0,172.05,3.46,0.33,2.5,-4.62,137.76,123.69,137.78,123.55,49.01,-2.44,-2.82,-2.17,-2.1,5.76,83.38,86.75,42311,,,490.08,540693.0___NA__
Shiva Cement,532323.0,__NA__,Cement - South India,49.99,6.78,0.61,628032,702280,317043,60.47,38.65,62.54,1.56,0.77,1.58,3.27,47.25,47.2,47.16,47.17,57.19,1.0,1.03,0.94,0.92,14.18,13.09,33.87,375927,9.62,27.59,1474.71,532323.0___NA__
Shiva Global,530433.0,__NA__,Fertilizers,47.43,-13.23,-34.11,21044,17708,7394,81.4,37.05,133.4,5.51,2.0,-6.14,17.07,45.08,56.02,45.03,56.11,56.42,1.77,1.92,1.48,1.41,-25.18,-9.39,12.03,27292,-7.95,7.82,47.4,530433.0___NA__
Shiva Granito,540072.0,__NA__,Mining / Minerals / Metals,14.75,52.22,55.43,11667,0,0,16.0,4.96,30.85,1.66,-0.54,0.0,3.87,12.06,8.94,11.95,8.88,66.16,1.11,1.14,1.02,1.0,63.53,70.23,25.7,80000,2.99,,19.49,540072.0___NA__
Shiva Mills,540961.0,SHIVAMILLS,Textiles - Spinning - Synthetic / Blended,93.01,8.2,-3.46,39959,86198,25605,119.35,67.0,209.0,17.0,0.83,0.51,1.03,93.4,90.83,93.45,90.82,48.29,-0.48,-0.49,-0.6,-0.64,26.01,0.97,14.83,54975,,,80.37,540961.0_SHIVAMILLS
Shiva Texyarn,511108.0,SHIVATEX,Textiles - Cotton/Blended,171.2,13.11,17.25,35471,13163,14597,201.0,115.0,669.9,13.69,-0.19,-2.83,3.49,171.05,157.04,171.03,156.9,46.2,2.28,3.08,3.82,4.21,38.44,-1.44,5.06,44152,-11.85,13.35,221.93,511108.0_SHIVATEX
Shivagrico Impl.,522237.0,__NA__,Castings & Forgings,23.2,-23.68,-27.04,282,41,61,33.29,15.81,33.29,3.77,0.0,-14.07,-10.73,25.26,22.88,25.35,22.87,38.14,-0.2,0.0,0.09,0.16,36.87,69.67,32.88,2020,15.08,9.34,11.62,522237.0___NA__
Shivalic,-1.0,SPCL,Electric Equipment,317.0,,,0,0,0,,,,,,,,,,,,,,,,,,,,0,,,245.82,-1.0_SPCL
Shivalik Bimetal,513097.0,SBCL,Mining / Minerals / Metals,592.7,4.21,-2.87,266668,678090,150621,750.0,460.0,750.0,1.59,1.95,9.67,14.85,541.62,542.82,540.0,542.44,66.38,10.68,8.68,3.68,1.93,-5.81,93.67,52.02,221959,56.75,61.93,3414.2,513097.0_SBCL
Shivalik Rasayan,539148.0,SHIVALIK,Pesticides / Agrochemicals - Indian,634.25,13.08,-11.32,31098,50340,21818,893.0,492.9,1196.8,7.0,0.18,2.65,5.43,601.29,641.57,599.99,641.66,60.7,9.08,7.69,2.4,0.73,-19.59,-6.53,19.82,30778,21.99,,986.91,539148.0_SHIVALIK
Shivam,544165.0,__NA__,Trading,49.39,,,53824,32250,12000,59.87,45.1,59.87,45.1,-0.98,-2.95,-0.22,49.35,48.3,49.35,48.28,49.36,-0.03,-0.02,-0.04,-0.04,,,,186075,,,83.9,544165.0___NA__
Shivam Autotech,532776.0,SHIVAMAUTO,Auto Ancillaries,40.58,3.35,5.21,476199,236619,158741,49.75,24.9,100.67,2.63,-0.47,-2.14,17.49,39.65,37.48,39.61,37.45,53.72,0.84,0.9,0.65,0.6,62.11,22.63,8.01,352423,-6.28,8.79,495.97,532776.0_SHIVAMAUTO
Shivansh Finserv,539593.0,__NA__,Finance & Investments,4.62,-18.8,8.96,1310,1022,1450,8.17,3.8,28.8,0.4,0.0,-3.75,-12.67,4.98,4.87,4.99,4.87,32.4,-0.07,-0.06,-0.05,-0.04,21.58,80.93,12.62,6386,6.16,,2.88,539593.0___NA__
Shoora Designs,543970.0,__NA__,Diamond Cutting / Jewellery,46.0,7.91,-2.13,4000,0,0,100.54,0.0,100.54,0.0,-0.54,0.0,-3.16,47.39,65.91,47.45,66.11,49.81,0.55,0.65,0.34,0.29,,,,21371,,,6.89,543970.0___NA__
Shoppers Stop,532638.0,SHOPERSTOP,Textiles - Products,747.55,-2.34,10.42,55364,42201,57093,889.75,616.0,889.75,33.4,-0.89,-0.21,3.34,741.12,724.72,740.58,724.42,54.88,3.88,3.58,2.95,2.72,-7.64,46.94,9.59,115596,12.5,7.34,8220.15,532638.0_SHOPERSTOP
Shraddha Prime,531771.0,__NA__,Construction,114.45,-36.77,2.44,22168,36424,25862,201.7,31.85,201.7,3.13,5.0,-8.17,-12.8,133.22,113.06,134.2,113.1,36.59,-7.62,-7.51,-7.3,-7.22,259.38,122.69,,19913,,,231.2,531771.0___NA__
Shradha AI Tech,543976.0,__NA__,Trading,91.99,43.85,27.28,87937,56864,89395,92.48,24.2,92.48,24.2,9.41,20.98,65.94,60.97,52.7,60.03,52.39,79.03,5.99,5.13,4.63,4.29,,,,29206,,,224.27,543976.0___NA__
Shradha Infrapr.,-1.0,SHRADHA,Construction,138.0,100.12,93.25,262246,113001,38212,160.28,41.05,160.28,10.13,2.09,-11.44,52.66,95.83,72.15,94.23,71.52,68.9,15.68,15.81,11.64,10.63,172.54,69.05,41.02,121931,,,279.45,-1.0_SHRADHA
Shree Bhavya,521131.0,__NA__,Textiles - Processing,20.89,4.35,-11.11,3280,1355,1624,33.24,15.15,67.05,2.09,-2.7,-7.16,-3.95,22.03,21.33,22.08,21.33,42.8,-0.2,-0.14,-0.24,-0.24,26.22,42.83,33.59,11899,17.24,11.18,19.85,521131.0___NA__
Shree Cement,500387.0,SHREECEM,Cement - North India,28167.2,5.04,-1.24,46467,51381,39222,30737.75,23023.05,32050.0,309.1,1.06,2.02,12.92,26367.52,26004.52,26306.18,25985.77,67.14,542.39,533.2,502.32,492.31,16.68,1.04,5.34,35671,6.76,14.38,101629.37,500387.0_SHREECEM
Shree Ganesh Bio,539470.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,1.16,0.0,-25.81,1875445,1634372,1596830,1.89,0.7,24.7,0.7,0.87,0.88,-0.86,1.18,1.22,1.18,1.22,48.04,-0.01,-0.01,-0.01,-0.01,6.48,-41.72,-28.14,4145323,,,46.24,539470.0___NA__
Shree Ganesh Rem,540737.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,820.0,19.57,17.02,16478,3012,2753,934.95,380.0,934.95,22.07,1.31,-5.14,32.18,734.08,625.43,731.0,623.58,58.4,40.37,44.7,48.92,51.06,97.99,36.25,73.71,12281,,,1052.47,540737.0___NA__
Shree Hanuman Sg,537709.0,__NA__,Sugar,16.57,173.91,141.77,294455,193251,111748,16.9,4.95,102.0,1.1,-1.95,21.41,150.0,8.97,7.2,8.65,7.1,94.77,2.43,2.23,1.62,1.41,218.27,,,88753,,-5.51,30.66,537709.0___NA__
Shree Karni,-1.0,SHREEKARNI,Textiles - Products,610.0,82.42,,64263,30150,4200,824.5,260.0,824.5,260.0,-5.06,-4.03,52.59,508.39,371.97,502.92,369.25,61.32,63.72,68.5,65.36,65.77,,,,61352,,,431.4,-1.0_SHREEKARNI
Shree Marutinand,544083.0,__NA__,Trading,217.0,-17.18,,13421,9125,11000,454.95,188.6,454.95,188.6,-4.82,-9.79,-6.43,250.01,255.34,251.36,255.72,40.87,-3.4,-1.77,-4.12,-4.3,,,,29435,,,75.08,544083.0___NA__
Shree Metalloys,531962.0,__NA__,Trading,36.72,22.91,6.82,816,805,508,46.26,26.52,50.9,3.93,2.0,0.45,6.16,35.75,34.1,35.74,34.08,49.42,0.33,0.41,0.39,0.4,15.76,7.47,22.61,1231,12.54,6.03,19.32,531962.0___NA__
Shree Mfg. Co.,503863.0,__NA__,Textiles - Cotton/Blended,15.78,25.44,-2.83,50,0,0,16.69,7.2,31.95,2.64,-5.0,0.0,-5.0,12.87,10.66,12.75,10.61,62.14,0.98,0.97,0.86,0.83,31.61,66.32,23.83,951,18.71,4.67,13.1,503863.0___NA__
Shree OSFM,-1.0,SHREEOSFM,Miscellaneous,169.95,41.33,99.41,45105,17000,8000,184.9,63.0,184.9,63.0,0.21,-0.88,3.89,146.94,107.74,146.02,107.11,57.57,8.81,9.55,10.79,11.29,,,,62184,,,242.76,-1.0_SHREEOSFM
Shree Pacetronix,527005.0,__NA__,Healthcare,222.0,38.43,0.58,13137,8692,8066,391.9,138.0,391.9,6.41,1.95,-7.46,0.69,212.37,208.84,212.15,208.75,50.23,1.3,1.52,2.2,2.42,2.96,173.79,,10359,55.4,31.63,79.9,527005.0___NA__
Shree Precoated,533110.0,__NA__,Construction,15.0,56.09,-9.64,1790,2448,869,23.94,8.28,62.2,0.2,0.0,-0.07,6.38,14.34,15.55,14.31,15.55,56.14,0.17,0.14,0.14,0.14,-10.45,38.8,78.84,2514,54.93,12.43,6.21,533110.0___NA__
Shree Ram Prote.,-1.0,SRPL,Solvent Extraction,1.18,-1.74,7.62,1231281,925550,1231259,7.81,0.95,29.52,0.95,4.42,8.65,2.73,1.09,2.17,1.09,2.18,60.39,0.0,-0.01,-0.01,-0.01,-83.74,-47.77,-26.73,1240799,,,50.55,-1.0_SRPL
Shree Rama News.,500356.0,RAMANEWS,Miscellaneous,19.97,18.13,-1.21,135781,139630,145275,24.38,11.15,58.3,3.85,1.84,0.77,-0.46,19.89,18.3,19.9,18.28,47.23,-0.23,-0.25,-0.26,-0.27,48.56,-0.49,1.28,424490,-3.05,9.38,294.61,500356.0_RAMANEWS
Shree Securities,538975.0,__NA__,Finance & Investments,0.35,-7.89,-28.57,6672442,5062536,4372514,0.57,0.31,3.41,0.31,0.0,0.0,0.0,0.36,0.47,0.36,0.47,49.82,0.0,0.0,0.0,0.0,-25.53,-37.74,,7830757,,,27.93,538975.0___NA__
Shree Tirupati,-1.0,TIRUPATI,Packaging,694.55,33.7,33.91,2714,1125,1750,694.55,99.9,694.55,22.4,5.0,0.08,28.45,538.89,365.48,533.88,362.5,71.51,40.71,39.59,31.7,29.45,548.53,153.31,75.22,6295,,,703.58,-1.0_TIRUPATI
Shree Vasu Logis,-1.0,SVLL,Miscellaneous,236.0,7.97,5.65,13451,12121,14504,265.0,155.0,265.0,32.0,0.26,1.06,4.54,223.29,205.24,222.79,204.94,58.41,3.32,2.91,2.92,2.83,28.62,54.9,22.89,2824,,,270.61,-1.0_SVLL
Shreeji Translog,540738.0,__NA__,Miscellaneous,26.82,-13.91,-37.79,145565,102551,135798,58.51,21.54,76.36,3.56,2.92,-4.05,-0.91,28.5,36.09,28.6,36.19,39.12,-0.53,-0.5,-0.59,-0.61,-43.35,47.63,28.7,294334,,,187.44,540738.0___NA__
Shreeoswal Seeds,-1.0,OSWALSEEDS,Miscellaneous,27.02,-9.57,-42.42,70117,110897,31685,63.16,23.25,70.89,3.17,-0.07,-3.81,5.62,28.75,38.61,28.82,38.73,48.12,-0.09,-0.08,-0.39,-0.46,-55.54,57.13,44.25,129355,,,247.15,-1.0_OSWALSEEDS
Shreeshay Engi.,541112.0,__NA__,Construction,29.77,-0.77,-12.18,15600,19000,4000,40.5,24.1,80.0,15.01,-7.69,-6.97,-16.38,31.9,27.98,31.98,27.96,45.49,-0.26,-0.09,-0.05,0.0,-11.66,22.99,12.66,26538,,,39.31,541112.0___NA__
Shreevatsaa Fin.,532007.0,__NA__,Finance & Investments,23.0,63.1,60.77,2951,3539,7477,27.78,11.38,27.78,2.5,-2.75,-10.62,10.57,20.8,17.0,20.69,16.94,55.36,1.84,2.08,1.98,2.02,104.06,78.91,25.79,1985,,,23.23,532007.0___NA__
Shrenik,-1.0,SHRENIK,Trading,1.16,6.0,-18.46,2919324,3724340,9699986,1.7,0.85,37.67,0.85,9.43,9.28,17.78,0.97,1.05,0.96,1.05,70.02,0.01,0.01,0.0,0.0,11.58,-19.07,-38.38,2557416,,,70.99,-1.0_SHRENIK
Shreyans Inds.,516016.0,SHREYANIND,Paper,274.35,12.07,2.72,77662,44977,29457,318.45,165.05,318.45,12.05,1.98,-5.31,18.41,251.69,241.8,250.99,241.53,55.78,10.88,11.91,10.54,10.46,27.35,34.27,11.89,33798,7.75,21.94,379.16,516016.0_SHREYANIND
Shreyas Interm.,526335.0,__NA__,Dyes And Pigments,11.13,10.17,4.08,8808,12164,15670,14.26,7.76,116.5,0.72,3.82,-8.38,0.37,11.05,10.97,11.07,10.97,46.06,0.02,0.06,0.03,0.03,2.58,26.15,24.95,41085,3.01,5.73,78.86,526335.0___NA__
Shreyas Shipping,520151.0,SHREYAS,Shipping,336.3,15.0,16.42,126294,59527,33791,506.0,230.2,839.7,16.05,2.25,-1.59,7.5,312.3,302.02,311.62,301.75,52.64,8.84,9.94,10.36,10.74,-3.49,19.83,18.49,130560,-0.23,23.96,738.5,520151.0_SHREYAS
Shri Balaji,544074.0,__NA__,Engineering,249.45,50.54,24.81,40484,32400,34200,323.0,131.0,323.0,131.0,0.18,-1.01,-0.99,236.22,214.11,235.7,213.76,50.75,4.84,5.65,7.69,8.41,,,,71846,,,203.55,544074.0___NA__
Shri Gang Indus,523309.0,__NA__,Breweries & Distilleries,71.3,-7.77,-38.51,8030,12875,7507,168.5,58.81,242.55,1.73,1.58,3.97,-2.36,73.77,93.18,73.91,93.41,53.22,-1.84,-2.32,-3.12,-3.44,-26.69,,,15477,,,127.85,523309.0___NA__
Shri Keshav,530977.0,__NA__,Cement - South India,200.1,-12.86,-18.2,11600,33979,1990,319.25,120.3,319.25,3.91,-0.07,1.24,1.86,201.93,198.17,202.0,198.15,51.98,0.44,0.34,0.21,0.15,40.38,74.79,29.91,7130,3.13,28.35,350.41,530977.0___NA__
Shri Krishna,531080.0,__NA__,Construction,34.7,-11.12,-28.72,2904,3018,920,62.32,28.06,62.32,2.29,3.58,-0.03,-5.93,34.91,36.66,34.97,36.69,48.38,-0.38,-0.4,-0.5,-0.53,0.99,27.8,10.43,2313,14.43,17.05,97.16,531080.0___NA__
Shri Techtex,-1.0,SHRITECH,Textiles - Products,62.0,-8.15,-13.29,22316,16500,4000,106.0,51.5,106.0,51.5,0.0,-4.62,-1.43,65.51,73.94,65.65,74.06,45.4,-0.82,-0.79,-1.02,-1.07,,,,92000,,,154.69,-1.0_SHRITECH
Shri Vasuprada,538092.0,__NA__,Tea,96.0,0.61,22.06,492,301,311,109.9,67.44,146.78,44.72,0.0,2.92,11.63,91.89,86.94,91.72,86.85,57.1,1.19,0.99,0.17,-0.08,30.45,5.29,1.84,1105,-0.98,-0.33,79.53,538092.0___NA__
Shri Venkatesh,543373.0,__NA__,Solvent Extraction,129.05,54.55,28.41,16389,8750,12000,148.0,59.1,148.0,0.0,-5.77,-7.19,30.35,112.3,99.06,111.62,98.76,60.09,8.83,9.54,7.33,6.96,63.35,,,11775,,,285.45,543373.0___NA__
Shricon Indus.,508961.0,__NA__,Construction,118.75,-5.94,53.32,39,67,2,143.15,35.55,143.15,11.15,0.0,-7.23,-14.48,124.27,85.16,124.49,84.82,35.65,-1.78,-1.09,0.24,0.75,250.71,,,131,31.47,3.86,14.73,508961.0___NA__
Shriram AMC,531359.0,__NA__,Finance & Investments,381.5,39.13,7.75,2637,7464,9308,381.5,136.0,381.5,2.94,9.99,20.41,28.46,284.85,259.2,282.32,258.32,74.5,9.45,5.34,3.22,1.66,145.12,57.55,16.76,3407,36.15,32.82,496.59,531359.0___NA__
Shriram Finance,511218.0,SHRIRAMFIN,Finance & Investments,2930.05,18.07,39.3,1921077,2201510,1210338,3059.45,1703.85,3059.45,49.21,0.64,1.01,23.68,2575.86,2260.25,2562.16,2253.7,67.81,140.76,143.16,113.4,106.56,67.79,28.81,22.46,1500148,16.45,12.09,110144.01,511218.0_SHRIRAMFIN
Shriram Pistons,-1.0,SHRIPISTON,Auto Ancillaries,1901.55,-2.52,21.81,101132,51631,41380,2206.0,946.5,2206.0,197.63,-0.51,-3.3,-1.15,1933.77,1610.26,1934.68,1607.24,45.78,-5.45,-3.06,-4.08,-3.73,102.23,59.06,33.05,129603,10.14,,8376.3,-1.0_SHRIPISTON
Shriram Properti,543419.0,SHRIRAMPPS,Construction,111.85,-10.13,-16.29,2243944,1272411,1137795,140.95,62.95,140.95,53.0,2.35,-4.09,-1.28,114.73,110.01,114.95,110.02,42.5,-1.06,-0.87,-0.99,-0.97,68.64,,,4045033,,,1905.41,543419.0_SHRIRAMPPS
Shristi Infra,511411.0,__NA__,Construction,41.83,-5.19,-25.18,1723,2282,7701,62.98,20.95,1029.0,3.0,-1.81,-3.01,-6.94,45.89,41.51,46.06,41.51,40.44,-1.37,-1.32,-1.24,-1.21,92.59,-10.68,-26.21,2139,-25.39,-12.26,92.86,511411.0___NA__
Shrydus Indust.,511493.0,__NA__,Finance & Investments,18.7,-24.93,-39.17,22171,23548,30159,40.0,17.25,41.05,0.42,2.63,-2.41,-0.71,19.69,23.97,19.75,24.02,43.52,-0.38,-0.38,-0.35,-0.35,-52.44,106.47,69.3,15804,53.2,29.16,22.44,511493.0___NA__
Shubham Polyspin,542019.0,__NA__,Textiles - Products,24.85,17.24,-5.19,21213,49994,82266,42.66,16.51,286.46,14.59,-1.51,19.97,26.09,21.34,24.07,21.18,24.06,71.83,0.79,0.55,0.33,0.22,23.37,-39.32,-1.55,15288,,,30.13,542019.0___NA__
Shubhlaxmi Jewel,-1.0,SHUBHLAXMI,Trading,33.5,-60.98,-60.43,66789,12250,11000,99.0,31.25,209.5,11.2,0.6,4.69,-20.9,47.29,67.83,47.86,68.17,30.46,-4.41,-4.69,-5.13,-5.3,-58.82,30.71,-29.47,24215,,,29.49,-1.0_SHUBHLAXMI
Shukra Bullions,531506.0,__NA__,Diamond Cutting / Jewellery,27.89,-5.97,72.16,480,405,260,37.7,5.71,37.7,5.71,-0.04,11.74,39.8,23.37,20.11,23.19,20.03,77.91,1.22,0.97,0.15,-0.12,337.83,42.39,,1423,,,14.0,531506.0___NA__
Shukra Jewellery,523790.0,__NA__,Construction,4.92,-26.13,-53.1,1146,267,200,11.62,3.2,24.22,0.78,1.86,5.81,34.06,5.01,6.21,5.02,6.23,65.21,0.06,0.02,-0.13,-0.17,-7.87,-24.18,,2647,1.84,6.03,6.68,523790.0___NA__
Shukra Pharma.,524632.0,__NA__,Pharmaceuticals - Indian - Formulations,109.2,42.07,253.2,8761,2840,2553,129.9,20.43,129.9,0.03,-1.97,-7.71,10.46,103.61,68.56,103.29,68.13,51.02,3.93,4.59,4.22,4.3,139.06,229.29,107.59,10828,70.04,,478.17,524632.0___NA__
Shyam Century,539252.0,SHYAMCENT,Mining / Minerals / Metals,17.25,-5.5,-19.54,164902,176179,178950,32.4,16.0,38.05,1.77,-0.52,-1.53,1.11,18.23,19.81,18.27,19.84,41.73,-0.16,-0.15,-0.18,-0.19,-11.53,21.36,30.68,668799,11.39,,366.01,539252.0_SHYAMCENT
Shyam Metalics,543299.0,SHYAMMETL,Steel - Large,680.45,7.48,0.1,607104,511917,511675,772.3,343.3,772.3,253.05,1.65,2.39,9.78,632.94,570.72,631.45,569.73,58.5,13.48,13.29,12.06,11.71,86.54,21.69,,1050423,,,18993.51,543299.0_SHYAMMETL
Shyam Telecom,517411.0,SHYAMTEL,Trading,15.73,75.98,68.45,7259,1076,1886,19.89,6.01,180.8,3.88,-1.99,-7.89,10.53,15.21,12.01,15.19,11.97,49.36,0.36,0.43,0.31,0.29,125.0,3.27,16.15,4281,-5.0,-7.19,17.73,517411.0_SHYAMTEL
Shyama Infosys,531219.0,__NA__,Computers - Software - Medium / Small,6.69,18.64,203.67,980,100,100,8.0,1.99,20.2,0.54,1.06,-4.89,-11.26,6.15,3.94,6.13,3.91,44.44,0.29,0.37,0.46,0.51,34.01,,38.69,2456,27.63,21.69,6.73,531219.0___NA__
Shyamkamal Inv,505515.0,__NA__,Finance & Investments,13.15,-6.49,118.67,9413,15939,22783,13.93,3.31,35.5,2.62,4.95,21.3,24.68,10.16,8.13,10.06,8.08,77.89,0.41,0.26,0.06,-0.02,212.47,-7.04,5.67,19481,-12.1,,13.34,505515.0___NA__
Sibar Auto Parts,520141.0,__NA__,Auto Ancillaries,13.41,25.79,20.57,13985,28634,31767,15.15,7.25,45.8,3.29,4.93,17.25,27.8,10.82,10.21,10.73,10.18,74.19,0.35,0.22,0.01,-0.07,29.88,18.6,-4.37,16257,-3.83,8.41,22.17,520141.0___NA__
Sicagen India,533014.0,__NA__,Trading,63.15,0.92,18.14,37495,26761,26135,79.49,38.0,200.0,2.81,-0.77,-4.36,10.49,62.66,57.93,62.62,57.87,54.14,0.78,0.8,0.12,-0.04,50.02,41.42,18.97,65702,6.69,13.78,249.88,533014.0___NA__
Sical Logistics,520086.0,SICALLOG,Miscellaneous,170.2,-12.52,-30.15,20145,27920,22079,300.6,97.0,612.87,4.95,-0.33,12.2,11.31,172.34,171.48,172.43,171.5,57.02,-2.64,-4.05,-6.72,-7.74,,125.46,10.52,28453,-5.44,4.8,1110.54,520086.0_SICALLOG
Siddha Ventures,530439.0,__NA__,Finance & Investments,9.59,1.2,-9.18,29288,20149,24250,15.81,5.6,15.81,0.35,-4.96,-2.42,-4.27,10.22,9.64,10.23,9.63,47.93,-0.05,-0.05,-0.04,-0.04,71.31,81.06,92.67,34231,40.15,27.63,9.59,530439.0___NA__
Siddhes. Garment,526877.0,__NA__,Trading,14.0,-5.47,4.96,212,78,175,19.95,4.57,19.95,4.57,-1.2,7.35,5.75,14.22,12.14,14.22,12.12,50.31,-0.1,-0.13,-0.07,-0.06,,,,622,,,4.63,526877.0___NA__
Siddhika Coatins,-1.0,SIDDHIKA,Miscellaneous,295.0,41.55,39.81,2895,1500,1000,322.5,171.2,322.5,45.0,-2.96,-3.61,7.27,262.93,209.14,261.62,208.27,56.98,12.45,13.45,13.89,14.25,44.61,63.13,,3891,,,91.14,-1.0_SIDDHIKA
Siel Fin. Serv.,532217.0,__NA__,Finance & Investments,49.79,257.66,155.07,23121,14401,46650,49.79,8.4,49.79,0.84,1.99,8.2,45.34,33.54,22.28,32.92,22.01,99.38,4.81,4.72,4.45,4.36,394.63,65.5,31.96,9990,18.42,6.22,56.48,532217.0___NA__
Siemens,500550.0,SIEMENS,Electric Equipment,7809.5,38.15,88.6,581815,612546,458296,7934.3,3246.0,7934.3,162.1,1.36,1.46,10.57,6797.7,5217.14,6760.68,5192.14,62.55,270.9,273.59,259.96,257.22,104.56,56.25,42.06,383939,28.33,22.77,278112.14,500550.0_SIEMENS
Sigachi Indust.,543389.0,SIGACHI,Pharmaceuticals - Indian - Bulk Drugs & Formln,60.36,-13.33,0.42,1469381,910540,912243,95.94,28.21,95.94,21.98,-0.15,-2.58,-6.42,64.92,59.2,65.1,59.18,37.84,-1.39,-1.32,-1.1,-1.02,95.25,,,2408383,,,1981.0,543389.0_SIGACHI
Sigma Solve,543917.0,SIGMA,Computers - Software - Medium / Small,404.0,-7.14,-19.24,11627,8618,5446,579.25,330.05,579.25,13.52,0.41,-3.81,2.6,401.48,405.89,401.45,405.93,51.55,1.88,1.95,0.67,0.37,12.09,88.58,,17905,,,415.24,543917.0_SIGMA
SignatureGlobal,543990.0,SIGNATURE,Construction,1421.1,2.34,45.82,797725,706972,755777,1488.8,444.0,1488.8,444.0,2.48,-1.63,9.2,1308.64,1073.26,1305.45,1070.11,59.93,36.53,38.14,30.17,28.58,,,,627435,,,19967.98,543990.0_SIGNATURE
