Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization,join_key
Rainbow Foundat.,531694.0,__NA__,Construction,17.15,5.49,15.55,3.19,1.56,4.75,0.03,4.72,4.58,0.14,0.49,-0.34,0.0,-0.34,20.51,-2.19,5.51,-0.07,85.09,531694.0___NA__
Raj Oil Mills,533093.0,ROML,Solvent Extraction,51.26,1.71,38.23,0.35,0.49,1.32,0.49,0.83,0.17,0.18,0.11,0.42,-0.48,0.06,0.92,1.1,14.99,0.02,153.66,533093.0_ROML
Raj Packaging,530111.0,__NA__,Packaging,29.36,-0.36,10.14,0.01,0.23,0.24,0.24,0.0,0.12,-0.12,-0.02,-0.11,0.0,-0.11,0.1,-1.08,4.57,-0.24,13.42,530111.0___NA__
Raj Rayon Inds.,530699.0,RAJRILTD,Textiles - Processing,21.32,10.22,110.4,1.63,-0.03,1.6,3.43,-1.83,1.19,-3.02,-0.16,-2.87,0.0,-2.87,1.48,-2.6,0.23,-0.05,1185.57,530699.0_RAJRILTD
Raj Television,532826.0,RAJTV,Entertainment / Electronic Media Software,99.0,0.45,38.68,2.78,0.21,2.99,0.09,2.9,0.73,2.17,0.66,1.51,0.0,1.51,7.19,3.9,25.96,0.29,513.94,532826.0_RAJTV
Raja Bahadur Int,503127.0,__NA__,Construction,4305.0,3.92,3.99,0.87,0.36,1.23,0.28,0.95,2.97,-2.02,-0.29,-1.73,0.0,-1.73,21.8,-43.36,2.5,-69.2,107.63,503127.0___NA__
Rajapalayam Mill,532503.0,__NA__,Textiles - Cotton/Blended,1130.0,18.84,221.32,22.43,2.31,24.72,13.84,10.88,14.36,-3.46,-6.65,28.72,0.02,28.74,10.13,12.98,8.59,31.17,1041.88,532503.0___NA__
Rajas. Petro Syn,506975.0,__NA__,Miscellaneous,3.13,0.0,0.05,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,20.0,20.0,16.8,0.01,5.07,506975.0___NA__
Rajas. Tube Mfg,530253.0,__NA__,Steel - Medium / Small,26.66,0.63,28.41,1.12,0.0,1.12,0.02,1.1,0.41,0.69,0.08,0.61,0.0,0.61,3.94,2.15,4.5,1.35,12.02,530253.0___NA__
Rajasthan Cylind,538707.0,__NA__,Miscellaneous,40.0,-0.35,0.36,-1.72,0.42,-1.3,0.1,-1.4,0.03,-1.43,0.04,-1.47,0.0,-1.47,-477.78,-408.33,3.36,-4.37,13.43,538707.0___NA__
Rajasthan Gases,526873.0,__NA__,Miscellaneous,22.32,-0.01,0.0,-0.05,0.0,-0.05,0.0,-0.05,0.22,-0.27,0.0,-0.27,0.0,-0.27,,,1.61,-0.5,171.58,526873.0___NA__
Rajdarshan Inds,526662.0,ARENTERP,Trading,48.86,-0.01,0.44,-0.04,0.1,0.06,0.0,0.06,0.0,0.06,-0.04,0.1,0.0,0.1,-9.09,22.73,3.11,0.32,15.2,526662.0_ARENTERP
Rajesh Exports,531500.0,RAJESHEXPO,Diamond Cutting / Jewellery,282.45,56.45,115448.04,401.54,21.1,422.64,26.22,396.42,19.44,376.98,10.97,366.02,0.0,366.02,0.35,0.32,29.53,12.4,8339.61,531500.0_RAJESHEXPO
Rajeshwari Cans,543285.0,__NA__,Packaging,154.65,1.31,16.18,1.27,,,,,,,,,,0.44,,,,0.84,81.13,543285.0___NA__
Rajeswari Infra.,526823.0,__NA__,Construction,5.6,0.0,0.31,-0.47,0.32,-0.15,0.03,-0.18,0.0,-0.18,0.04,-0.21,0.0,-0.21,-151.61,-67.74,5.53,-0.38,3.1,526823.0___NA__
Rajgor Castor,-1.0,RCDL,Solvent Extraction,38.0,8.22,203.73,12.13,,,,,,,,,,7.91,,,,36.86,90.87,-1.0_RCDL
Rajkamal Synth.,514028.0,__NA__,Textiles - Processing,30.99,-0.02,0.17,0.1,0.0,0.1,0.0,0.1,0.01,0.09,0.0,0.09,0.0,0.09,58.82,52.94,6.5,0.14,20.15,514028.0___NA__
Rajkot Inv.Trust,539495.0,__NA__,Finance & Investments,40.29,0.0,0.04,-0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.03,-0.03,0.0,-0.03,-75.0,-75.0,1.0,-0.3,4.03,539495.0___NA__
Rajnandini Metal,-1.0,RAJMET,Mining / Minerals / Metals,11.15,5.48,335.41,5.31,2.14,7.45,0.3,7.15,1.9,5.25,1.9,3.35,0.0,3.35,1.58,1.0,18.43,0.12,308.28,-1.0_RAJMET
Rajnish Retail,530525.0,__NA__,Trading,77.5,0.0,1.37,0.36,0.03,0.39,0.02,0.37,0.0,0.37,0.0,0.37,0.0,0.37,26.28,27.01,5.0,0.37,237.62,530525.0___NA__
Rajnish Wellness,541601.0,__NA__,Trading,5.93,0.29,5.71,-1.45,0.65,-0.8,0.01,-0.81,0.18,-0.99,0.17,-1.16,0.0,-1.16,-25.39,-20.32,10.52,-0.02,455.71,541601.0___NA__
Rajoo Engineers,522257.0,__NA__,Engineering,308.0,7.63,71.43,6.48,0.58,7.06,0.9,6.16,0.14,6.02,1.38,4.64,0.0,4.64,9.07,6.5,6.15,0.75,1895.15,522257.0___NA__
Rajputana Invest,539090.0,__NA__,Trading,32.85,0.15,0.26,0.05,0.07,0.12,0.0,0.12,0.0,0.12,0.03,0.1,0.0,0.1,19.23,38.46,3.08,0.32,10.11,539090.0___NA__
Rajratan Global,517522.0,RAJRATAN,Steel - Medium / Small,587.55,34.23,219.43,33.8,0.84,34.64,4.86,29.78,3.98,25.8,5.52,20.28,0.0,20.28,15.4,9.24,10.15,3.99,2983.03,517522.0_RAJRATAN
Rajshree Polypac,-1.0,RPPL,Packaging,72.78,8.66,64.83,8.39,0.93,9.32,3.85,5.47,2.12,3.35,0.76,2.58,0.0,2.58,12.94,3.98,11.23,0.75,266.75,-1.0_RPPL
Rajshree Sugars,500354.0,RAJSREESUG,Sugar,76.38,-18.03,218.01,60.06,1.6,61.66,5.9,55.76,2.66,53.1,29.7,23.4,0.0,23.4,27.55,10.73,33.14,7.06,253.08,500354.0_RAJSREESUG
Rajvi Logitrade,511185.0,__NA__,Miscellaneous,11.29,0.28,5.64,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.05,-0.01,0.0,-0.01,0.71,-0.18,1.0,-0.1,1.13,511185.0___NA__
Rajvir Inds.,532665.0,RAJVIR,Textiles - Jute - Yarn / Products,6.92,-3.22,7.67,-1.63,0.02,-1.61,0.65,-2.26,4.43,-6.69,2.03,-8.72,0.0,-8.72,-21.25,-113.69,,-21.83,2.76,532665.0_RAJVIR
Rallis India,500355.0,RALLIS,Pesticides / Agrochemicals - Indian,316.25,62.0,523.0,-64.0,4.0,-60.0,23.0,-83.0,5.0,-88.0,-19.0,-69.0,0.0,-69.0,-12.24,-13.19,19.45,-3.55,6150.1,500355.0_RALLIS
Ram Info,530951.0,__NA__,Computers - Software - Medium / Small,129.8,3.51,20.57,-0.05,1.39,1.34,0.58,0.76,0.04,0.72,0.35,0.36,0.0,0.36,-0.24,1.75,6.71,0.54,97.89,530951.0___NA__
Ram Ratna Wires,522281.0,RAMRAT,Mining / Minerals / Metals,390.35,25.94,724.41,32.09,3.57,35.66,4.41,31.25,9.28,21.97,5.94,15.06,0.0,16.03,4.43,2.21,11.0,3.42,1717.54,522281.0_RAMRAT
Rama Paper Mills,500357.0,__NA__,Paper,15.12,-3.81,31.75,4.07,3.96,8.03,0.98,7.05,0.72,6.33,0.0,6.32,0.0,6.32,12.82,19.91,9.66,6.54,14.61,500357.0___NA__
Rama Petrochem,500358.0,__NA__,Trading,9.06,-0.26,0.22,-0.31,0.0,-0.31,0.01,-0.32,0.19,-0.51,0.0,-0.51,0.0,-0.51,-140.91,-231.82,10.47,-0.49,9.49,500358.0___NA__
Rama Phosphates,524037.0,RAMAPHO,Fertilizers,189.05,-32.41,242.37,8.28,0.29,8.57,2.27,6.3,1.92,4.38,0.82,3.56,0.0,3.56,3.42,1.47,17.67,2.01,334.42,524037.0_RAMAPHO
Rama Steel Tubes,539309.0,RAMASTEEL,Steel - Medium / Small,11.56,17.23,399.24,27.65,-5.33,22.32,1.25,21.07,6.62,14.45,2.78,11.28,0.0,11.67,6.93,2.92,8.4,0.08,1710.96,539309.0_RAMASTEEL
Rama Vision,523289.0,__NA__,Trading,92.99,1.89,19.5,1.07,0.03,1.1,0.11,0.99,0.28,0.71,0.22,0.5,0.0,0.5,5.49,2.56,10.03,0.5,96.97,523289.0___NA__
Ramasigns Indus.,515127.0,__NA__,Trading,2.18,-1.14,5.34,-0.3,1.78,1.48,0.12,1.36,0.22,1.14,0.0,1.14,0.0,1.14,-5.62,21.35,14.28,0.4,6.22,515127.0___NA__
Ramchandra Leas.,538540.0,__NA__,Finance & Investments,1.09,0.0,0.38,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.01,5.26,2.63,5.12,0.0,5.57,538540.0___NA__
Ramco Inds.,532369.0,RAMCOIND,Cement Products,252.9,33.5,350.0,33.71,7.45,38.89,9.16,29.73,7.18,24.82,-18.1,56.26,2.27,58.43,9.63,16.07,8.67,6.73,2195.41,532369.0_RAMCOIND
Ramco Systems,532370.0,RAMCOSYS,Computers - Software - Medium / Small,322.85,-4.42,126.22,-35.79,2.07,-33.72,20.35,-54.07,2.89,-56.96,-11.56,-45.41,0.0,-45.41,-28.36,-35.98,30.85,-12.94,1145.76,532370.0_RAMCOSYS
Ramdevbaba Sol.,-1.0,RBS,Solvent Extraction,99.8,12.09,346.01,10.49,,,,,,,,,,7.66,,,,166.99,220.81,-1.0_RBS
Ramgopal Polytex,514223.0,__NA__,Trading,5.06,-0.81,1.56,-0.25,0.13,-0.12,0.0,-0.12,0.04,-0.16,0.0,-0.16,0.0,-0.16,-16.03,-10.26,14.4,-0.11,7.34,514223.0___NA__
Ramkrishna Forg.,532527.0,RKFORGE,Castings & Forgings,904.55,224.5,891.64,194.01,1.79,195.8,55.8,140.0,33.55,106.45,38.0,68.45,0.0,68.45,21.76,7.68,31.98,4.28,16353.56,532527.0_RKFORGE
Ramky Infra,533262.0,RAMKY,Construction,583.4,76.91,576.43,95.53,1318.97,120.1,11.29,108.81,89.31,1313.9,236.09,16.91,1294.4,1077.8,16.57,2.94,69.2,155.65,4037.0,533262.0_RAMKY
Ramsons Projects,530925.0,__NA__,Finance & Investments,26.2,0.01,0.17,0.05,0.0,0.05,0.0,0.05,0.03,0.02,0.0,0.02,0.0,0.02,29.41,11.76,,0.07,7.89,530925.0___NA__
Rana Sugars,507490.0,RANASUG,Sugar,24.99,18.26,451.62,57.53,9.47,67.0,9.4,57.6,9.88,47.72,2.35,45.36,0.0,45.36,12.74,10.04,153.54,2.95,383.78,507490.0_RANASUG
Rander Corpn.,531228.0,__NA__,Finance & Investments,13.15,0.72,1.57,-0.24,0.0,-0.24,0.0,-0.24,0.0,-0.24,-0.07,-0.18,0.0,-0.18,-15.29,-11.46,12.34,-0.15,16.22,531228.0___NA__
Rane (Madras),532661.0,RML,Auto Ancillaries,873.35,47.0,621.56,55.49,-0.51,64.03,28.27,35.76,12.8,13.91,4.37,15.75,-9.05,9.54,8.93,2.53,16.27,5.87,1420.55,532661.0_RML
Rane Brake Lin.,532987.0,RBL,Auto Ancillaries,990.35,18.08,164.87,20.05,0.96,21.01,5.24,15.77,0.03,15.74,3.72,12.02,0.0,12.02,12.16,7.29,7.73,15.55,765.53,532987.0_RBL
Rane Engine Val.,532988.0,RANEENGINE,Auto Ancillaries,422.15,11.79,135.71,15.79,-1.18,16.6,5.07,11.53,2.84,6.7,1.84,6.3,-1.99,4.86,11.64,4.64,6.72,6.88,305.4,532988.0_RANEENGINE
Rane Holdings,505800.0,RANEHOLDIN,Finance & Investments,1372.8,90.19,937.65,60.91,-0.47,71.47,39.9,31.57,17.05,3.49,11.55,-33.53,-11.03,-8.06,6.5,-3.58,14.28,-13.2,1960.35,505800.0_RANEHOLDIN
Ranjeet Mechatr.,541945.0,__NA__,Engineering,38.81,0.87,20.07,1.29,0.0,2.0,0.21,1.79,0.71,1.08,0.28,0.8,0.0,0.36,8.19,3.28,,0.55,38.81,541945.0___NA__
Rap Media,531583.0,__NA__,Construction,21.6,-0.13,0.0,-0.51,0.0,-0.51,0.25,-0.76,0.0,-0.76,0.08,-0.83,0.0,-0.83,,,5.88,-1.41,12.7,531583.0___NA__
Rapicut Carbides,500360.0,__NA__,Engineering,111.0,0.77,15.7,0.14,0.0,0.14,0.15,-0.01,0.1,-0.11,0.23,-0.34,0.0,-0.34,0.89,-2.17,5.37,-0.63,59.61,500360.0___NA__
Ras Resorts,507966.0,__NA__,Hotels,42.06,0.17,3.71,1.1,0.0,1.1,0.12,0.98,0.19,0.79,0.47,0.33,0.0,0.33,29.65,8.89,3.97,0.83,16.69,507966.0___NA__
Rasandik Engg.,522207.0,__NA__,Auto Ancillaries,112.9,-4.31,26.75,-0.02,-0.41,1.48,1.78,-0.3,2.81,-5.02,-1.38,-1.73,-1.91,-3.64,-0.07,-6.47,5.98,-6.09,67.46,522207.0___NA__
Rashi Peripheral,544119.0,RPTECH,Trading,327.5,64.0,2258.98,62.42,2.58,65.0,4.89,60.11,23.06,37.05,13.15,23.9,0.0,23.9,2.76,1.06,,,2158.24,544119.0_RPTECH
Rasi Electrodes,531233.0,__NA__,Electrodes - Welding Equipment,27.98,0.92,22.87,0.81,0.54,1.35,0.17,1.18,0.13,1.05,0.37,0.68,0.0,0.68,3.54,2.97,6.23,0.22,87.1,531233.0___NA__
Rategain Travel,543417.0,RATEGAIN,Computers - Software - Medium / Small,757.2,51.26,182.93,32.21,4.8,37.01,10.81,26.2,0.35,25.85,-7.94,33.79,0.0,33.79,17.61,18.47,10.73,3.12,8923.49,543417.0_RATEGAIN
Rathi Bars,532918.0,__NA__,Steel - Medium / Small,47.66,4.15,198.42,4.52,0.26,4.78,2.08,2.7,1.78,0.92,0.0,0.91,0.0,0.91,2.28,0.46,16.33,0.56,77.84,532918.0___NA__
Rathi Steel,504903.0,__NA__,Steel - Medium / Small,48.49,6.09,166.76,9.72,75.34,9.84,2.12,7.72,2.6,80.34,0.25,5.1,75.22,80.09,5.83,3.06,76.5,25.58,412.47,504903.0___NA__
Ratnabhumi Dev.,540796.0,__NA__,Construction,174.85,4.29,0.1,2.45,0.01,2.46,0.05,2.41,2.39,0.02,-0.01,0.03,0.0,0.03,2450.0,30.0,13.7,0.02,239.54,540796.0___NA__
Ratnamani Metals,520111.0,RATNAMANI,Steel - Medium / Small,3626.95,200.33,1499.08,300.56,6.56,307.12,25.27,281.85,13.93,267.92,75.34,191.55,0.0,192.58,20.05,12.85,9.35,27.33,25422.04,520111.0_RATNAMANI
Ratnaveer Precis,543978.0,RATNAVEER,Steel - Medium / Small,161.85,17.7,150.83,14.01,1.0,15.01,1.06,13.95,2.94,11.01,1.86,9.15,0.0,9.15,9.29,6.07,,2.64,785.0,543978.0_RATNAVEER
RattanIndia Ent,534597.0,RTNINDIA,Miscellaneous,83.12,23.39,1105.77,-114.54,3.12,-111.42,3.81,-115.23,21.38,-136.61,1.42,-137.8,0.0,-138.04,-10.36,-12.48,276.45,-1.0,11489.43,534597.0_RTNINDIA
RattanIndia Pow.,533122.0,RTNPOWER,Power Generation And Supply,17.8,171.65,900.58,196.78,88.06,284.84,96.97,187.87,650.69,-462.82,20.37,-483.19,0.0,-483.19,21.85,-53.65,5370.11,-0.9,9558.79,533122.0_RTNPOWER
Raunaq Intl.,537840.0,__NA__,Engineering - Turnkey Services,37.41,-0.51,1.09,-2.93,0.22,-2.71,0.04,-2.75,0.05,-2.8,0.27,-3.08,0.0,-3.08,-268.81,-282.57,3.34,-9.21,12.51,537840.0___NA__
Ravi Leela Gran,526095.0,__NA__,Miscellaneous,38.96,2.03,7.9,-0.3,0.35,0.05,0.52,-0.47,1.06,-1.53,0.61,-2.14,0.0,-2.14,-3.8,-27.09,10.59,-2.02,41.24,526095.0___NA__
Ravikumar Distll,533294.0,RKDL,Breweries & Distilleries,30.0,-1.09,6.26,-1.17,-1.03,-1.17,0.07,-1.24,0.01,-2.28,0.0,-1.26,-1.03,-2.29,-18.69,-20.13,24.0,-0.95,72.02,533294.0_RKDL
Ravinder Heights,543251.0,RVHL,Construction,47.5,-3.42,11.77,6.1,1.35,7.37,0.58,6.79,0.08,6.79,-0.17,6.87,0.08,6.95,51.83,58.37,6.13,1.13,291.29,543251.0_RVHL
Ravindra Energy,504341.0,__NA__,Miscellaneous,63.8,7.35,113.95,2.68,13.73,16.41,2.88,13.53,2.74,10.79,2.09,8.71,0.0,8.71,2.35,7.64,134.48,0.63,984.02,504341.0___NA__
Raw Edge Indust.,541634.0,__NA__,Mining / Minerals / Metals,37.29,0.66,11.09,0.82,-0.01,0.81,0.42,0.39,0.74,-0.35,0.03,-0.38,0.0,-0.38,7.39,-3.43,10.06,-0.38,37.51,541634.0___NA__
Raymed Labs,531207.0,__NA__,Pharmaceuticals - Indian - Formulations,2.39,-0.02,0.0,-0.1,0.02,-0.08,0.0,-0.08,0.0,-0.08,0.0,-0.08,0.0,-0.08,,,4.27,-0.19,1.02,531207.0___NA__
Raymond,500330.0,RAYMOND,Textiles - Products,3044.0,357.67,2150.18,336.79,-37.52,392.3,61.61,330.69,64.27,173.39,-23.09,282.86,-93.03,196.48,15.66,13.3,66.57,29.19,20265.09,500330.0_RAYMOND
RBL Bank,540065.0,RBLBANK,Banks - Private Sector,264.75,1175.06,2642.32,970.01,674.11,1644.12,0.0,1644.12,1285.04,359.08,88.03,271.05,0.0,271.05,36.71,10.26,,4.52,16051.31,540065.0_RBLBANK
RBM Infracon,-1.0,RBMINFRA,Construction,584.95,7.05,,,,,,,,,,,,,,,,,493.76,-1.0_RBMINFRA
RBZ Jewellers Lt,544060.0,RBZJEWEL,Diamond Cutting / Jewellery,136.5,12.0,78.47,7.73,1.43,9.16,0.29,8.87,2.46,6.41,1.53,4.88,0.0,4.88,9.85,6.22,,1.63,546.0,544060.0_RBZJEWEL
RCI Industries,537254.0,__NA__,Mining / Minerals / Metals,4.22,-2.25,12.54,-19.59,0.01,-19.58,2.75,-22.33,0.01,-22.34,0.4,-22.73,0.0,-22.73,-156.22,-181.26,15.68,-14.5,6.62,537254.0___NA__
RDB Rasayans,533608.0,__NA__,Packaging,140.6,4.29,27.01,0.34,3.28,3.62,0.32,3.3,0.01,3.29,0.91,2.38,0.0,2.38,1.26,8.81,17.71,1.34,249.01,533608.0___NA__
RDB Realty,533285.0,__NA__,Construction,149.05,7.64,67.26,8.22,5.26,13.48,0.02,13.46,4.25,9.21,1.39,7.77,0.0,7.77,12.22,11.55,17.28,4.5,257.56,533285.0___NA__
Real Eco-Energy,530053.0,__NA__,Trading,33.91,-0.01,4.43,0.07,0.0,0.07,0.0,0.07,0.0,0.07,0.0,0.06,0.0,0.06,1.58,1.35,20.0,0.03,67.82,530053.0___NA__
Real Touch Fin,538611.0,__NA__,Finance & Investments,56.05,3.58,3.65,2.71,0.03,2.74,0.03,2.71,1.82,0.89,0.38,0.51,0.0,0.51,74.25,13.97,12.69,0.4,71.14,538611.0___NA__
REC Ltd,532955.0,RECLTD,Finance - Term-Lending Institutions,528.5,11811.51,10243.06,10392.16,11.57,10403.73,6.28,10397.45,6496.22,3901.23,835.86,3065.37,0.0,3065.37,101.46,29.93,,11.64,139165.87,532955.0_RECLTD
Redington,532805.0,REDINGTON,Trading,220.5,517.3,21848.59,543.15,46.38,589.53,42.75,546.78,92.09,454.69,126.3,310.1,0.0,328.39,2.49,1.5,156.29,3.97,17238.14,532805.0_REDINGTON
Redtape,543957.0,REDTAPE,Trading,772.4,104.7,378.78,59.51,0.78,60.29,13.18,47.11,5.25,41.86,7.32,34.55,0.0,34.55,15.71,9.12,,2.5,10674.73,543957.0_REDTAPE
Reetech Intl,543617.0,__NA__,Trading,50.0,-0.07,69.49,4.16,,,,,,,,,,2.46,,,,5.82,21.14,543617.0___NA__
Refex Industries,532884.0,REFEX,Trading,161.35,34.29,630.13,73.55,2.11,75.39,1.87,73.52,5.89,67.9,17.22,50.47,0.27,50.67,11.67,8.01,,4.59,1866.52,532884.0_REFEX
Refex Renewables,531260.0,__NA__,Engineering - Turnkey Services,457.25,8.09,34.53,-0.66,11.87,11.21,3.37,7.84,13.12,-5.28,5.97,-5.8,0.0,-11.25,-1.91,-32.58,4.49,-12.92,205.32,531260.0___NA__
Refractory,-1.0,REFRACTORY,Refractories / Intermediates,214.5,,,,,,,,,,,,,,,,,,467.61,-1.0_REFRACTORY
Regency Ceramics,515018.0,REGENCERAM,Ceramics - Tiles / Sanitaryware,54.95,-1.85,0.04,-1.42,-9.5,1.71,1.07,0.64,0.01,-12.0,0.0,0.63,-12.63,-12.0,-3550.0,1575.0,26.44,-4.54,145.28,515018.0_REGENCERAM
Regency Fincorp,540175.0,__NA__,Finance & Investments,15.69,3.29,3.65,2.69,0.02,2.71,0.12,2.59,2.45,0.14,0.06,0.09,0.0,0.09,73.7,2.47,5.34,0.08,59.97,540175.0___NA__
Regency Trust,511585.0,__NA__,Miscellaneous,3.84,0.0,0.23,-0.49,0.0,-0.49,0.0,-0.49,0.0,-0.49,-0.01,-0.48,0.0,-0.48,-213.04,-208.7,1.0,-0.48,3.84,511585.0___NA__
Regent Enterp.,512624.0,__NA__,Trading,4.3,-0.56,175.06,-2.8,1.58,-1.85,0.22,-2.07,0.0,-1.44,-0.18,-1.89,0.63,-1.26,-1.6,-1.08,33.46,-0.38,14.4,512624.0___NA__
Regis Industries,543208.0,__NA__,Finance & Investments,145.45,-0.31,0.91,0.12,0.0,0.12,0.0,0.12,0.0,0.12,0.0,0.12,0.0,0.12,13.19,13.19,16.21,0.07,250.28,543208.0___NA__
Rel. Chemotex,503162.0,RELCHEMQ,Textiles - Spinning - Synthetic / Blended,248.8,7.41,79.68,8.83,1.46,10.29,2.63,7.66,4.89,2.77,0.0,2.77,0.0,2.77,11.08,3.48,7.56,3.67,187.67,503162.0_RELCHEMQ
Rel. Indl. Infra,523445.0,RIIL,Miscellaneous,1358.6,-0.84,17.63,0.77,11.96,4.81,1.06,3.75,0.0,11.67,0.12,4.21,7.92,11.54,4.37,23.88,15.1,7.64,2051.46,523445.0_RIIL
Relaxo Footwear,530517.0,RELAXO,Leather / Leather Products,832.5,87.17,764.94,117.98,4.32,122.3,32.76,89.54,4.13,85.41,22.11,63.3,0.0,63.3,15.42,8.28,24.89,2.54,20724.14,530517.0_RELAXO
Reliable Data,-1.0,RELIABLE,Computers - Software - Medium / Small,48.0,2.71,24.62,3.36,0.99,4.45,1.69,2.76,0.66,2.0,0.09,1.74,-0.1,1.91,13.65,8.08,10.32,1.62,49.54,-1.0_RELIABLE
Reliable Ventur.,532124.0,__NA__,Hotels,20.09,-0.22,0.91,-0.16,0.07,-0.09,0.23,-0.32,0.13,-0.45,-0.03,-0.41,0.0,-0.41,-17.58,-45.05,11.01,-0.37,22.13,532124.0___NA__
Reliance Communi,532712.0,RCOM,Telecommunications - Service Provider,1.94,2.0,111.0,31.0,-1873.0,43.0,32.0,11.0,11.0,-1885.0,-3.0,3.0,-1885.0,-1882.0,27.93,2.7,1383.0,-6.81,536.51,532712.0_RCOM
Reliance Home,540709.0,RHFL,Finance - Housing,3.5,-2.56,75.5,9135.12,-274.14,9138.22,0.48,9137.74,-759.27,9619.77,3647.46,6144.43,-277.24,5972.31,12099.5,8138.32,485.06,123.13,169.77,540709.0_RHFL
Reliance Industr,500325.0,RELIANCE,Refineries,3121.8,40656.0,212834.0,38356.0,2996.0,41252.0,11452.0,29800.0,5819.0,24081.0,2754.0,19208.51,100.0,21327.0,18.02,9.97,6765.0,28.53,2112151.18,500325.0_RELIANCE
Reliance Infra.,500390.0,RELINFRA,Engineering - Turnkey Services,191.7,525.29,4186.31,-162.3,-1394.51,835.85,365.56,470.29,643.08,-2565.45,-1.27,-93.87,-2392.66,-2483.55,-3.88,-2.24,263.03,-76.9,7593.83,500390.0_RELINFRA
Reliance Power,532939.0,RPOWER,Power Generation And Supply,28.85,-363.32,1729.84,-159.14,1170.34,-32.66,265.61,-298.27,574.17,171.42,-85.49,-786.95,1043.86,256.91,-9.2,-45.49,3400.13,0.86,11589.0,532939.0_RPOWER
Relic Tech.,511712.0,__NA__,Finance & Investments,14.95,-0.03,0.24,-0.01,0.04,0.03,0.04,-0.01,0.0,-0.01,0.11,-0.12,0.0,-0.12,-4.17,-50.0,3.6,-0.33,5.38,511712.0___NA__
Relicab Cable,539760.0,__NA__,Cables - Power,105.0,0.99,12.85,2.37,-0.65,1.72,0.04,1.68,0.66,1.02,0.0,1.02,0.0,1.02,18.44,7.94,,1.01,105.99,539760.0___NA__
Religare Enterp.,532915.0,RELIGARE,Finance & Investments,242.75,55.8,1396.07,246.67,3353.57,310.83,14.33,296.5,28.89,3557.02,39.92,261.95,3289.41,3517.09,17.67,18.95,318.81,107.61,8011.06,532915.0_RELIGARE
Remedium Life,539561.0,__NA__,Trading,65.64,54.7,75.58,-2.9,0.0,-2.9,0.01,-2.91,-0.1,-2.81,1.97,-4.78,0.0,-4.78,-3.84,-6.32,3.6,-0.47,661.61,539561.0___NA__
Remi Edelstahl,513043.0,__NA__,Steel - Medium / Small,88.9,1.22,38.55,2.06,0.32,2.38,0.93,1.45,0.92,0.53,0.17,0.36,0.0,0.36,5.34,0.93,10.98,0.33,97.63,513043.0___NA__
Remsons Ind,530919.0,REMSONSIND,Auto Ancillaries,1039.5,8.4,76.44,7.75,0.64,8.39,2.72,5.67,1.48,4.19,1.64,2.55,0.0,2.55,10.14,3.34,5.71,4.46,725.15,530919.0_REMSONSIND
Remus Pharma.,-1.0,REMUS,Pharmaceuticals - Indian - Bulk Drugs & Formln,2100.0,9.27,,,,,,,,,,,,,,,,,1237.32,-1.0_REMUS
Renaiss. Global,532923.0,RGL,Diamond Cutting / Jewellery,102.85,51.55,499.45,36.16,1.92,38.08,7.82,30.26,11.76,18.5,-1.23,19.73,0.0,19.73,7.24,3.95,18.88,2.15,988.69,532923.0_RGL
Repco Home Fin,535322.0,REPCOHOME,Finance - Housing,560.05,348.21,340.31,298.39,3.42,301.81,3.83,297.98,185.59,112.39,30.29,82.1,0.0,82.1,87.68,24.13,62.56,13.12,3503.72,535322.0_REPCOHOME
Repro India,532687.0,REPRO,Printing & Stationery,626.7,13.12,121.05,13.68,0.45,14.13,6.4,7.73,2.74,4.99,-0.07,5.06,0.0,5.06,11.3,4.18,12.71,3.98,896.0,532687.0_REPRO
Resgen,543805.0,__NA__,Refineries,74.99,7.06,12.29,5.25,,,,,,,,,,2.06,,,,0.98,157.3,543805.0___NA__
Resonance Speci.,524218.0,__NA__,Chemicals,101.35,1.32,18.38,1.8,0.18,1.98,0.39,1.59,0.04,1.55,0.32,1.24,0.0,1.24,9.79,6.75,11.54,1.07,116.95,524218.0___NA__
Response Info.,538273.0,__NA__,Computers - Software - Medium / Small,80.5,0.04,4.05,-0.26,0.05,-0.21,0.0,-0.21,0.01,-0.22,-0.02,-0.2,0.0,-0.2,-6.42,-4.94,,-0.27,60.17,538273.0___NA__
Responsive Ind,505509.0,RESPONIND,Plastics Products,325.4,66.45,237.15,41.93,2.53,44.46,14.68,29.78,6.15,23.63,0.89,22.74,0.0,22.74,17.68,9.59,26.25,0.85,8675.45,505509.0_RESPONIND
