Name,BSE Code,NSE Code,Industry,Current Price,Price to Sales,Price to Free Cash Flow,EVEBITDA,Current ratio,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,52w Index,Down from 52w high,Up from 52w low,From 52w high,Mkt Cap To Debt Cap,Dividend Payout Ratio,Graham,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Altman Z Score,Market cap to quarterly profit,Market Capitalization,join_key
Super Sales Ind.,512527.0,__NA__,Textiles - Cotton/Blended,1600.3,1.17,49.22,10.49,1.41,4.21,0.78,31.13,-148.99,-2.0,557.67,1.17,4.21,18.02,0.82,4.02,299.16,1.75,0.14,1.15,10.82,969.35,-13.2,0.04,57.76,25.53,88.25,0.74,1.02,10.82,1625.65,14.76,9.33,23.71,420.94,14.62,3.13,-251.95,491.31,512527.0___NA__
Super Spinning,521180.0,SUPERSPIN,Miscellaneous,8.56,6.77,-37.17,20.43,0.64,0.96,,8.49,-875.21,77.55,71.59,6.77,0.96,33.98,-0.93,-1.2,88.8,-1.1,0.44,1.93,0.0,,-49.15,0.12,44.76,26.96,42.67,0.73,-0.43,0.0,,-5.06,-0.16,,0.11,-5.06,1.67,-6.19,47.08,521180.0_SUPERSPIN
Super Tannery,523842.0,__NA__,Leather / Leather Products,9.9,0.47,18.14,8.82,1.14,2.8,2.62,41.83,120.43,11.74,97.23,0.47,2.8,13.41,-0.22,13.68,187.14,3.5,0.88,2.42,9.23,6.25,-70.32,0.09,51.67,22.66,45.59,0.77,0.61,9.23,10.47,14.79,7.46,20.53,8.86,14.79,2.81,52.15,106.9,523842.0___NA__
Superhouse Ltd,523283.0,SUPERHOUSE,Leather / Leather Products,213.9,0.35,-17.04,7.61,1.63,1.99,-1.93,56.9,68.84,14.16,457.74,0.35,1.99,12.1,0.04,14.74,651.65,-2.09,0.48,1.82,6.89,193.98,-63.83,0.29,28.12,22.22,12.58,0.78,0.5,6.89,325.31,10.37,7.55,9.44,344.17,10.39,2.69,64.97,235.83,523283.0_SUPERHOUSE
Superior Finleas,539835.0,__NA__,Finance & Investments,1.7,5.43,0.79,448.64,41.0,,-8.75,170.21,-109.09,-4.35,3.84,5.43,,616.88,-13.64,749.83,1.89,13.25,11.72,12.74,0.0,0.51,-867.65,0.17,49.15,26.09,51.79,0.74,-0.05,0.0,0.76,-3.95,0.57,113.05,0.53,-3.95,0.34,-510.0,5.1,539835.0___NA__
Superior Indus.,519234.0,__NA__,Packaging,48.5,1.59,49.21,9.95,1.7,8.73,0.23,29.24,-90.79,108.76,105.33,1.59,8.73,10.75,1.42,1.99,18.27,1.3,0.11,1.03,0.0,102.25,-11.66,0.05,16.22,40.12,14.9,0.6,6.01,0.0,79.92,19.77,5.82,8.18,8.91,19.7,2.73,305.36,67.18,519234.0___NA__
Supershakti Met.,541701.0,__NA__,Steel - Medium / Small,500.0,0.79,25.2,23.25,1.54,7.46,-8.17,5.9,33.04,11.6,250.26,0.79,7.46,28.58,0.37,1.48,96.75,9.21,0.4,1.29,4.3,178.84,-14.13,0.03,31.79,19.09,12.36,0.81,1.7,4.3,238.42,196.25,14.71,98.83,37.54,196.68,6.71,,576.26,541701.0___NA__
Supertex Inds.,526133.0,__NA__,Textiles - Processing,10.85,0.14,3.02,8.07,1.4,1.1,4.68,43.51,-50.0,212.7,30.07,0.14,1.1,9.75,-0.92,212.09,51.2,7.52,1.06,2.69,0.0,4.54,-249.27,0.07,21.27,42.19,24.57,0.58,0.28,0.0,7.61,2.21,6.48,45.85,34.84,2.22,2.5,205.0,12.3,526133.0___NA__
Supra Pacific,540168.0,__NA__,Finance & Investments,30.9,3.25,-2.25,14.84,6.86,1.07,3.23,27.2,2.22,19.89,53.22,3.25,1.07,19.08,-2.09,158.73,29.75,-31.27,1.96,2.28,0.0,22.37,-122.8,0.05,71.27,15.34,81.66,0.85,-0.29,0.0,10.61,-1.35,9.35,194.29,2.58,-1.35,1.7,182.59,83.99,540168.0___NA__
Supra Trends,511539.0,__NA__,Textiles - Products,42.92,,7.85,-58.78,9.0,,,,60.0,,-0.6,,,-58.78,-1.26,-35.11,2.56,10.68,-5.27,-4.52,0.0,,-146.05,0.01,100.0,0.0,40.58,1.0,1.21,0.0,,-107.3,-2.66,,51.2,-107.5,1.99,-107.5,2.15,511539.0___NA__
Suprajit Engg.,532509.0,SUPRAJIT,Auto Ancillaries,517.75,2.48,49.47,20.26,1.87,5.43,9.42,42.08,46.96,8.14,1362.19,2.48,5.43,27.79,0.08,4.23,2077.32,7.23,0.54,1.85,20.7,136.51,-8.52,0.02,92.94,2.36,46.57,0.98,2.7,20.7,163.53,28.77,15.49,224.96,87.98,28.76,7.23,121.2,7168.8,532509.0_SUPRAJIT
Supreme Engg.,-1.0,SUPREMEENG,Steel - Medium / Small,1.13,,8.42,,0.29,,,,,,-67.4,,,,-3.38,-0.96,28.38,3.76,-1.5,-1.67,0.0,,-349.19,0.08,70.0,19.29,126.0,0.81,2.31,0.0,,3.28,-40.21,,0.27,3.28,,-46.3,28.24,-1.0_SUPREMEENG
Supreme Holdings,530677.0,__NA__,Construction,64.9,3.36,163.13,19.86,3.87,197.33,1.47,158.04,23.44,40.85,547.97,3.36,197.33,20.48,0.14,0.73,545.79,0.27,0.19,1.08,0.0,49.93,-40.45,0.02,42.16,32.82,55.3,0.67,5.19,0.0,83.74,-6.64,7.16,13.2,30.47,-6.63,2.39,152.72,241.29,530677.0___NA__
Supreme Inds.,509930.0,SUPREMEIND,Plastics Products,5985.65,7.5,170.33,44.8,2.58,85.2,3.53,20.01,38.51,22.82,5108.83,7.5,85.2,54.53,0.06,0.05,4498.65,9.28,0.01,1.2,35.63,1749.74,1.49,0.01,85.27,7.66,92.46,0.92,6.67,35.63,872.95,53.8,29.8,1094.28,159.65,53.81,22.26,214.29,76033.84,509930.0_SUPREMEIND
Supreme Infra.,532904.0,SUPREMEINF,Engineering - Turnkey Services,88.0,3.85,-10.63,-131.29,0.11,-0.04,,-8503.93,-6.21,224.74,-4870.54,3.85,-0.04,-109.06,-8.77,-3.81,-1889.18,,,-1.09,0.0,,,0.02,70.37,24.46,333.5,0.76,0.05,0.0,,-16.04,-6.06,,-1943.33,-16.04,-2.25,-0.69,226.14,532904.0_SUPREMEINF
Supreme Petroch.,500405.0,SPLPETRO,Petrochemicals,770.85,2.76,51.14,27.73,1.59,44.45,0.97,10.43,94.33,31.59,2019.11,2.76,44.45,31.41,0.16,0.33,1549.46,14.19,0.23,1.44,59.7,292.42,0.33,0.03,87.87,6.09,88.47,0.94,2.78,59.7,210.99,26.02,41.9,321.25,29.15,26.02,10.9,110.23,14495.16,500405.0_SPLPETRO
Supreme Power,-1.0,SUPREMEPWR,Electric Equipment,343.35,8.01,-117.42,43.13,2.06,10.55,0.57,39.52,16.54,21.86,52.87,8.01,10.55,43.81,0.01,0.42,63.31,-27.95,0.08,2.63,0.0,194.36,-0.68,0.0,97.41,1.89,261.42,0.98,133.55,0.0,61.05,-136.68,53.71,711.69,16.94,-136.64,14.73,293.86,858.08,-1.0_SUPREMEPWR
Supriya Lifesci.,543434.0,SUPRIYA,Pharmaceuticals - Indian - Bulk Drugs & Formln,398.5,5.62,-113.11,17.09,5.17,79.53,1.09,56.35,23.97,12.93,815.37,5.62,79.53,18.7,0.12,0.05,780.34,-3.68,0.01,1.07,5.41,507.42,1.99,0.04,86.78,6.01,72.47,0.94,3.05,5.41,183.67,28.31,27.76,105.8,39.92,28.31,8.45,86.85,3207.28,543434.0_SUPRIYA
Suraj,531638.0,__NA__,Steel - Medium / Small,233.9,1.3,21.87,10.92,1.16,9.0,0.3,13.17,-6.41,-18.18,121.66,1.3,9.0,14.02,0.21,1.63,128.47,14.02,0.47,1.36,0.0,114.4,-13.21,0.0,56.37,26.67,88.63,0.73,0.95,0.0,129.5,10.54,18.93,74.69,23.67,10.52,7.3,71.71,429.53,531638.0___NA__
Suraj Estate,544054.0,SURAJEST,Construction,518.75,5.58,28.8,11.08,2.36,1.68,0.3,218.05,17.44,-5.31,516.19,5.58,1.68,11.26,-0.08,6.37,936.34,9.93,0.88,2.16,0.0,482.98,-14.95,0.03,99.53,0.24,102.8,1.0,4.17,0.0,199.59,255.63,23.7,151.11,202.44,255.41,5.16,119.54,2301.23,544054.0_SURAJEST
Suraj Industries,526211.0,__NA__,Trading,71.22,1.81,,13.38,1.23,5.93,,27.09,-53.06,3.51,49.31,1.81,5.93,16.25,,2.44,67.59,,0.22,1.99,0.0,32.73,-8.52,0.11,3.91,51.81,4.58,0.48,,0.0,54.88,-56.27,7.57,38.54,10.68,-56.47,3.27,397.74,91.48,526211.0___NA__
Suraj Products,518075.0,__NA__,Steel - Medium / Small,673.4,2.23,46.3,15.38,2.63,12.26,0.72,25.86,-21.46,25.14,130.38,2.23,12.26,18.61,0.05,1.42,165.4,10.1,0.32,1.37,7.88,483.03,-3.51,0.01,65.13,29.19,334.45,0.71,2.79,7.88,255.54,24.06,26.66,156.53,78.18,24.06,10.78,131.9,767.68,518075.0___NA__
Surana Solar,533298.0,SURANASOL,Electric Equipment,38.43,10.68,120.43,173.15,14.95,-10.25,,184.36,-236.36,-10.68,56.16,10.68,-10.25,-230.16,0.11,0.0,46.5,2.76,0.01,1.05,0.0,,-0.24,0.0,66.28,19.95,96.07,0.8,4.02,0.0,,1718.87,0.32,,6.64,1719.0,7.4,-1260.6,189.09,533298.0_SURANASOL
Surana Telecom,517530.0,SURANAT&P,Power Generation And Supply,25.58,13.74,22.65,17.31,12.14,13.92,7.21,73.66,486.02,11.69,133.89,13.74,13.92,31.96,0.23,0.28,79.29,10.15,0.02,1.13,0.0,6.65,0.0,0.01,94.47,3.73,194.7,0.96,1.96,0.0,11.16,23.65,4.74,117.57,1.37,23.64,5.48,64.79,347.29,517530.0_SURANAT&P
Surani Steel Tub,-1.0,SURANI,Steel - Medium / Small,353.9,2.43,-21.25,322.82,2.72,6.45,18.36,77.68,238.76,40.1,52.65,2.43,6.45,541.06,-0.2,84.72,130.94,-51.75,0.77,1.82,0.0,18.0,-11.04,0.0,32.15,51.82,103.98,0.48,-2.91,0.0,23.39,-6.6,3.17,5148.33,113.69,-6.63,7.29,,376.35,-1.0_SURANI
Surat Trade,530185.0,__NA__,Finance & Investments,9.07,3.33,-16.37,14.61,98.48,270.6,-4.26,164.37,-25.97,-3.6,205.18,3.33,270.6,14.95,0.52,0.2,112.95,-6.1,0.01,1.0,0.0,5.49,-0.45,0.0,23.33,34.75,19.34,0.65,-1.65,0.0,9.21,-8.69,2.97,21.52,4.48,-8.68,3.94,105.45,201.4,530185.0___NA__
Suratwwala Busi.,543218.0,SBGLP,Construction,124.15,29.9,-715.2,55.8,1.96,34.33,,128.65,-14.53,28.93,57.86,29.9,34.33,56.33,,1.36,93.89,-4.27,0.65,2.14,0.0,32.03,-1.5,0.0,88.5,9.83,520.75,0.9,,0.0,10.97,7423.31,65.49,2881.48,5.34,7424.1,30.16,385.15,2152.99,543218.0_SBGLP
Surya Roshni,500336.0,SURYAROSNI,Steel - Large,631.5,0.88,21.33,11.68,3.06,19.49,0.94,17.28,15.38,7.37,2163.45,0.88,19.49,14.6,0.18,0.05,2201.05,14.45,0.23,1.38,8.25,316.39,-6.55,0.0,55.97,24.97,73.33,0.75,1.43,8.25,367.68,12.72,19.96,65.56,124.02,12.72,8.56,66.15,6871.82,500336.0_SURYAROSNI
Suryaamba Spinni,533101.0,__NA__,Textiles - Spinning - Synthetic / Blended,151.4,0.2,12.81,6.02,1.48,1.42,-2.02,14.23,1700.0,13.17,61.82,0.2,1.42,10.71,0.07,24.62,114.62,3.26,0.82,2.13,16.74,141.19,-111.78,0.0,9.74,29.55,4.74,0.7,0.24,16.74,168.28,3.13,16.41,18.27,107.24,3.16,3.46,61.64,44.38,533101.0___NA__
Suryalak. Cott.,521200.0,SURYALAXMI,Textiles - Cotton/Blended,81.3,0.2,3.38,6.38,1.25,1.33,1.23,31.75,3.41,29.42,266.05,0.2,1.33,9.28,-0.32,62.58,511.23,9.38,1.12,2.6,0.0,46.61,-188.51,0.1,75.99,9.16,46.88,0.91,0.23,0.0,78.17,7.87,10.52,15.69,132.13,7.88,2.51,77.61,152.89,521200.0_SURYALAXMI
Suryalata Spg.,514138.0,__NA__,Textiles - Spinning - Synthetic / Blended,409.0,0.38,,5.83,1.08,4.68,,10.44,46.34,3.23,247.48,0.38,4.68,8.44,,5.3,359.45,,0.6,1.5,0.0,501.21,-84.21,0.04,10.87,63.4,26.78,0.37,,0.0,755.23,4.36,9.91,6.39,110.14,4.32,3.14,32.32,174.53,514138.0___NA__
Suryavanshi Spg.,514140.0,__NA__,Textiles - Cotton/Blended,25.98,19.32,4.1,31.15,1.09,1.6,4.58,428.79,350.94,-41.67,-8.23,19.32,1.6,63.6,-1.6,12.36,12.33,26.32,-2.26,-3.74,0.0,,-144.31,0.03,35.57,31.45,33.92,0.69,-1.11,0.0,,-0.93,-1.96,,5.78,-0.93,0.57,15.36,12.75,514140.0___NA__
Suryo Foods,519604.0,__NA__,Aquaculture,15.0,,450.0,3.66,0.32,,0.14,,-181.25,,-2.76,,,4.16,0.04,0.0,0.89,-0.4,-0.04,-1.25,0.0,,-0.34,0.01,53.87,32.64,130.41,0.67,10.33,0.0,,200.0,0.0,,-4.25,198.0,2.36,-45.69,5.94,519604.0___NA__
Suryoday Small,543279.0,SURYODAY,Banks - Private Sector,190.95,1.28,24.25,9.99,2.94,1.46,0.49,42.15,6.33,8.27,1584.73,1.28,1.46,9.99,-2.19,36.73,834.18,0.88,5.02,6.22,0.0,356.19,-351.04,0.41,62.98,13.03,34.19,0.87,5.8,0.0,261.34,2.17,9.05,11.86,63.06,2.17,1.1,33.34,2028.65,543279.0_SURYODAY
Sutlej Textiles,532782.0,SUTLEJTEX,Textiles - Cotton/Blended,65.35,0.4,11.56,-359.98,1.25,-1.91,,27.81,-14.46,8.11,976.25,0.4,-1.91,-15.67,-0.2,-6.13,1805.4,4.8,0.87,2.31,0.0,,-78.97,0.01,72.02,11.03,46.85,0.89,0.45,0.0,,4.77,5.49,,45.36,4.77,2.98,-87.97,1070.62,532782.0_SUTLEJTEX
Suumaya Corp.,543274.0,__NA__,Trading,4.69,4.72,17.73,-0.04,0.14,-1259.87,,-34116.67,-36020.15,-100.0,-390.27,4.72,-1259.87,-0.04,-4.02,-0.01,-838.38,0.63,-0.02,7.05,0.0,,-38.64,0.22,9.57,59.18,18.14,0.41,-0.07,0.0,,26.94,-163.01,,-339.79,27.02,-5.13,0.18,11.62,543274.0___NA__
Suumaya Indust.,-1.0,SUULD,Trading,5.53,0.03,-0.12,-0.55,0.85,-254.52,,1.57,-440.97,-92.43,-277.33,0.03,-254.52,-0.55,-23.19,-0.28,49.8,-48.22,-1.41,-7.35,0.0,,-1036.63,0.12,2.32,49.73,2.41,0.5,-0.02,0.0,,8.52,-6.22,,2.88,8.52,-0.74,-0.06,37.24,-1.0_SUULD
Suven Life Scie.,530239.0,SUVEN,Pharmaceuticals - Indian - Bulk Drugs & Formln,108.7,202.78,-30.79,-20.65,18.98,-708.63,,2086.06,36.45,-2.45,270.04,202.78,-708.63,-19.47,-0.04,-0.01,272.07,-23.78,0.0,1.25,0.0,,6.89,0.07,70.75,15.74,82.38,0.84,-1.74,0.0,,-28.69,-76.92,,11.18,-28.69,14.39,-89.32,2370.47,530239.0_SUVEN
Suven Pharma,543064.0,SUVENPHAR,Pharmaceuticals - Indian - Bulk Drugs & Formln,809.5,19.6,85.08,44.09,11.82,55.45,3.06,114.14,14.16,15.06,2050.67,19.6,55.45,49.92,0.1,0.22,2048.75,12.36,0.03,1.03,0.0,372.55,-0.1,0.0,95.97,1.72,71.87,0.98,4.27,0.0,146.22,57.49,31.46,690.22,47.13,57.48,17.61,386.12,20607.04,543064.0_SUVENPHAR
Suvidha Infra.,531640.0,__NA__,Construction,26.85,53.09,231.26,70.38,0.61,,1.23,475.56,800.0,,-2.33,53.09,,70.38,-0.15,11.16,2.14,7.1,-1.53,-1.05,0.0,,-14.9,0.0,100.0,0.0,230.26,1.0,-86.87,0.0,,31.86,6.87,,2.4,31.85,17.69,265.44,23.89,531640.0___NA__
Suvidhaa Info.,543281.0,SUVIDHAA,Miscellaneous,5.4,14.89,10.22,-29.62,1.3,-46.44,,149.15,30.28,0.48,54.44,14.89,-46.44,-6.25,0.74,0.0,21.9,17.41,0.03,1.92,0.0,,11.69,0.17,25.86,48.86,50.0,0.51,0.71,0.0,,-11.3,-11.16,,0.54,-11.3,2.42,-33.03,113.3,543281.0_SUVIDHAA
Suyog Gurbaxani,543391.0,__NA__,Construction,140.5,5.53,-140.12,28.75,3.62,2.1,2.14,69.93,82.73,368.65,15.77,5.53,2.1,29.17,-0.26,15.55,104.28,-3.28,5.51,7.85,0.0,37.76,-24.84,0.0,62.16,29.04,205.1,0.71,-19.74,0.0,17.91,-29.18,7.49,1384.15,17.73,-29.13,6.43,,349.31,543391.0___NA__
Suyog Telematics,537259.0,__NA__,Transmisson Line Towers / Equipment,1101.15,7.05,-65.16,10.57,1.11,4.66,1.08,37.65,-17.74,8.72,298.39,7.05,4.66,14.53,0.04,2.38,435.4,-4.3,0.53,1.64,0.0,1033.9,-13.22,0.0,72.97,19.33,183.07,0.81,1.55,0.0,611.47,16.37,23.04,72.74,58.63,16.32,5.67,74.68,1174.03,537259.0___NA__
Suzlon Energy,532667.0,SUZLON,Electric Equipment,52.67,10.9,143.77,66.43,1.76,5.34,5.06,36.19,25.16,40.74,3920.31,10.9,5.34,80.79,0.02,0.23,3269.31,13.93,0.09,1.62,0.0,4.47,0.12,0.01,92.43,5.44,235.48,0.95,20.29,0.0,5.66,2143.39,22.56,1806.65,1.75,2143.39,18.34,253.39,71181.82,532667.0_SUZLON
Svam Software,523722.0,__NA__,Finance & Investments,3.1,3.66,-17.66,22.61,10.42,1.92,,79.02,-136.84,-40.0,19.49,3.66,1.92,22.61,1.2,0.0,1.16,-1.53,0.0,1.06,0.0,2.45,2.1,0.13,36.24,42.27,71.27,0.58,0.41,0.0,4.11,-7.82,-0.05,12.86,0.67,-7.82,1.97,-74.86,5.24,523722.0___NA__
Svaraj Trading,503624.0,__NA__,Trading,10.53,,17.25,191.29,178.2,,,,1300.0,,58.19,,,223.17,2.83,0.0,20.46,1.56,0.0,1.0,0.0,,13.89,0.07,34.59,49.74,109.76,0.5,1.02,0.0,,2.25,0.44,,5.99,2.25,2.01,111.07,15.55,503624.0___NA__
Svarnim Trade Ud,539911.0,__NA__,Trading,16.91,,-30.44,-139.0,1.0,,,,0.0,,0.0,,,-139.0,0.02,-2.33,0.07,-266.67,,,0.0,,-1.21,0.0,38.63,61.37,,0.39,7.85,0.0,,-101.46,-113.78,,0.29,-103.0,73.08,-412.0,4.12,539911.0___NA__
SVC Industries,524488.0,__NA__,Miscellaneous,4.03,160.39,-101.12,-892.67,0.48,,,-60.98,19.3,-45.45,269.61,160.39,,-109.55,-2.69,-80.09,424.74,-0.15,0.68,1.66,0.0,,-279.71,0.0,56.1,23.82,66.53,0.76,-8.95,0.0,,-107.75,-0.55,,-0.02,-107.8,1.07,-142.96,65.76,524488.0___NA__
SVP Global,505590.0,SVPGLOB,Textiles - Spinning - Synthetic / Blended,8.12,0.34,0.93,-177.57,0.93,-0.63,,291.04,-226.76,14.61,-165.74,0.34,-0.63,-20.19,-24.58,-7.49,2614.83,3.76,-14.86,-22.15,0.0,,-2391.45,0.09,45.12,26.11,40.97,0.74,-0.34,0.0,,-3.63,0.15,,69.46,-3.63,0.25,-1.05,102.7,505590.0_SVPGLOB
SVS Ventures,543745.0,__NA__,Construction,11.25,16.79,-3.41,132.61,16.02,13.0,,1544.76,1000.0,-81.82,33.14,16.79,13.0,183.62,-0.14,0.13,24.71,-20.99,0.0,1.1,0.0,2.16,0.42,0.0,64.42,17.76,64.23,0.82,-0.51,0.0,3.62,-7.78,3.43,219.14,10.37,-7.8,3.27,133.39,24.01,543745.0___NA__
SW Investments,503659.0,__NA__,Finance & Investments,61.97,55.7,-2.61,138.0,15.8,,-3.22,740.0,-50.0,0.0,7.71,55.7,,138.0,0.88,0.0,0.74,-29.68,0.0,0.94,0.0,19.51,0.9,0.01,61.72,16.87,48.64,0.83,0.6,0.0,32.72,111.55,2.28,80.29,8.22,111.4,2.68,557.0,5.57,503659.0___NA__
Swadeshi Inds,506863.0,__NA__,Trading,2.31,1.02,-2.49,-41.33,3.86,,,176.42,-1000.0,,7.94,1.02,,-41.33,-0.84,0.0,7.87,-12.59,0.0,1.16,0.0,,0.8,0.01,100.0,0.0,49.03,1.0,-0.29,0.0,,-15.59,-4.0,,4.02,-15.63,2.39,-27.78,2.5,506863.0___NA__
Swadeshi Polytex,503816.0,__NA__,Construction,139.75,5.49,16.97,4.5,77.15,,0.11,100.49,-99.78,-100.0,108.75,5.49,,4.51,0.31,0.0,104.72,47.52,0.0,0.82,0.0,435.76,18.09,0.13,27.25,66.19,274.56,0.34,1.87,0.0,115.1,12.42,314.27,33.08,25.58,12.42,13.99,2270.96,545.03,503816.0___NA__
Swadha Nature,531039.0,__NA__,Miscellaneous,12.73,108.4,,139.75,68.5,,17.66,2700.0,400.0,,0.72,108.4,,139.75,-0.11,31.5,1.35,-18.31,,1.82,0.0,,-3.14,0.08,100.0,0.0,76.81,1.0,-1.84,0.0,,,-9.81,,,-9.34,8.38,90.33,5.42,531039.0___NA__
Swagtam Trading,539406.0,__NA__,Miscellaneous,85.0,33.73,58.85,65.53,10.75,,1.49,130.0,400.0,,4.58,33.73,,65.53,0.11,0.0,0.39,3.83,0.01,1.0,0.0,32.66,2.27,0.02,85.38,9.56,161.54,0.9,2.93,0.0,28.28,145.71,3.95,203.25,3.25,144.57,5.17,202.4,10.12,539406.0___NA__
Swan Energy,503310.0,SWANENERGY,Diversified - Medium / Small,589.85,3.69,-12.88,21.68,3.13,3.69,0.68,74.53,-74.73,-12.17,6278.9,3.69,3.69,24.66,-0.12,5.87,11544.17,-14.23,1.46,1.78,0.0,387.56,-42.6,0.04,66.09,24.62,175.31,0.75,-32.31,0.0,208.09,714.8,3.52,181.1,119.27,714.7,4.16,695.35,18489.28,503310.0_SWANENERGY
Swaraj Engines,500407.0,SWARAJENG,Engines,2832.65,2.42,34.2,16.21,2.22,736.64,2.33,15.57,45.98,25.54,368.56,2.42,736.64,17.74,0.15,0.01,334.4,28.11,0.01,1.48,83.72,2195.22,4.97,0.04,74.03,10.33,48.89,0.9,2.74,83.72,880.24,24.07,52.16,234.09,182.67,24.17,14.93,97.81,3440.9,500407.0_SWARAJENG
Swaraj Suiting,-1.0,SWARAJ,Textiles - Spinning - Synthetic / Blended,298.85,1.43,-15.92,13.83,1.3,2.84,0.45,30.28,131.51,23.69,95.96,1.43,2.84,16.78,-0.29,9.62,242.64,-15.96,1.63,3.47,0.0,291.75,-38.26,0.0,100.0,0.0,255.35,1.0,3.07,0.0,137.06,10.18,13.23,107.09,63.24,10.16,4.0,,456.38,-1.0_SWARAJ
Swarna Securitie,531003.0,__NA__,Miscellaneous,52.46,314.8,34.46,16.01,85.0,,1.19,1680.0,10.0,,5.76,314.8,,16.92,0.24,0.0,4.54,8.46,0.0,1.03,0.0,110.4,5.4,0.03,27.68,48.82,57.49,0.51,1.8,0.0,32.2,18.52,19.09,59.68,2.8,18.52,5.93,71.55,15.74,531003.0___NA__
SwarnsaritaJewel,526365.0,__NA__,Diamond Cutting / Jewellery,29.0,0.08,9.56,9.55,2.03,1.77,,27.46,-65.0,-15.92,122.65,0.08,1.77,9.75,-1.03,22.49,217.78,2.7,0.92,1.99,0.0,32.84,-152.72,0.31,42.75,31.59,52.63,0.68,0.59,0.0,55.07,12.63,6.97,6.33,101.13,12.62,5.57,865.14,60.56,526365.0___NA__
Swashthik,544035.0,__NA__,Plastics Products,68.26,0.95,,9.56,3.2,3.94,,55.69,-45.7,-9.35,59.22,0.95,3.94,11.79,,7.13,112.07,,0.84,5.44,0.0,190.37,-44.64,0.0,4.73,49.04,5.02,0.51,,0.0,59.27,-12.49,18.57,29.93,39.95,-12.46,3.58,,119.89,544035.0___NA__
Swasti Vin. Art,512257.0,__NA__,Construction,4.33,3.15,22.79,10.5,17.73,2.97,2.71,250.0,-97.14,9.57,24.26,3.15,2.97,10.78,0.01,7.17,40.07,5.17,0.6,1.74,0.0,2.92,-14.29,0.12,51.49,27.35,66.54,0.73,1.65,0.0,3.72,14.6,14.08,30.64,3.44,14.6,3.33,1948.5,38.97,512257.0___NA__
Swasti Vinayaka,510245.0,__NA__,Textiles - Spinning - Synthetic / Blended,7.1,2.08,175.87,19.0,4.14,5.96,-6.85,69.47,-16.42,-35.83,20.6,2.08,5.96,20.92,0.02,1.39,25.95,1.64,0.13,1.69,0.0,4.43,-3.46,0.01,37.5,33.02,42.0,0.67,5.12,0.0,3.37,-22.99,15.08,100.65,2.37,-22.99,5.76,114.11,63.9,510245.0___NA__
Swastik Pipe,-1.0,SWASTIK,Steel - Medium / Small,70.5,0.23,11.56,8.93,1.86,1.39,3.73,33.36,-74.88,0.03,213.45,0.23,1.39,10.85,-0.17,21.99,325.45,4.43,0.53,1.9,0.0,40.29,-59.34,0.1,6.72,44.05,6.02,0.56,0.59,0.0,67.56,6.33,8.89,24.27,104.03,6.34,3.71,,163.78,-1.0_SWASTIK
Swastika Investm,530585.0,__NA__,Finance & Investments,810.0,2.09,-17.83,0.95,1.16,3.89,0.9,37.3,36.66,32.92,71.39,2.09,3.89,1.0,0.9,1.13,47.28,-17.29,0.96,3.97,4.85,845.65,67.51,0.75,94.88,4.14,400.0,0.96,-7.14,4.85,474.72,-11.01,23.09,65.33,142.57,-10.86,2.05,56.42,239.77,530585.0___NA__
Swati Projects,543914.0,__NA__,Finance & Investments,209.8,144.15,-521.06,258.27,,,,44.22,-44.83,-2.5,12.65,144.15,,286.19,,0.0,0.87,-3.04,0.0,1.01,0.0,15.12,0.06,0.0,99.84,0.14,1157.79,1.0,,0.0,12.39,-504.52,7.01,6453.44,0.64,-504.52,27.61,1324.38,211.9,543914.0___NA__
Swelect Energy,532051.0,SWELECTES,Electric Equipment,1263.15,7.89,-122.08,18.66,1.59,1.54,2.07,275.73,338.2,18.85,839.12,7.89,1.54,28.58,0.09,9.02,1393.03,-1.13,0.72,1.88,9.78,425.62,-19.39,0.06,78.21,17.24,296.59,0.83,2.02,9.78,713.79,21.44,5.36,180.14,440.4,21.38,3.34,664.86,1914.79,532051.0_SWELECTES
Swiss Military,523558.0,__NA__,Trading,26.01,2.82,-49.41,44.82,4.68,539.0,0.73,36.37,2.82,9.01,71.14,2.82,539.0,45.61,0.01,0.02,67.02,-15.07,0.01,1.14,23.92,10.47,3.8,0.04,69.19,19.35,116.75,0.81,-6.7,23.92,5.83,-260.9,16.29,446.52,3.35,-260.89,13.6,233.49,511.34,523558.0___NA__
Switching Tech.,517201.0,__NA__,Electric Equipment,78.1,2.2,5623.2,-2.19,0.89,,,-9.22,221.15,3.17,-5.67,2.2,,-2.17,-0.01,0.0,-0.42,-0.08,-0.05,-1.55,0.0,,-1.41,0.0,67.93,20.31,117.31,0.8,-23.9,0.0,,208.27,0.0,,-3.33,212.44,0.18,-11.88,19.12,517201.0___NA__
