Name,BSE Code,NSE Code,Industry,Current Price,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Net cash flow last year,Cash beginning of last year,Cash end of last year,Free cash flow preceding year,Cash from operations preceding year,Cash from investing preceding year,Cash from financing preceding year,Net cash flow preceding year,Cash beginning of preceding year,Cash end of preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Free cash flow 10years,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Operating cash flow 10years,Investing cash flow 10years,Investing cash flow 7years,Investing cash flow 5years,Investing cash flow 3years,Cash 3Years back,Cash 5Years back,Cash 7Years back,Market Capitalization,join_key
Sundaram Finance,590071.0,SUNDARMFIN,Finance & Investments,4623.4,-8485.88,-8556.72,88.9,8754.33,357.35,188.33,1502.68,-6505.87,-6504.29,668.51,5890.14,54.36,133.97,1145.18,-13545.31,-13126.84,-22935.65,-25149.38,-13209.37,-12751.08,-22497.4,-24581.46,-3436.67,-3246.03,-3064.5,-839.35,788.94,859.09,1013.62,51365.99,590071.0_SUNDARMFIN
Sundaram Multi.,533166.0,SUNDARAM,Printing & Stationery,3.08,5.41,3.49,-1.93,-5.78,-2.31,2.54,0.22,10.83,11.35,-0.58,-8.6,2.17,0.36,2.54,19.46,30.27,35.92,107.89,22.17,30.84,42.93,94.47,30.16,4.03,3.61,-2.83,0.37,0.38,0.16,145.96,533166.0_SUNDARAM
Sundram Fasten.,500403.0,SUNDRMFAST,Auto Ancillaries,1347.0,588.72,190.75,-387.66,-235.09,-34.03,57.53,35.32,240.57,468.96,-233.64,-214.26,21.06,36.47,86.98,633.51,1294.87,1314.67,1701.78,1458.86,2630.62,3544.5,4489.2,-2778.21,-2235.07,-1344.47,-824.59,39.3,24.83,39.55,28304.28,500403.0_SUNDRMFAST
Sunflag Iron,500404.0,SUNFLAG,Steel - Medium / Small,222.0,244.39,118.92,-83.26,21.21,182.34,11.49,253.1,109.47,277.8,-218.99,-63.26,-4.45,15.94,118.33,-67.11,169.33,235.71,486.52,565.38,997.95,1292.44,1589.19,-1110.25,-1060.99,-822.93,-637.58,70.57,59.07,76.73,4000.84,500404.0_SUNFLAG
Sungarner Energ.,-1.0,SEL,Electric Equipment,396.0,-5.56,-6.15,-0.69,6.37,0.12,0.08,0.08,-2.57,-2.22,-0.35,2.61,0.04,0.04,0.08,-9.82,-9.72,,,-8.47,-8.22,,,,,-1.6,-1.45,0.05,,,91.82,-1.0_SEL
Sungold Capital,531433.0,__NA__,Finance & Investments,3.36,-8.25,-8.58,-0.08,8.42,0.1,0.04,0.26,-8.58,-8.25,-0.08,8.42,0.1,0.04,0.14,-17.27,-17.16,-17.18,-18.37,-16.61,-16.5,-16.51,-17.7,1.02,-0.17,-0.16,-0.16,0.15,0.04,0.06,6.18,531433.0___NA__
Sungold Media,541799.0,__NA__,Miscellaneous,22.1,0.42,0.2,-0.22,0.0,0.19,0.19,0.19,-5.92,-5.86,-0.06,5.92,0.0,0.19,0.19,-5.88,-5.42,-6.61,-9.49,-5.6,-5.14,-6.33,-9.19,0.26,0.08,-0.39,-0.28,0.37,0.06,0.05,24.31,541799.0___NA__
Sunil Agro Foods,530953.0,__NA__,Food - Processing - Indian,149.05,4.36,2.56,-1.83,-2.19,0.34,0.21,0.55,1.64,2.73,-1.29,-1.55,-0.11,0.32,0.21,-3.84,7.48,13.81,13.37,0.96,11.97,15.32,23.41,-21.19,-11.78,-8.86,-4.97,0.22,0.19,1.67,44.72,530953.0___NA__
Sunil Healthcare,537253.0,__NA__,Miscellaneous,85.1,-15.74,-25.57,-9.77,25.0,-0.51,0.59,3.61,3.99,7.47,-3.4,-3.75,0.32,0.27,3.94,-8.09,5.82,4.91,,14.24,35.54,55.75,,,-51.27,-31.29,-17.41,8.28,2.69,3.93,87.27,537253.0___NA__
Sunil Industries,521232.0,__NA__,Textiles - Processing,77.86,13.14,9.3,-3.69,-15.48,-6.04,10.15,5.48,-8.77,-2.22,-7.02,15.73,6.49,3.66,11.47,-10.01,-8.36,3.56,2.81,8.69,18.57,33.13,36.94,-33.61,-29.51,-24.26,-18.91,3.43,7.86,3.91,32.7,521232.0___NA__
Sunita Tools Ltd,544001.0,__NA__,Engineering,632.1,-3.38,-6.08,-2.7,7.7,1.62,0.56,2.18,-5.19,-2.74,-2.34,5.03,-0.05,0.61,0.56,-9.18,,,,-3.5,,,,,,,-5.54,0.5,,,355.56,544001.0___NA__
Sunraj Diamond,523425.0,__NA__,Trading,10.09,-0.36,-0.36,0.0,-0.09,-0.45,0.51,0.05,0.81,0.89,-0.08,-0.54,0.27,0.24,0.51,-2.22,-2.69,-2.53,0.23,-2.1,-2.55,-2.39,-1.07,1.31,-0.13,-0.13,-0.12,0.21,0.28,0.25,5.38,523425.0___NA__
Sunrest Lifescie,-1.0,SUNREST,Trading,63.05,-14.8,-14.81,-0.01,14.64,-0.16,0.45,0.45,1.14,1.15,-0.03,-1.15,-0.03,0.48,0.45,-14.47,-15.39,,,-14.09,-14.84,,,,,-0.57,-0.4,0.37,,,27.06,-1.0_SUNREST
Sunrise Efficie.,543515.0,__NA__,Trading,55.61,3.39,2.32,-0.47,-2.31,0.61,0.7,0.7,-11.04,-10.78,-0.32,11.78,0.69,0.01,0.7,-16.97,,,,-15.06,,,,,,,-1.39,0.01,,,83.43,543515.0___NA__
Sunshield Chem.,530845.0,__NA__,Chemicals,1020.2,42.07,0.62,-40.33,-10.51,-8.77,-0.5,0.6,5.94,14.12,-8.53,-10.56,-4.97,4.47,1.79,23.19,67.38,78.05,46.8,89.16,143.19,159.87,185.05,-133.21,-82.41,-76.41,-65.98,3.57,1.87,1.24,750.16,530845.0___NA__
Sunshine Capital,539574.0,__NA__,Finance & Investments,2.87,-212.04,-212.83,-362.77,565.68,-9.13,12.11,2.98,0.97,1.5,3.48,0.29,5.27,6.84,12.11,,,,,,,,,,,,,,,,298.96,539574.0___NA__
Sunteck Realty,512179.0,SUNTECK,Construction,579.0,108.99,46.04,251.09,-352.71,7.37,28.27,105.78,243.92,262.04,-16.21,-261.38,-15.55,43.82,158.22,241.22,382.02,201.23,240.48,340.56,513.43,337.04,366.41,229.15,375.36,285.13,252.96,99.05,147.92,59.72,8481.57,512179.0_SUNTECK
Super Bakers (I),530735.0,__NA__,Food - Processing - Indian,27.11,0.46,0.46,0.0,0.0,0.46,3.41,3.87,0.36,0.36,0.0,0.0,0.36,3.05,3.41,1.15,2.05,1.74,2.5,1.15,2.63,2.21,2.92,1.04,0.98,-0.58,0.0,2.72,1.82,0.72,8.19,530735.0___NA__
Super Crop Safe,530883.0,__NA__,Pesticides / Agrochemicals - Indian,12.06,-3.73,-4.04,-0.31,20.12,16.09,0.05,0.13,1.49,1.4,0.01,-1.53,-0.12,0.17,0.13,-1.35,-1.48,-6.26,-16.3,-1.96,-0.78,-2.6,-9.11,-6.42,-3.02,-0.37,0.49,0.18,0.45,0.46,48.5,530883.0___NA__
Super Fine Knit.,540269.0,__NA__,Textiles - Products,12.57,1.56,0.67,-0.47,-1.13,-0.04,0.06,0.06,1.49,2.03,-0.55,-1.48,0.01,0.05,0.06,27.82,26.06,24.8,18.95,21.24,20.21,27.23,27.36,-7.6,-1.85,6.32,7.01,0.11,0.33,1.04,15.58,540269.0___NA__
Super Sales Ind.,512527.0,__NA__,Textiles - Cotton/Blended,1600.3,33.61,-3.16,-37.07,-7.29,-10.75,13.16,15.29,17.84,64.71,-48.49,-5.38,10.84,2.32,23.73,30.24,55.27,74.1,135.16,148.01,191.98,247.82,355.0,-240.3,-183.24,-141.89,-125.58,2.13,1.58,5.91,491.31,512527.0___NA__
Super Spinning,521180.0,SUPERSPIN,Miscellaneous,8.7,-9.3,-3.78,5.58,3.03,-0.69,2.54,8.62,-3.78,-9.3,5.58,3.03,-0.69,2.54,2.98,-3.8,28.31,90.5,196.27,-41.61,-43.91,8.52,75.8,123.64,82.81,72.98,38.05,0.03,0.15,1.47,47.85,521180.0_SUPERSPIN
Super Tannery,523842.0,__NA__,Leather / Leather Products,9.9,7.23,-4.42,-13.9,5.5,-1.17,4.22,10.08,13.16,20.53,-6.45,-13.38,0.69,3.52,8.64,17.68,16.99,33.41,66.7,48.16,70.57,100.19,155.47,-90.02,-68.69,-55.32,-31.51,8.14,5.8,5.95,106.9,523842.0___NA__
Superhouse Ltd,523283.0,SUPERHOUSE,Leather / Leather Products,212.05,22.69,-4.88,-24.02,-4.57,-5.91,23.97,66.97,-12.57,27.48,-45.7,16.51,-1.7,25.68,69.59,-41.42,79.36,127.73,183.18,48.75,188.49,250.81,407.0,-229.67,-119.08,-104.29,-80.9,74.96,43.22,46.59,233.79,523283.0_SUPERHOUSE
Superior Finleas,539835.0,__NA__,Finance & Investments,1.7,-1.29,-1.47,0.76,0.28,-0.25,0.99,0.74,-1.42,-1.32,1.53,0.02,0.24,0.75,0.99,19.34,-43.03,-49.08,-50.03,19.62,-42.71,-48.76,-49.71,5.86,5.38,5.42,7.95,0.88,0.29,0.07,5.1,539835.0___NA__
Superior Indus.,519234.0,__NA__,Packaging,48.5,3.41,3.46,-0.71,-2.73,-0.03,0.15,3.79,0.61,0.93,-1.9,1.9,0.92,-0.77,2.82,4.11,2.93,-1.06,0.4,4.68,4.47,1.95,1.29,-6.29,-3.66,-4.07,-3.08,1.56,2.57,0.1,67.18,519234.0___NA__
Supershakti Met.,541701.0,__NA__,Steel - Medium / Small,500.0,2.93,1.45,-13.3,-2.92,-13.29,13.45,18.38,62.88,75.76,-50.04,-15.44,10.28,3.17,18.38,68.46,104.97,141.01,,97.3,135.91,176.7,,,-138.65,-131.38,-76.55,4.35,15.91,,576.26,541701.0___NA__
Supertex Inds.,526133.0,__NA__,Textiles - Processing,10.85,5.54,5.32,-0.23,-4.83,0.49,0.61,1.1,2.36,2.79,-0.42,-2.37,0.0,0.61,0.61,12.17,12.84,11.16,9.29,13.04,17.64,18.13,22.04,-12.58,-6.83,-4.8,-0.87,0.46,0.59,1.13,12.3,526133.0___NA__
Supra Pacific,540168.0,__NA__,Finance & Investments,30.95,-62.09,-67.64,-5.55,66.51,-1.14,4.35,3.21,-29.13,-24.95,-4.18,27.85,-1.28,5.63,4.35,-112.21,-128.45,-128.44,-131.25,-102.0,-117.18,-117.17,-121.3,-5.4,-8.82,-8.82,-10.2,0.69,0.02,0.0,84.13,540168.0___NA__
Supra Trends,511539.0,__NA__,Textiles - Products,42.92,-0.02,-0.02,0.0,0.0,-0.02,0.04,0.02,0.91,0.91,0.0,-1.0,-0.09,0.14,0.04,0.82,0.71,0.72,0.57,0.82,0.71,0.72,0.57,0.1,0.1,0.1,0.0,0.01,0.01,0.0,2.15,511539.0___NA__
Suprajit Engg.,532509.0,SUPRAJIT,Auto Ancillaries,518.05,249.22,158.22,-111.98,-121.74,15.51,100.1,118.56,147.54,239.09,-548.25,223.19,-85.97,186.07,106.85,434.84,736.38,1014.67,1166.64,669.89,1062.94,1424.95,1710.66,-1531.95,-1046.83,-834.83,-621.33,94.08,46.54,22.18,7172.96,532509.0_SUPRAJIT
Supreme Engg.,-1.0,SUPREMEENG,Steel - Medium / Small,1.13,8.61,8.55,1.04,-9.2,0.45,1.91,2.36,5.79,5.92,-0.09,-9.33,-3.5,5.41,1.91,10.07,4.83,15.66,,10.3,4.89,18.02,,,2.05,3.86,3.63,3.8,4.98,2.67,28.24,-1.0_SUPREMEENG
Supreme Holdings,530677.0,__NA__,Construction,65.5,-36.38,-36.49,35.5,0.0,-0.88,4.11,4.58,6.68,6.68,-38.78,0.98,-31.12,35.23,4.33,4.44,17.21,46.4,18.2,4.55,18.61,49.08,20.66,-14.0,0.86,-3.92,-5.98,4.23,7.84,1.35,243.52,530677.0___NA__
Supreme Inds.,509930.0,SUPREMEIND,Plastics Products,5993.4,1412.9,866.19,-590.65,-381.7,440.55,737.96,1187.29,468.51,890.34,-344.68,-326.57,219.09,518.87,746.08,1338.91,2663.94,3119.59,3619.94,2773.5,4559.19,5622.51,6709.08,-2793.62,-2239.62,-1733.14,-1337.92,768.39,37.3,79.83,76132.29,509930.0_SUPREMEIND
Supreme Infra.,532904.0,SUPREMEINF,Engineering - Turnkey Services,91.0,-14.1,-10.24,4.25,5.05,-4.81,7.48,2.67,-32.72,-17.86,-14.64,31.53,-0.96,8.44,7.48,-63.85,1677.58,1258.39,44.12,-45.86,1675.97,1612.29,1839.46,-2234.85,-593.11,-268.64,-19.54,7.23,27.14,48.57,233.85,532904.0_SUPREMEINF
Supreme Petroch.,500405.0,SPLPETRO,Petrochemicals,771.0,557.03,244.67,-181.77,-196.9,178.36,894.41,520.37,98.03,303.64,-146.84,-193.63,-36.83,931.24,349.52,850.18,1366.44,1661.29,1866.86,1531.42,2085.16,2430.84,2678.12,-614.48,-580.77,-539.52,-468.63,106.75,38.3,97.79,14497.98,500405.0_SPLPETRO
Supreme Power,-1.0,SUPREMEPWR,Electric Equipment,339.0,-6.28,-24.94,-31.52,37.78,-0.02,0.06,0.06,4.35,4.45,-2.3,-2.44,-0.29,0.34,0.06,-21.93,-16.22,-16.22,,-3.14,2.57,2.57,,,-33.65,-33.65,-33.74,2.72,0.09,,847.21,-1.0_SUPREMEPWR
Supriya Lifesci.,543434.0,SUPRIYA,Pharmaceuticals - Indian - Bulk Drugs & Formln,398.95,113.31,-32.35,-173.58,-22.36,-82.63,157.58,74.96,-41.71,66.19,-133.15,-3.37,-70.33,227.91,157.58,-85.08,35.54,112.23,,228.3,420.86,497.5,,,-438.37,-438.49,-366.55,89.28,1.73,5.58,3210.9,543434.0_SUPRIYA
Suraj,531638.0,__NA__,Steel - Medium / Small,233.9,40.82,6.59,-47.0,5.82,-0.36,0.67,0.31,26.01,44.62,-18.53,-26.26,-0.18,0.85,0.67,59.04,116.05,152.63,175.34,118.74,181.75,222.48,248.93,-85.19,-81.28,-77.77,-72.32,0.42,4.84,5.44,429.53,531638.0___NA__
Suraj Estate,544054.0,SURAJEST,Construction,518.35,9.01,-16.34,-89.74,70.21,-10.52,11.81,110.32,187.76,188.53,-27.12,-155.72,5.68,6.13,28.02,239.9,185.5,,,267.3,220.66,,,,,-164.57,-143.07,20.85,7.1,,2299.46,544054.0_SURAJEST
Suraj Industries,526211.0,__NA__,Trading,70.51,-1.62,-14.39,-17.74,4.76,-14.61,17.45,3.04,0.0,0.0,0.0,0.0,0.0,0.0,17.45,,,,,,,,,,,,,,,,90.57,526211.0___NA__
Suraj Products,518075.0,__NA__,Steel - Medium / Small,660.0,31.91,30.5,-1.19,-17.62,13.1,1.64,14.74,13.57,32.69,-19.12,-12.96,0.62,1.02,1.64,49.74,63.65,52.84,53.83,77.34,109.9,138.36,163.08,-110.27,-86.31,-46.03,-27.38,4.11,1.97,4.04,752.4,518075.0___NA__
Surana Solar,533298.0,SURANASOL,Electric Equipment,38.7,0.11,1.71,-0.01,0.06,0.17,0.12,0.36,11.44,10.14,0.12,-10.15,0.12,0.01,0.18,4.71,24.89,27.93,63.0,2.09,18.8,25.86,66.1,-4.12,0.09,3.93,5.27,1.12,2.7,3.93,190.42,533298.0_SURANASOL
Surana Telecom,517530.0,SURANAT&P,Power Generation And Supply,25.57,14.69,15.63,-3.44,-11.0,0.25,1.15,2.41,16.07,14.46,-1.09,-12.86,0.52,0.63,1.92,46.0,59.55,99.1,20.79,42.82,70.72,119.08,171.3,-170.21,-33.35,-10.91,3.83,3.18,0.55,3.64,347.15,517530.0_SURANAT&P
Surani Steel Tub,-1.0,SURANI,Steel - Medium / Small,353.9,-56.8,-63.07,-5.44,95.99,33.76,0.3,0.81,5.29,-1.65,6.57,-4.64,0.28,0.02,0.81,-52.96,-51.68,-69.66,-67.94,-53.67,-51.7,-60.71,-55.85,-11.71,-8.58,0.47,1.16,0.16,0.15,0.07,376.35,-1.0_SURANI
Surat Trade,530185.0,__NA__,Finance & Investments,9.08,-23.19,-22.78,23.67,-0.23,0.25,0.65,0.9,-5.75,-6.21,-55.24,0.38,-61.07,0.72,0.65,-36.91,-48.8,-16.77,9.73,-37.01,-48.85,-17.08,5.15,-90.52,-72.16,-43.21,-42.83,8.66,5.68,0.84,201.62,530185.0___NA__
Suratwwala Busi.,543218.0,SBGLP,Construction,124.15,0.29,-0.57,-1.64,6.1,4.76,0.76,5.52,7.07,7.16,-0.77,-6.17,0.22,0.54,0.76,-9.03,,,,-7.86,,,,,,,-2.58,,,,2152.99,543218.0_SBGLP
Surya Roshni,500336.0,SURYAROSNI,Steel - Large,631.95,540.17,488.71,-51.46,-454.33,34.38,0.16,45.12,246.13,279.31,-33.18,-246.16,-0.03,0.19,0.68,966.18,1672.31,1777.19,2295.93,1104.44,1924.62,2199.68,2930.91,-637.79,-424.81,-256.11,-138.26,0.93,2.06,22.3,6876.72,500336.0_SURYAROSNI
Suryaamba Spinni,533101.0,__NA__,Textiles - Spinning - Synthetic / Blended,151.35,14.04,12.01,-2.91,-10.94,0.18,0.04,0.25,4.69,17.52,-11.74,-5.82,-0.05,0.08,0.08,10.28,22.0,46.44,53.02,49.0,74.35,105.36,138.1,-83.29,-58.07,-52.08,-38.74,2.85,1.07,0.26,44.37,533101.0___NA__
Suryalak. Cott.,521200.0,SURYALAXMI,Textiles - Cotton/Blended,81.4,19.41,-13.13,-25.39,-0.12,-6.1,6.28,8.97,103.75,99.31,-2.51,-97.51,-0.7,6.98,21.98,135.53,257.82,351.89,423.93,172.73,271.04,378.12,611.12,-181.98,-20.89,-10.27,-35.57,19.61,9.27,3.64,153.08,521200.0_SURYALAXMI
Suryalata Spg.,514138.0,__NA__,Textiles - Spinning - Synthetic / Blended,411.0,40.37,-36.85,-68.18,22.57,-5.24,5.54,1.94,19.32,80.59,-64.22,-13.89,2.48,3.08,11.74,,,,,,,,,,,,,,,,175.38,514138.0___NA__
Suryavanshi Spg.,514140.0,__NA__,Textiles - Cotton/Blended,25.98,-13.68,5.28,18.96,-5.77,-0.48,0.63,0.14,-1.99,-1.43,-0.49,2.3,0.38,0.25,0.63,9.31,18.17,25.06,20.78,-7.66,-4.61,2.33,3.17,18.93,23.72,22.93,15.7,1.55,0.17,0.38,12.75,514140.0___NA__
Suryo Foods,519604.0,__NA__,Aquaculture,15.0,0.03,0.05,0.03,0.0,0.06,0.02,0.08,-0.01,-0.01,0.0,0.0,0.0,0.03,0.02,0.04,0.01,-0.17,-0.02,0.09,0.23,0.75,2.99,-2.98,-0.9,-0.2,-0.04,0.03,0.05,0.17,5.94,519604.0___NA__
Suryoday Small,543279.0,SURYODAY,Banks - Private Sector,191.05,934.73,879.08,-263.35,-321.92,349.46,824.18,833.1,-190.33,-97.7,-265.7,213.47,-149.93,974.11,833.1,250.91,-148.63,,,490.52,140.0,,,,,-1133.38,-686.65,596.64,276.36,133.92,2029.71,543279.0_SURYODAY
Sutlej Textiles,532782.0,SUTLEJTEX,Textiles - Cotton/Blended,65.0,224.55,175.04,-38.28,-187.28,-1.01,3.65,5.58,85.19,209.82,-115.12,-93.37,1.33,2.32,6.12,277.69,357.68,590.49,578.83,535.54,955.95,1331.27,1994.88,-1429.32,-612.39,-547.17,-242.13,9.82,2.9,3.56,1064.89,532782.0_SUTLEJTEX
Suumaya Corp.,543274.0,__NA__,Trading,4.69,0.43,0.43,0.0,-1.25,-0.82,2.56,2.56,42.79,39.54,4.91,-44.56,-0.11,2.67,2.56,1.96,-73.74,,,4.33,-69.44,,,,,-3.91,3.42,42.96,0.06,0.05,11.62,543274.0___NA__
Suumaya Indust.,-1.0,SUULD,Trading,5.54,4.37,4.37,3.19,-8.84,-1.28,2.92,4.18,52.58,79.04,-29.4,-51.91,-2.27,5.2,4.44,-954.47,-938.68,,,-901.01,-877.43,,,,,-92.01,-69.15,103.86,5.44,,37.31,-1.0_SUULD
Suven Life Scie.,530239.0,SUVEN,Pharmaceuticals - Indian - Bulk Drugs & Formln,109.1,-82.62,22.37,61.59,-1.05,-22.09,37.02,163.98,-106.04,-103.15,-260.65,395.54,31.75,5.27,184.28,-230.98,-470.26,-534.2,-421.26,-313.31,-543.9,-526.57,-206.99,-449.14,10.58,-19.23,-221.29,46.65,0.69,9.17,2379.19,530239.0_SUVEN
Suven Pharma,543064.0,SUVENPHAR,Pharmaceuticals - Indian - Bulk Drugs & Formln,806.95,358.48,306.69,-362.25,-13.8,-17.57,64.8,50.5,165.21,450.91,-194.84,-235.83,20.24,44.56,68.01,726.71,1302.42,,,1139.39,1928.86,,,,,-1418.08,-693.23,9.65,12.9,,20542.13,543064.0_SUVENPHAR
Suvidha Infra.,531640.0,__NA__,Construction,26.85,0.75,0.75,0.0,-0.76,-0.01,0.02,0.01,-0.26,-0.26,0.0,0.27,0.01,0.01,0.02,0.31,-0.11,-0.62,-1.3,0.31,-0.11,-0.62,-1.36,0.13,0.07,0.07,0.0,0.02,0.02,0.01,23.89,531640.0___NA__
Suvidhaa Info.,543281.0,SUVIDHAA,Miscellaneous,5.37,-10.03,-10.4,0.28,-0.34,-10.09,24.77,14.68,37.16,37.66,-17.21,0.05,20.5,4.27,24.77,33.27,23.22,,,34.57,63.89,,,,,-51.66,-16.99,3.3,,,112.67,543281.0_SUVIDHAA
Suyog Gurbaxani,543391.0,__NA__,Construction,140.5,-11.99,-11.95,0.04,12.0,0.05,0.06,0.14,0.75,1.03,-0.28,-3.51,-2.76,2.9,0.14,-7.49,-8.23,,,-7.25,-7.08,,,,,-1.15,-0.24,0.29,0.37,1.15,349.31,543391.0___NA__
Suyog Telematics,537259.0,__NA__,Transmisson Line Towers / Equipment,1095.05,71.96,7.49,-63.77,-7.0,1.2,2.17,3.65,-33.75,67.03,-107.99,39.91,-1.05,3.23,2.17,-54.25,-15.89,7.36,-41.42,185.54,303.92,376.44,381.37,-421.98,-374.32,-326.38,-245.38,2.93,2.29,1.45,1167.53,537259.0___NA__
Suzlon Energy,532667.0,SUZLON,Electric Equipment,52.79,33.21,-193.18,-151.55,177.95,59.61,367.31,426.84,452.46,466.66,84.71,-684.49,-133.12,500.43,367.31,1485.36,938.03,1194.06,1708.42,1801.77,1403.23,2560.53,4542.44,2858.04,-154.92,-142.08,-85.86,262.5,74.62,336.12,71343.99,532667.0_SUZLON
Svam Software,523722.0,__NA__,Finance & Investments,3.1,-0.67,-0.67,-2.44,1.93,-1.19,1.3,0.11,-0.09,-0.09,0.97,0.0,0.89,0.41,1.3,-0.89,5.14,4.94,11.53,-0.9,5.17,4.85,12.28,-11.6,-8.89,-7.04,-1.3,0.38,0.08,2.31,5.24,523722.0___NA__
Svaraj Trading,503624.0,__NA__,Trading,11.2,6.92,0.32,-4.81,0.0,2.11,0.05,2.16,0.34,-8.61,4.81,3.32,-0.49,0.54,0.05,2.71,8.43,6.06,15.89,0.36,6.1,9.23,19.06,-11.29,-12.94,-7.91,-8.43,6.92,0.67,2.57,16.53,503624.0___NA__
Svarnim Trade Ud,539911.0,__NA__,Trading,16.95,-0.04,-0.04,0.0,0.07,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,3.9,7.84,7.81,-0.4,0.21,4.15,4.82,-4.47,-0.25,-0.25,0.0,0.36,0.01,0.01,4.13,539911.0___NA__
SVC Industries,524488.0,__NA__,Miscellaneous,4.07,-0.61,-0.61,-0.38,0.98,-0.01,0.14,0.13,-0.76,-0.68,-0.43,1.18,0.07,0.07,0.14,-1.95,-1.43,19.65,14.59,-1.86,-2.94,-3.56,-3.41,17.19,22.41,0.69,-0.91,0.03,0.07,0.26,66.41,524488.0___NA__
SVP Global,505590.0,SVPGLOB,Textiles - Spinning - Synthetic / Blended,8.14,-28.3,77.96,115.99,-92.61,-4.92,11.35,6.42,-189.98,-316.77,140.17,166.2,-10.4,21.75,11.35,332.17,-1143.77,-1157.39,-1983.57,36.15,-119.58,-30.26,3.68,-2162.33,-1083.57,-897.11,326.72,21.68,21.46,54.56,102.96,505590.0_SVPGLOB
SVS Ventures,543745.0,__NA__,Construction,11.25,-3.08,-3.08,3.59,-0.46,0.05,0.11,0.11,-18.03,-17.81,-12.24,30.16,0.11,0.0,0.11,-21.11,-19.25,,,-20.89,-19.01,,,,,-8.67,-8.65,0.65,,,24.01,543745.0___NA__
SW Investments,503659.0,__NA__,Finance & Investments,61.97,0.05,0.05,0.0,-0.04,0.01,0.03,0.05,-1.23,-1.23,1.23,0.0,0.0,0.03,0.05,-6.41,-0.66,-0.73,-0.51,-2.01,3.74,3.67,3.89,-3.66,-3.68,-3.7,-1.66,4.51,0.11,0.15,5.57,503659.0___NA__
Swadeshi Inds,506863.0,__NA__,Trading,2.31,-0.16,-0.16,0.15,0.0,-0.01,0.03,0.02,-1.45,-1.45,1.5,-0.04,0.01,0.02,0.03,-3.01,-3.45,-5.93,-7.33,-3.01,-3.42,-5.64,-8.44,8.33,5.6,3.41,3.01,0.1,0.01,0.05,2.5,506863.0___NA__
Swadeshi Polytex,503816.0,__NA__,Construction,139.75,43.87,38.93,-43.81,0.0,0.06,0.02,98.61,31.62,31.65,-34.41,0.0,-2.76,2.78,46.49,96.33,111.33,129.84,152.43,101.31,116.37,134.88,157.5,-87.84,-97.22,-100.1,-100.39,0.94,1.26,0.8,545.03,503816.0___NA__
Swadha Nature,531039.0,__NA__,Miscellaneous,12.73,-0.58,-0.58,0.16,0.17,-0.25,0.46,0.46,-0.05,-0.05,0.03,0.46,0.43,0.03,0.46,-0.67,-1.18,-1.29,,-0.67,-1.18,-1.28,,,0.65,0.61,0.24,0.01,0.14,0.21,5.42,531039.0___NA__
Swagtam Trading,539406.0,__NA__,Miscellaneous,85.0,0.07,0.07,0.19,0.0,0.26,0.03,0.29,-0.22,-0.22,0.13,0.0,-0.09,0.12,0.03,0.52,1.38,1.24,-0.45,0.52,1.38,1.24,-0.42,-1.67,-1.65,-1.65,-1.12,0.89,0.57,0.72,10.12,539406.0___NA__
Swan Energy,503310.0,SWANENERGY,Diversified - Medium / Small,589.7,25.87,-421.19,-511.61,1603.65,1117.91,201.68,1319.59,-3423.81,-490.87,-860.02,598.5,-752.39,954.06,201.68,-4306.74,-6579.39,-7304.28,-7344.81,-436.24,-228.88,-124.69,-42.36,-5639.98,-5487.12,-4190.5,-1865.92,110.62,40.29,44.77,18484.57,503310.0_SWANENERGY
Swaraj Engines,500407.0,SWARAJENG,Engines,2836.6,142.38,96.78,-29.56,-112.27,0.55,3.63,175.69,121.99,132.83,-37.63,-97.34,-2.14,5.77,109.07,300.7,407.26,509.44,660.67,375.47,503.08,661.17,862.13,-91.37,-35.04,-86.3,-115.62,117.45,31.94,48.67,3445.7,500407.0_SWARAJENG
Swaraj Suiting,-1.0,SWARAJ,Textiles - Spinning - Synthetic / Blended,298.85,44.9,-24.99,-99.08,53.82,-0.36,0.43,0.43,-29.54,-15.32,-17.24,30.88,-1.68,2.1,0.43,-86.14,-66.74,,,44.6,59.45,,,,,-168.41,-163.25,0.05,0.05,,456.38,-1.0_SWARAJ
Swarna Securitie,531003.0,__NA__,Miscellaneous,52.46,0.85,0.82,-0.17,0.0,0.68,0.17,0.85,-0.07,0.76,-0.65,0.0,0.11,0.06,0.17,1.37,1.65,1.29,1.77,2.32,3.5,3.42,4.76,-3.32,-2.7,-3.05,-2.06,0.6,0.4,0.13,15.74,531003.0___NA__
SwarnsaritaJewel,526365.0,__NA__,Diamond Cutting / Jewellery,29.0,4.8,2.96,-0.77,-21.73,-17.7,40.94,19.92,8.48,8.75,1.4,-12.94,-2.78,43.72,18.18,19.01,32.47,3.72,-43.89,21.28,40.75,12.37,-33.42,12.81,8.8,2.38,2.47,31.9,40.6,20.19,60.56,526365.0___NA__
Swashthik,544035.0,__NA__,Plastics Products,68.26,-9.62,-27.68,-18.05,27.63,-0.05,0.14,0.14,0.53,3.68,-2.86,-0.83,-0.01,0.15,0.14,,,,,,,,,,,,,,,,119.89,544035.0___NA__
