Name,BSE Code,NSE Code,Industry,Current Price,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Sales growth 10years median,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization,join_key
Shilpa Medicare,530549.0,SHILPAMED,Pharmaceuticals - Indian - Formulations,570.25,8.61,9.44,-32.66,-19.81,7.43,10.08,5.74,7.26,5.58,9.34,5.11,7.34,-34.05,-20.81,-16.53,-10.0,-15.57,-8.5,-8.86,62.37,77.11,129.23,127.45,5576.55,530549.0_SHILPAMED
Shine Fashions,543244.0,__NA__,Trading,177.0,98.89,,157.13,,85.32,85.32,,,163.74,,,,157.19,,,,,,0.0,,,,,49.52,543244.0___NA__
Shipping Land,544142.0,SCILAL,Miscellaneous,80.55,,,,,39.43,39.43,,,,,,,,,,,,,,,,,,3751.99,544142.0_SCILAL
Shish Industries,540693.0,__NA__,Plastics Products,137.55,44.59,50.61,84.6,56.78,45.06,45.06,49.22,,63.32,41.46,50.93,,75.93,51.3,,,108.03,83.1,-4.87,3.79,2.02,5.5,3.05,489.71,540693.0___NA__
Shiva Cement,532323.0,__NA__,Cement - South India,49.89,130.13,63.83,,,2.13,-87.8,48.32,18.6,114.01,52.67,38.17,15.24,,,,,,,7.12,-35.13,-22.48,-19.77,-13.0,1471.76,532323.0___NA__
Shiva Global,530433.0,__NA__,Fertilizers,46.5,3.33,4.01,-5.24,1.21,-2.0,11.47,2.51,0.57,-0.93,-3.28,-2.57,-3.01,-5.24,1.21,6.15,1.69,6.85,2.16,1.55,8.13,6.35,22.79,23.46,46.47,530433.0___NA__
Shiva Granito,540072.0,__NA__,Mining / Minerals / Metals,14.75,-5.12,-18.85,,24.28,-6.34,-6.34,-16.41,8.0,1.66,-6.23,-7.57,15.59,92.99,24.28,-8.7,,-8.7,20.79,-15.14,0.17,0.16,0.88,0.8,19.49,540072.0___NA__
Shiva Mills,540961.0,SHIVAMILLS,Textiles - Spinning - Synthetic / Blended,93.45,4.36,-2.07,,,-0.72,-6.35,-1.03,,-44.21,-29.46,-22.75,,,,,,,,0.0,3.4,,7.52,,80.75,540961.0_SHIVAMILLS
Shiva Texyarn,511108.0,SHIVATEX,Textiles - Cotton/Blended,171.85,-0.54,-1.05,,,-7.42,-7.42,-1.87,-3.96,-34.95,-22.53,-17.93,-16.52,,,,,,,0.0,0.0,4.65,17.29,26.09,222.77,511108.0_SHIVATEX
Shivagrico Impl.,522237.0,__NA__,Castings & Forgings,23.44,4.83,11.47,-11.21,15.81,-1.14,5.03,9.42,5.24,4.3,22.66,4.18,4.08,-11.21,15.81,12.87,-2.48,12.87,-2.48,0.07,0.1,-0.06,1.16,0.78,11.74,522237.0___NA__
Shivalic,-1.0,SPCL,Electric Equipment,311.0,,,,,9.79,9.79,,,,,,,,,,,,,,,,,,241.16,-1.0_SPCL
Shivalik Bimetal,513097.0,SBCL,Mining / Minerals / Metals,591.75,30.18,18.37,49.96,28.55,17.99,8.81,20.95,18.73,45.25,24.54,28.65,28.2,49.95,28.55,37.7,35.22,37.71,35.22,-9.48,48.51,30.01,68.48,44.35,3408.72,513097.0_SBCL
Shivalik Rasayan,539148.0,SHIVALIK,Pesticides / Agrochemicals - Indian,631.45,11.38,9.87,-2.41,3.74,9.93,9.17,12.01,,2.95,6.35,12.28,,-6.28,1.25,0.95,,9.88,,-4.97,18.97,13.72,33.38,24.92,982.55,539148.0_SHIVALIK
Shivam,544165.0,__NA__,Trading,49.39,,,,,-6.38,-6.38,,,,,,,,,,,,,,,,,,83.9,544165.0___NA__
Shivam Autotech,532776.0,SHIVAMAUTO,Auto Ancillaries,40.87,-1.23,-5.87,,,-0.15,-3.74,0.41,1.65,-16.58,-10.83,-0.22,-5.18,,,,,,,0.0,-32.07,-13.58,18.87,28.22,499.51,532776.0_SHIVAMAUTO
Shivansh Finserv,539593.0,__NA__,Finance & Investments,4.62,-45.99,,-14.5,,-40.07,-40.07,,,44.22,,,,-14.5,,,,,,0.0,,,,,2.88,539593.0___NA__
Shoora Designs,543970.0,__NA__,Diamond Cutting / Jewellery,46.0,,,,,110.43,110.43,,,71.0,,,,25.43,,,,,,,,,,,6.89,543970.0___NA__
Shoppers Stop,532638.0,SHOPERSTOP,Textiles - Products,747.55,35.14,3.82,32.08,4.59,-1.6,7.32,2.0,1.5,42.29,23.89,25.25,18.52,32.05,4.49,23.02,27.37,23.57,28.02,0.08,-58.35,-22.77,157.41,124.01,8220.15,532638.0_SHOPERSTOP
Shraddha Prime,531771.0,__NA__,Construction,114.45,,,,,875.67,875.67,,,,,,,,,,,,,2.77,,,,,231.2,531771.0___NA__
Shradha AI Tech,543976.0,__NA__,Trading,92.48,230.13,55.33,249.25,63.92,-44.79,-44.79,,,246.28,180.74,,,,,,,,,,2.34,,3.21,,225.48,543976.0___NA__
Shradha Infrapr.,-1.0,SHRADHA,Construction,139.25,345.4,61.0,125.78,46.33,-4.31,22.15,16.01,,130.58,44.92,28.94,,125.6,46.4,5.0,,24.63,,0.02,6.8,,9.12,,281.98,-1.0_SHRADHA
Shree Bhavya,521131.0,__NA__,Textiles - Processing,20.89,5.73,-6.35,300.69,7.09,-2.88,-11.7,-3.26,-3.15,4.85,-2.31,-0.78,0.17,300.69,7.09,18.74,22.68,18.74,22.68,0.0,0.97,0.88,9.09,9.2,19.85,521131.0___NA__
Shree Cement,500387.0,SHREECEM,Cement - North India,28195.35,14.81,10.33,1.75,15.8,10.69,10.69,13.24,14.24,4.35,10.93,8.65,12.08,1.75,14.99,8.24,9.75,8.78,10.13,0.0,1958.05,1557.47,2705.46,2089.46,101730.94,500387.0_SHREECEM
Shree Ganesh Bio,539470.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,1.16,5.62,28.14,5.37,-19.11,-14.03,-14.03,13.15,24.54,6.6,-13.64,-19.0,7.43,5.4,-19.09,-44.9,-10.27,-22.61,13.81,0.0,1.19,1.59,1.6,1.81,46.24,539470.0___NA__
Shree Ganesh Rem,540737.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,815.85,36.93,29.02,42.34,35.13,27.26,39.55,30.29,21.24,41.8,35.3,38.76,23.54,42.34,35.13,4.17,0.91,40.21,24.24,0.94,15.59,9.38,21.11,12.86,1047.13,540737.0___NA__
Shree Hanuman Sg,537709.0,__NA__,Sugar,16.9,,,13.1,12.82,-100.0,-100.0,,,13.1,12.82,6.82,,13.1,12.82,7.16,5.66,7.16,5.66,-2.98,-13.3,-7.31,-13.29,-7.25,31.27,537709.0___NA__
Shree Karni,-1.0,SHREEKARNI,Textiles - Products,610.0,,,,,7.98,7.98,,,,,,,,,,,,,,,,,,431.4,-1.0_SHREEKARNI
Shree Marutinand,544083.0,__NA__,Trading,217.0,37.07,,171.44,,22.47,22.47,,,63.38,,,,5.82,,,,,,,0.98,,1.97,,75.08,544083.0___NA__
Shree Metalloys,531962.0,__NA__,Trading,36.7,24.95,17.46,9.35,27.73,2.88,3.42,11.49,7.04,10.82,-3.97,-3.64,-2.17,9.35,27.73,16.99,12.29,16.99,12.29,0.0,0.38,0.26,0.64,0.82,19.31,531962.0___NA__
Shree Mfg. Co.,503863.0,__NA__,Textiles - Cotton/Blended,15.78,,,,-14.59,-100.0,-100.0,,,,-1.73,,,,-0.49,-17.2,,,,-0.05,-0.22,-0.18,-0.05,-0.06,13.1,503863.0___NA__
Shree OSFM,-1.0,SHREEOSFM,Miscellaneous,169.6,59.39,,122.03,,43.94,43.94,,,66.42,,,,4.75,,,,,,,,,,,242.26,-1.0_SHREEOSFM
Shree Pacetronix,527005.0,__NA__,Healthcare,220.35,42.86,24.8,306.56,116.89,7.06,20.47,17.95,10.67,82.33,48.59,39.08,15.47,306.56,116.89,42.92,30.76,42.92,30.76,-0.01,1.53,0.74,2.48,1.39,79.31,527005.0___NA__
Shree Precoated,533110.0,__NA__,Construction,15.0,,,,,-81.32,-91.89,,,,,9.59,,,,,,9.6,,-9.46,-0.37,-0.86,-0.37,-0.85,6.21,533110.0___NA__
Shree Ram Prote.,-1.0,SRPL,Solvent Extraction,1.18,-54.08,-37.76,,,-2.14,-2.14,-28.69,,,,,,,,,,,,-51.53,0.77,1.16,5.12,5.6,50.55,-1.0_SRPL
Shree Rama News.,500356.0,RAMANEWS,Miscellaneous,19.72,-43.79,-37.76,16.29,,0.73,-21.3,-26.09,-19.44,37.24,-38.63,-18.21,-7.73,16.29,,,6.07,,4.14,0.0,-30.83,-25.51,-9.75,-0.27,290.92,500356.0_RAMANEWS
Shree Securities,538975.0,__NA__,Finance & Investments,0.36,18.19,-15.52,,,-6.38,-6.38,-22.89,17.63,,,,,,,,,,,-30.19,-2.71,-1.36,-2.71,-1.35,28.73,538975.0___NA__
Shree Tirupati,-1.0,TIRUPATI,Packaging,694.55,11.22,5.94,43.45,17.13,13.95,-8.08,12.76,14.91,38.3,18.86,19.14,15.74,43.45,17.13,-16.67,-9.1,24.23,20.21,-4.78,7.77,5.93,12.73,10.05,703.58,-1.0_TIRUPATI
Shree Vasu Logis,-1.0,SVLL,Miscellaneous,236.22,22.99,27.95,-1.75,14.87,18.53,22.46,24.06,,59.51,43.74,31.3,,-1.66,14.94,-14.94,,22.35,,0.06,2.66,1.9,8.84,6.14,270.86,-1.0_SVLL
Shreeji Translog,540738.0,__NA__,Miscellaneous,26.88,32.28,14.98,160.38,32.15,12.87,13.89,16.2,12.08,59.26,19.23,21.27,15.62,160.51,32.38,38.41,10.75,39.54,43.94,-9.29,6.59,4.17,13.06,9.41,187.86,540738.0___NA__
Shreeoswal Seeds,-1.0,OSWALSEEDS,Miscellaneous,27.1,18.61,16.35,,,13.17,13.17,,,-47.79,-30.01,,,,,,,,,0.0,2.75,,7.33,,247.88,-1.0_OSWALSEEDS
Shreeshay Engi.,541112.0,__NA__,Construction,29.77,35.86,17.17,33.32,5.86,75.38,75.38,113.39,,32.64,5.03,33.95,54.1,33.32,5.86,-15.48,10.85,35.5,37.3,0.37,0.57,0.41,0.77,0.57,39.31,541112.0___NA__
Shreevatsaa Fin.,532007.0,__NA__,Finance & Investments,22.8,-5.16,-0.23,-10.32,11.97,-6.45,-8.82,-8.42,-10.61,-9.4,11.27,1.3,,-10.32,11.97,1.01,6.25,1.01,6.25,0.0,0.44,0.68,0.59,0.85,23.03,532007.0___NA__
Shrenik,-1.0,SHRENIK,Trading,1.16,-54.53,-47.24,,,-4.9,-29.59,-30.29,-16.72,,,,,,,,,,,-32.68,-22.64,-8.58,-10.42,3.41,70.99,-1.0_SHRENIK
Shreyans Inds.,516016.0,SHREYANIND,Paper,276.0,24.03,4.03,114.81,13.64,5.98,-5.85,7.55,5.7,72.12,9.3,11.79,13.53,114.81,13.64,16.2,21.51,16.2,21.51,0.0,42.24,33.72,57.41,50.4,381.44,516016.0_SHREYANIND
Shreyas Interm.,526335.0,__NA__,Dyes And Pigments,10.4,,,-2.56,7.79,-83.41,,,,-20.63,-36.9,-28.2,7.2,-2.56,13.41,8.9,7.14,2.51,7.0,-9.46,-1.6,-2.78,-1.59,-2.96,73.69,526335.0___NA__
Shreyas Shipping,520151.0,SHREYAS,Shipping,338.3,-20.4,-14.69,,,-4.32,-8.57,-12.47,-5.31,-3.22,0.18,-0.26,3.9,,,,,,,1.5,79.65,68.82,99.93,88.26,742.89,520151.0_SHREYAS
Shri Balaji,544074.0,__NA__,Engineering,244.05,72.27,,552.91,,60.28,60.28,,,203.32,,,,32.74,,,,,,,,,,,199.14,544074.0___NA__
Shri Gang Indus,523309.0,__NA__,Breweries & Distilleries,73.69,102.1,127.09,74.11,47.16,91.61,91.61,134.08,,342.49,124.01,67.26,,51.1,33.04,27.83,,39.13,,3.91,4.31,1.28,8.89,3.98,132.13,523309.0___NA__
Shri Keshav,530977.0,__NA__,Cement - South India,201.1,16.27,12.55,48.98,20.54,5.72,8.3,13.67,10.12,16.02,10.05,14.72,14.4,42.53,18.87,23.14,16.65,29.98,21.15,-12.04,1.39,-0.61,21.37,15.13,352.16,530977.0___NA__
Shri Krishna,531080.0,__NA__,Construction,35.0,8.38,8.43,7.92,18.31,0.8,0.8,2.04,-1.53,8.72,9.6,8.05,17.85,7.92,18.31,12.02,15.21,12.02,15.21,0.0,3.36,2.7,7.64,6.49,98.0,531080.0___NA__
Shri Techtex,-1.0,SHRITECH,Textiles - Products,62.0,24.62,,-1.01,,29.67,29.67,,,3.98,,,,-55.61,,,,,,,9.35,,13.57,,154.69,-1.0_SHRITECH
Shri Vasuprada,538092.0,__NA__,Tea,96.0,0.23,1.32,,2.8,-5.38,-5.62,1.86,2.07,,4.92,,,,2.78,-4.08,,-4.04,,-0.1,-17.18,-13.66,-10.26,-7.48,79.53,538092.0___NA__
Shri Venkatesh,543373.0,__NA__,Solvent Extraction,129.05,19.52,20.45,62.39,64.18,3.78,3.78,,,41.76,41.23,,,46.67,36.54,,,,,,9.83,,19.62,,285.45,543373.0___NA__
Shricon Indus.,508961.0,__NA__,Construction,118.75,,124.48,21.64,12.89,-100.0,-100.0,,,16.96,11.84,5.96,-3.97,21.64,12.89,0.0,-1.17,0.0,-1.17,0.0,-0.4,-0.32,-0.11,-0.12,14.73,508961.0___NA__
Shriram AMC,531359.0,__NA__,Finance & Investments,381.5,14.76,5.15,,,26.24,18.65,21.41,30.48,,,,,,-59.21,,-31.21,,,-6.12,-3.13,-2.05,-2.48,-1.68,496.59,531359.0___NA__
Shriram Finance,511218.0,SHRIRAMFIN,Finance & Investments,2919.75,27.82,18.55,43.38,23.38,10.52,10.52,18.78,15.68,27.75,18.02,20.2,15.38,30.34,14.01,21.55,13.85,28.61,18.44,-1.06,4222.07,2963.28,16824.99,12603.95,109756.81,511218.0_SHRIRAMFIN
Shriram Pistons,-1.0,SHRIPISTON,Auto Ancillaries,1901.6,24.61,9.58,70.84,25.86,11.94,18.4,11.27,10.2,45.93,17.98,14.67,11.78,71.68,26.22,21.1,20.37,20.85,20.2,-0.55,209.77,159.05,296.58,238.9,8376.52,-1.0_SHRIPISTON
Shriram Properti,543419.0,SHRIRAMPPS,Construction,112.2,26.07,5.87,45.11,29.53,0.32,0.32,,,32.58,22.88,,,42.93,27.99,,,,,,-2.47,,129.41,,1911.38,543419.0_SHRIRAMPPS
Shristi Infra,511411.0,__NA__,Construction,41.83,-24.49,-17.87,-3.7,,0.96,-18.64,-5.68,-2.76,,,,,-3.7,,,,,,0.0,-89.84,-46.07,-2.38,21.15,92.86,511411.0___NA__
Shrydus Indust.,511493.0,__NA__,Finance & Investments,18.4,56.19,,57.75,17.22,-14.81,1.72,66.18,85.11,57.75,17.22,31.3,19.04,51.13,16.66,27.79,16.52,31.3,18.51,-14.05,0.11,-0.34,0.11,-0.35,22.08,511493.0___NA__
Shubham Polyspin,542019.0,__NA__,Textiles - Products,24.99,8.46,5.99,6.1,3.05,10.18,10.18,,,0.53,-0.68,,,6.04,3.18,,,,,0.0,0.69,,2.05,,30.3,542019.0___NA__
Shubhlaxmi Jewel,-1.0,SHUBHLAXMI,Trading,33.5,32.9,5.94,-8.45,4.06,3.63,3.63,,,1.62,4.17,,,-10.22,2.85,,,,,-4.68,1.16,,2.47,,29.49,-1.0_SHUBHLAXMI
Shukra Bullions,531506.0,__NA__,Diamond Cutting / Jewellery,27.89,-9.65,-30.54,,0.0,-21.84,-52.6,-27.36,-16.68,0.0,-12.94,-12.27,7.18,25.99,0.0,10.41,7.18,,7.18,0.0,0.01,0.01,0.01,0.02,14.0,531506.0___NA__
Shukra Jewellery,523790.0,__NA__,Construction,4.92,-17.49,-23.29,-27.89,-23.57,-25.0,-25.0,-17.26,-17.07,-38.17,-28.99,-13.54,15.79,-27.89,-23.57,29.17,7.48,29.17,,1.77,0.11,0.14,0.3,0.27,6.68,523790.0___NA__
Shukra Pharma.,524632.0,__NA__,Pharmaceuticals - Indian - Formulations,111.4,88.24,67.47,409.71,109.45,6.64,83.18,46.54,32.59,131.11,67.41,46.56,71.66,410.88,109.73,67.72,38.98,67.56,38.89,1.79,4.77,2.55,5.32,3.02,487.8,524632.0___NA__
Shyam Century,539252.0,SHYAMCENT,Mining / Minerals / Metals,17.25,2.66,0.71,-62.28,-41.31,-1.99,-12.72,6.13,,-30.21,-23.2,-11.03,,-61.69,-40.76,-24.43,,-24.92,,-2.95,19.56,13.07,25.78,18.9,366.01,539252.0_SHYAMCENT
Shyam Metalics,543299.0,SHYAMMETL,Steel - Large,682.0,27.97,23.43,6.89,11.29,21.32,21.32,,,6.87,11.11,,,0.73,7.4,,,,,,956.53,,1218.2,,19036.79,543299.0_SHYAMMETL
Shyam Telecom,517411.0,SHYAMTEL,Trading,15.75,,,,-9.02,-66.92,-97.73,,,,-10.66,-28.86,,,-9.02,-12.5,,-12.5,,0.0,-3.98,-2.68,-3.77,-2.65,17.75,517411.0_SHYAMTEL
Shyama Infosys,531219.0,__NA__,Computers - Software - Medium / Small,6.69,11.87,16.0,11.2,,32.35,40.0,-10.32,13.35,2.7,,-6.62,,11.2,,,,-8.82,,0.0,-0.09,0.0,-0.07,0.01,6.73,531219.0___NA__
Shyamkamal Inv,505515.0,__NA__,Finance & Investments,13.15,,,,7.21,-70.65,,,,,6.4,5.42,6.8,,8.78,6.44,6.87,5.42,6.8,-0.67,-0.07,-0.35,-0.05,-0.34,13.34,505515.0___NA__
Sibar Auto Parts,520141.0,__NA__,Auto Ancillaries,13.41,19.26,-6.09,10.91,10.17,17.89,-23.21,0.41,5.0,19.87,13.1,,,10.91,10.46,,,,,-1.1,-1.58,-1.3,-1.03,-0.78,22.17,520141.0___NA__
Sicagen India,533014.0,__NA__,Trading,63.0,13.67,-0.61,68.48,191.31,3.81,-11.15,1.62,2.52,26.09,11.68,9.28,9.07,68.48,191.31,4.99,10.09,4.99,10.09,15.61,3.48,3.28,16.88,14.1,249.28,533014.0___NA__
Sical Logistics,520086.0,SICALLOG,Miscellaneous,170.2,-24.0,-33.75,21.44,,-1.75,-41.92,-19.76,-12.52,94.62,-28.11,-20.12,-10.16,21.92,,,,,,60.77,-116.52,-45.87,-64.61,17.62,1110.54,520086.0_SICALLOG
Siddha Ventures,530439.0,__NA__,Finance & Investments,9.59,30.66,11.27,-32.07,72.26,-62.0,-78.36,-7.49,40.04,-32.65,63.33,-24.55,30.96,-32.07,72.26,-24.27,36.06,-24.27,36.06,0.0,4.84,2.58,4.85,2.59,9.59,530439.0___NA__
Siddhes. Garment,526877.0,__NA__,Trading,14.0,,,-41.52,-19.73,-67.72,-100.0,,,-37.0,-15.59,-15.8,4.14,,,,,-20.54,0.0,0.0,0.02,0.03,0.05,0.05,4.63,526877.0___NA__
Siddhika Coatins,-1.0,SIDDHIKA,Miscellaneous,295.0,30.6,3.41,72.83,5.86,14.31,14.31,7.04,8.21,69.38,6.49,8.61,10.08,55.85,-37.22,-24.46,-14.09,9.72,10.47,1.75,2.62,2.47,3.59,3.47,91.14,-1.0_SIDDHIKA
Siel Fin. Serv.,532217.0,__NA__,Finance & Investments,48.82,,,0.0,,-59.72,-33.33,,,0.0,,,,0.0,,,,,,-10.7,-0.19,-0.07,-0.19,-0.05,55.38,532217.0___NA__
Siemens,500550.0,SIEMENS,Electric Equipment,7803.05,22.1,7.14,35.72,16.18,2.16,18.44,7.53,4.7,28.16,11.52,12.7,19.34,35.72,16.18,15.18,26.77,15.18,26.77,0.0,1263.13,955.36,1693.96,1334.52,277882.45,500550.0_SIEMENS
Sigachi Indust.,543389.0,SIGACHI,Pharmaceuticals - Indian - Bulk Drugs & Formln,60.59,27.44,25.34,23.63,24.6,28.06,29.85,,,28.08,24.2,,,-23.82,-22.43,,,,,,38.26,,51.28,,1988.55,543389.0_SIGACHI
Sigma Solve,543917.0,SIGMA,Computers - Software - Medium / Small,405.05,45.43,,74.53,,34.95,34.95,,,52.13,,,,74.66,,,,,,0.0,7.86,,14.86,,416.32,543917.0_SIGMA
SignatureGlobal,543990.0,SIGNATURE,Construction,1426.25,147.26,,30.05,,-20.15,-20.15,,,103.39,,,,26.16,,,,,,,-60.47,,-11.46,,20040.34,543990.0_SIGNATURE
Signet Industrie,512131.0,SIGIND,Plastics Products,89.0,13.62,4.45,6.78,2.39,6.19,6.08,4.15,7.07,11.54,4.01,4.04,2.71,6.78,2.39,-2.48,1.84,-2.47,2.0,0.15,12.24,14.03,63.03,62.99,261.99,512131.0_SIGIND
Signoria Creatio,-1.0,SIGNORIA,Textiles - Products,131.85,49.48,,94.01,,62.01,62.01,,,74.52,,,,-8.44,,,,,,,,,,,62.73,-1.0_SIGNORIA
Signpost India,544117.0,SIGNPOST,Miscellaneous,290.3,,,,,14.97,14.97,,,,,,,,,,,,,,,,,,1551.63,544117.0_SIGNPOST
Sika Interplant,523606.0,__NA__,Engineering,3274.95,9.97,18.42,16.68,34.72,27.0,27.0,17.54,17.08,14.51,29.23,30.22,24.09,16.68,34.72,37.27,30.09,37.27,30.09,0.0,12.45,7.31,16.94,10.22,1388.57,523606.0___NA__
Sikko Industries,-1.0,SIKKO,Pesticides / Agrochemicals - Indian,91.8,16.42,19.16,16.02,15.1,19.52,24.55,21.29,18.58,18.37,13.77,20.68,9.82,16.02,15.1,32.71,1.18,39.25,12.15,0.01,2.77,1.7,4.47,3.05,154.23,-1.0_SIKKO
Sikozy Realtors,524642.0,__NA__,Construction,0.98,,,,-1.59,-85.19,-100.0,,,,-3.93,-1.24,0.0,,-1.59,-1.14,1.64,-1.14,1.64,0.0,-0.07,-0.12,-0.05,-0.1,4.37,524642.0___NA__
SIL Investments,521194.0,SILINV,Finance & Investments,564.7,21.47,14.68,13.15,8.03,-4.15,16.35,6.66,5.92,16.68,11.57,5.81,4.5,13.15,8.03,6.41,9.48,6.41,9.48,1.04,29.2,34.48,38.52,46.84,598.57,521194.0_SILINV
Silgo Retail,-1.0,SILGO,Diamond Cutting / Jewellery,37.2,3.18,10.08,12.71,20.69,9.28,9.28,,,11.12,22.8,,,16.64,11.77,,,,,5.3,2.39,,4.43,,68.82,-1.0_SILGO
Silicon Rental,543615.0,__NA__,Miscellaneous,163.0,66.31,49.75,68.01,82.34,47.5,47.5,,,59.72,48.58,,,-83.35,-54.44,,,,,,7.73,,10.69,,167.43,543615.0___NA__
Silicon Valley,531738.0,__NA__,Finance & Investments,0.03,,,6.27,3.71,-59.65,-100.0,,,5.45,3.71,6.35,6.14,6.27,3.71,6.35,5.72,6.35,5.72,0.0,-0.3,-1.27,-0.3,-1.27,0.39,531738.0___NA__
Silkflex,-1.0,SILKFLEX,Trading,59.0,42.18,,105.93,,22.97,22.97,,,69.98,,,,30.22,,,,,,,1.24,,2.55,,68.48,-1.0_SILKFLEX
Silly Monks,-1.0,SILLYMONKS,Entertainment / Electronic Media Software,18.66,-0.56,1.19,,,30.94,14.62,9.23,,29.77,-8.42,-8.05,,4.86,,,,,,4.19,-2.19,-0.65,-2.43,-0.68,19.05,-1.0_SILLYMONKS
Silver Oak (I),531635.0,__NA__,Breweries & Distilleries,72.5,-81.22,-72.23,-12.68,-1.95,-50.0,-50.0,-66.63,,50.14,37.97,-41.55,,-12.68,-1.95,,,,,0.0,-1.15,,-0.53,,27.48,531635.0___NA__
Silver Pearl,543536.0,__NA__,Hotels,9.5,83.93,69.52,49.38,15.38,100.0,100.0,,,72.88,16.43,,,-45.57,14.89,,,,,,0.04,,0.05,,7.46,543536.0___NA__
Silver Touch,543525.0,SILVERTUC,Computers - Software - Medium / Small,733.65,14.29,1.52,153.15,8.77,17.33,-8.3,9.17,,76.12,6.1,10.93,,153.15,8.77,8.32,,21.75,,0.28,7.71,6.72,11.99,11.51,930.33,543525.0_SILVERTUC
Silveroak Comm,512197.0,__NA__,Construction,3.55,-43.28,17.66,,,-60.7,-0.45,,,,,,,,,,,,,,-1.39,-0.69,0.38,0.21,0.98,512197.0___NA__
Simbhaoli Sugar,539742.0,SIMBHALS,Sugar,33.0,-2.42,4.27,,11.79,6.02,6.02,4.71,28.82,-9.06,14.64,-13.86,28.23,,11.79,7.93,,7.66,1.8,0.0,-15.16,-45.0,14.5,1.93,136.2,539742.0_SIMBHALS
Simm. Marshall,507998.0,__NA__,Fasteners,116.75,12.7,-0.27,28.49,-18.1,3.75,3.31,3.14,5.54,104.27,2.93,1.73,3.89,28.49,-18.1,-14.03,-7.24,-14.03,-7.24,0.94,-6.24,0.31,1.31,7.53,130.77,507998.0___NA__
Simplex Castings,513472.0,__NA__,Castings & Forgings,198.9,14.88,2.66,48.89,15.92,5.84,14.0,-8.05,-2.55,0.02,32.09,-5.82,-4.18,48.89,15.92,-6.17,-0.58,-5.84,-0.33,-0.02,-4.22,-2.65,2.41,6.36,137.08,513472.0___NA__
Simplex Infra,523838.0,SIMPLEXINF,Construction,131.1,-14.22,-25.66,22.8,,-6.97,-25.9,-18.09,-13.04,-1.48,-43.77,-33.57,-22.17,22.8,,,,,,-0.01,-388.66,-139.21,-32.54,278.77,749.13,523838.0_SIMPLEXINF
Simplex Mills,533018.0,__NA__,Trading,3451.1,,,,2.38,9.09,-100.0,,,-34.97,49.63,13.18,7.48,,,,,7.33,6.89,-0.91,-0.02,-0.46,0.16,-0.26,10.36,533018.0___NA__
Simplex Papers,533019.0,__NA__,Trading,1875.0,,,,,-93.06,-100.0,,,,,,,,,,,,5.24,-22.11,-0.16,-0.23,-0.15,-0.21,5.63,533019.0___NA__
Simplex Realty,503229.0,__NA__,Construction,160.0,-24.5,-17.62,171.94,29.96,-53.3,-17.28,-21.04,-25.85,103.67,34.94,12.62,-17.75,171.94,29.96,12.62,-14.95,12.62,-14.95,0.0,1.13,0.15,1.66,0.88,47.84,503229.0___NA__
Simran Farms,519566.0,__NA__,Miscellaneous,129.15,14.73,8.75,-68.83,-38.01,-6.23,14.57,2.47,3.06,-44.68,-15.9,-10.9,1.5,-68.83,-38.01,-12.66,-6.69,-12.66,-6.69,0.0,0.53,1.35,2.46,4.63,48.95,519566.0___NA__
Sinclairs Hotels,523023.0,SINCLAIR,Hotels,117.0,47.91,4.08,107.97,15.53,3.9,3.9,2.47,9.51,51.17,7.02,4.59,15.15,113.81,17.38,12.99,19.48,11.71,18.53,-0.18,10.55,9.31,13.99,12.78,599.75,523023.0_SINCLAIR
Sindhu Trade,532029.0,SINDHUTRAD,Miscellaneous,21.45,23.66,1.88,53.84,26.97,14.05,14.05,4.0,,73.94,10.34,5.48,,53.84,26.97,11.3,,11.3,,0.0,-18.53,,113.24,,3307.44,532029.0_SINDHUTRAD
Singer India,505729.0,__NA__,Engineering,89.95,0.87,-2.51,-27.45,-15.22,1.62,-6.59,2.07,8.19,-25.99,-12.9,-5.4,-1.65,-30.53,-17.4,-10.32,-13.58,-8.64,-12.45,-27.99,6.63,7.2,10.91,11.5,550.43,505729.0___NA__
Sinnar Bidi Udy.,509887.0,__NA__,Miscellaneous,707.7,-2.19,-2.86,37.51,20.79,-8.5,-1.26,-8.16,-8.86,65.77,6.23,-11.48,-15.44,37.51,20.79,-10.46,-8.45,,-8.45,0.0,-0.13,-0.07,-0.05,0.23,28.31,509887.0___NA__
Sintercom India,-1.0,SINTERCOM,Auto Ancillaries,137.84,22.94,1.17,30.93,-26.87,6.69,6.69,4.3,,48.43,-5.15,0.76,,30.59,-28.73,-7.08,,-2.16,,2.34,-2.04,,1.74,,379.43,-1.0_SINTERCOM
Sintex Plastics,540653.0,SPTL,Plastics Products,1.06,-11.0,-25.56,,,19.65,-72.89,,,,,,,,,,,,,-12.23,-142.88,,-136.77,,67.43,540653.0_SPTL
